id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
7K3BhSpAxZBznislvUMVtn,Last Night,82,True,163854,One Thing At A Time,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"32 ContributorsTranslationsPortuguêsDeutschCatalàFrançaisEspañolLast Night Lyrics
Last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet

No way it was our last night I kissed your lips
Make you grip the sheets with your fingertips
Last bottle of Jack, we split a fifth
Just talkin' 'bout life, goin' sip for sip
Yeah, you, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me

I know that last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

No way it was the last night that we break up
I see your tail lights in the dust
You call your mama, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say, ""Let her go""
Your friends say, ""What the hell?""
I wouldn't trade your kind of love for nothin' else

Oh, baby, last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night, we said we'd had enough
I can't remember everything we said, but we said too much
I know you packed your shit and slammed the door right before you left
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

I know you said this time you really weren't comin' back again
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)"
5W4kiM2cUYBJXKRudNyxjW,You Proof,81,False,157477,One Thing At A Time,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"19 ContributorsYou Proof Lyrics
Yeah, I've been throwin' down the whiskey
I oughta get my money back
Someone said it drowns the memory
Aw, but it ain't doin' jack
Yeah, I been sippin', I been buzzin'
Shootin' doubles like it's nothin'
Aw, but nothin' makes you go away

I need somethin' you proof
Somethin' stronger than I'm used to
Yeah, I been pullin' ninety to a hundred
Feel like nothing's gonna cut it
That's the hard truth
Yeah, I need somethin' you proof
Aw, I need somethin' you proof

Poured 'em up 'til they shuttin' 'em down, yeah
You never ain't not around, yeah
Don't matter what time or town
I can't get you gone
Turned the bar, yeah, upside down
Just lookin' for somethin' that does it
I'd give 'em all my money

Ain't nobody sellin' nothin' you proof
Somethin' stronger than I'm used to
Yeah, I been pullin' ninety to a hundred
Feel like nothing's gonna cut it
That's the hard truth
Yeah, I need somethin' you proof
Aw, I need somethin' you proof

Hey, I been mixin' liquors tryna get you gone
Aw, but I must be doin' somethin' wrong
'Cause I been workin' hard to fade your memory
Baby, but the only thing faded is me

I need somethin' you proof
Somethin' stronger than I'm used to
Yeah, I been pullin' ninety to a hundred
Feel like nothing's gonna cut it
That's the hard truth
I need somethin' you proof
(Poured 'em up 'til they shuttin' 'em down, yeah)
(You never ain't not around, yeah)
Aw, I need somethin' you proof
(Don't matter what time or town)
(I can't get you gone)

(Turned the bar, yeah, upside down)
(Just lookin' for somethin' that does it)
(I'd give 'em all my money)
(Ain't nobody sellin' nothin' you proof)"
5MwynWK9s4hlyKHqhkNn4A,Chasin' You,13,False,205453,If I Know Me,2018-04-27,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"26 ContributorsChasin’ You Lyrics
We used to chase that Chattanooga freight
Couple of kids in a Chevrolet
Catch a little air when we cross the tracks
Sipping on something from a paper sack
You hang your shirt on that maple limb
Slipping through the moon to the river bend
Wasn't very long I was jumping in, jumping in
I guess I'm still doing now what I was doing then

Chasin' you like a shot of whiskey
Burning going down, burning going down
Chasin' you like those goodbye tail lights
Headed west to anywhere out of this nowhere town
Chasin' that freedom, chasing' that feeling that got gone too soon
Chasin' that you and me, I only see in my rearview
Yeah, I'm laying here tonight holding someone new
Still chasin' you, still chasin' you

You always used to talk about LA
I heard you got as far as Santa Fe
Well you know I tried to track you down
I only got as far as Guitar Town
Singing about a girl I used to know, used to know
Well you should know that I haven't given up
I'm just on your radio

Chasin' you like a shot of whiskey
Burning going down, burning going down
Chasin' you like those goodbye tail lights
Headed west to anywhere out of this nowhere town
Chasin' that freedom, chasin' that feeling that got gone too soon
Chasin' that you and me, I only see in my rearview
Yeah, I'm laying here tonight holding someone new
Still chasin' you, still chasin' you

Chasin' you like a shot of whiskey
Burning going down, burning going down
Chasin' you like those goodbye tail lights
Headed west to anywhere out of this nowhere town
Chasin' that freedom, chasin' that feeling that got gone too soon
Chasin' that you and me, I only see in my rearview
Yeah, I'm laying here tonight holding someone new
Still chasin' you, still chasin' you

Still chasin' you, still chasin' you"
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,81,False,178520,Dangerous: The Double Album,2021-01-08,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"28 ContributorsWasted on You Lyrics
I don't always wake up in the mornin', pour myself a strong one
Aw, but when I get lonely I do
Your memory gets to burnin', lean back on the bourbon
Sure as hell can't keep leanin' on you

Looks like I'm learnin' the hard way again
It's all my fault, yeah, I dropped the ball
You're gone and I'm gone three sheets to the wind
Thinkin' 'bout all

I've wasted on you
All of this time and all of this money
All of the these sorries I don't owe you honey
All of these miles on this Chevy, and prayers in a pew
All them days I spent wasted on you
Wasted on you

Yeah, I swore this one'd be different, my heart wouldn't listen
To my head and these boots on my feet
Looks like I'm learnin' the hard way again
That's why I've been

Wasted on you
All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent wasted on you
Wasted on you

Like this pile of your stuff that's packed up in a bag
Right down to the flame of this match
Wasted on you, wasted on you
Wasted on you, wasted on you

Wasted on you
All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent wasted on you
Wasted on you

Wasted on you, wasted on you"
6foY66mWZN0pSRjZ408c00,Whiskey Glasses,14,False,234346,If I Know Me,2018-04-27,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"29 ContributorsWhiskey Glasses Lyrics
Poor me, pour me another drink
'Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip 'til the pain wears off
Poor me, pour me another round
Line 'em up and knock 'em down
Two more let's go
'Cause I ain't never hurt like this before

Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
And see the world through whiskey glasses
(I need a better view, where I don't drink to you)

Last call
I swear this will be my last call
Now I ain't drunk dialing no more at 3 am
Mr. Bartender hittin' me again

Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
Oh, see the world through whiskey glasses
(I need a better view, where I don't drink to you)

Line 'em up, line 'em up, line 'em up, line 'em up
Knock 'em back, knock 'em back, knock 'em back, knock 'em back
Fill 'em up, fill 'em up, fill 'em up, fill 'em up
'Cause if she ain't ever coming back
Line 'em up, line 'em up, line 'em up, line 'em up
Knock 'em back, knock 'em back, knock 'em back, knock 'em back
Fill 'em up, fill 'em up, fill 'em up, fill 'em up
'Cause if she ain't ever coming back

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
Oh, see the world through whiskey glasses
(I need a better view, where I don't drink to you)
Yeah

(Ain't nothing else to do, but sip around the truth)
And see the world through whiskey glasses
(I need a better view, where I don't drink to you)
Yeah"
4obHzpwGrjoTuZh2DItEMZ,7 Summers,80,False,210506,Dangerous: The Double Album,2021-01-08,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"34 ContributorsTranslationsEspañol7 Summers Lyrics
Yeah, you used to talk about
Getting even further South
Somewhere where the summer lasted all year 'round
Probably got a big ol' diamond on your hand right now
Maybe a baby or a couple by now
Long driveway to a big white house

But I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?

Ooh, ooh-ooh, ooh-ooh

Yeah, I bet your daddy's so proud
Of how his little girl turned out
Think she dodged a bullet
Of a good old boy like me
'Cause I still
Go drinkin', same friends on Friday
Bought a few acres, couple roads off the highway
Guess you never saw things my way anyway

But I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?

Ooh
Seven summers ago (Ooh-ooh, ooh-ooh)
Seven summers ago (Ooh, ooh-ooh, ooh-ooh)

Yeah, I wonder when you're drinking if you
Find yourself thinking about
That boy from East Tennessee
And I know we both knew better
But we still said forever
And that was seven summers
Of Coke and Southern Comfort
Were we dumb or just younger, who knows?
Back then, you used to love the river
And sippin' on a sixer with me
Does it ever make you sad to know
That was seven summers ago?

Ooh
Seven summers ago (Ooh-ooh, ooh-ooh)
Seven summers ago (Ooh, ooh-ooh)"
3EWMoDIm6lzuR0zQKtuCJX,Up Down (feat. Florida Georgia Line),6,False,197253,If I Know Me,2018-04-27,"Morgan Wallen, Florida Georgia Line","4oUHIQIBe0LHzYfvXNW4QM, 3b8QkneNDz4JHKKKlLgYZg","pop country, country, acoustic country","23 ContributorsUp Down Lyrics
It's Friday after 5, got here just in time
Went ahead and wet a line 'fore I went and lost my mind
I ain't been here long, but the bobber's in the pond
Going up down, up, down, up, down
Tonight, we're gonna raise a whole lot more than cane
'Cause there's money in the bank and tomorrow's Saturday
So if they pass that fifth of Jack this way
I turn it up, down, up, down, up, down

We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up down here

What you know about it, T-Hubb?
What up, baby?

Yeah, the girls, they hit the spot, even hotter when it's hot
If you can't buy her a yacht, but still proud of what you got
'Cause when the day's done, red neck is from the sun
Going up, down, up, down, up, down

We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up, down here

Somebody pass that fifth of Camp this way
I'll turn it up, down, up, down, up, down

We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up, down here"
4w9lk0Nyj7kuDxlL5PZVlv,I Wrote The Book,56,False,181766,3 Songs At A Time Sampler,2023-01-31,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"19 ContributorsI Wrote The Book Lyrics
When it comes to hitchin' the boat up
Backin' down the ramp in my old truck
To find a bunch of logs
To catch a bunch of hogs
Yeah, I wrote the book
Yeah, I wrote the book

If you wanna learn to throw a curve right
To catch a clean up lookin' on a third strike
Talk a little smack while he's walkin' back
Yeah, I wrote the book

But there's one that lays by the lamp on the nightstand
One that says don't cuss and don't fight
Or let the bottle turn you into a different man
But damn if I don't do it every Friday night
Those get you into Heaven letters in red
Ain't gettin' read enough to keep me on a straight line
I'm a Jack of all trades but man I gotta say
That's one book I didn't write

I met a good girl she had her life straight
She said she loved that I was good at everythin'
One day she left me in a cloud of dust
'Cause I never was too good at pickin' up
The one that lays by the lamp on the nightstand
The one that says don't cuss and don't fight
Or let the bottle turn you into a different man
But damn if I don't do it every Friday night
Those get you into Heaven letters in red
Ain't gettin' read enough to keep me on a straight line
I'm a Jack of all trades but man I gotta say
That's one book I didn't write

Yeah, the good Lord knows I need it
I didn't write it but I probably oughta read it

The one that lays by the lamp on the nightstand
One that says don't cuss and don't fight
Or let the bottle turn you into a different man
But damn if I don't do it every Friday night
Those get you into Heaven letters in red
Ain't gettin' read enough to keep me on a straight line
I'm a Jack of all trades but man I gotta say
That's one book I didn't write
That's one book I didn't write
That's one book I didn't write"
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,70,False,178704,One Thing At A Time,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"24 Contributors‘98 Braves Lyrics
I remember sittin' at that house, livin' room couch
Thinkin' no way them boys wouldn't win
Between them big three pitchers, Andruw and Chipper
It was gonna be hard to keep up with the Jones's
But as fate would have it, that Atlanta magic
Got put out by them damn Padres
I guess destiny ain't always meant to be
Kinda like you and me that day

We got close, but close doesn't cut it
Had a good run, to end up with nothin'
But a 3x5 that you hide in a drawer
We swung for the fences and came up short
Yeah, you win some, you lose some, it ain't always home runs
And that's just the way life plays
If we were a team, and love was a game
We'd have been the '98 Braves

Had that whole town believin'
Damn, girl, I even had that talk to your dad, man to man
But just like that season
Girl, you and me didn't end with a ring on a hand

We got close, but close doesn't cut it
Had a good run, to end up with nothin'
But a 3x5 that you hide in a drawer
We swung for the fences, and came up short
Yeah, you win some, you lose some, it ain't always home runs
And that's just the way life plays
If we were a team, and love was a game
We'd have been the '98 Braves
98 Braves
You win some, you lose some, it ain't always home runs
Girl, it could've gone either way
But if we were a team, and love was a game
We'd have been the '98 Braves
If we were a team, and love was a game
We'd have been the '98 Braves
'98 Braves
Oh, yeah, girl, we'd have been the '98 Braves
'98 Braves, we'd have been the '98 Braves

I remember sittin' at that house, livin' room couch
Thinkin' no way them boys wouldn't win"
73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),77,False,191231,One Thing At A Time,2023-03-03,"Morgan Wallen, Eric Church","4oUHIQIBe0LHzYfvXNW4QM, 2IvkS5MXK0vPGnwyJsrEyV","country, acoustic country","18 ContributorsMan Made A Bar Lyrics
I sat down on a barstool, like a dern fool
'Cause she walked out again
Bartender said, ""I got you, yeah, 'cause I, too
Have been in your boots, my friend
Opened up back in '85
Got me over my first wife
Been stayin' busy since the first night""
It's a story old as time

God made the world in seven short days
He said it was good, I bet it was great
Then God made a man, and man got lonely
He said, ""Please, Lord, if I could only
Have an angel to hold in my arms""
So God made a girl, His best work of art
Oh, but He didn't make no place to go when she breaks your hеart
So man made a bar

For some guys it's a good time, thе half price
Half dozen buckets of beer
Some say it's a cover band, that's a cover man
I know why they're here
Didn't go the way you planned it
Damn, the devil did some damage

So God made the world in seven short days
He said it was good, I bet it was great
Then God made a man, and man got lonely
He said, ""Please, Lord, if I could only
Have an angel to hold in my arms""
So God made a girl, His best work of art
Oh, but He didn't make no place to go when she breaks your heart
So man made a bar
Yeah, man made a bar

Sometimes an angel falls too hard
Loses more than just a piece of her heart
And she needs a place to go and make a brand new start

God made the world in seven short days
Said it was good, I bet it was great
God made a man, man got lonely
He said, ""Please, Lord, if I could only
Have an angel to hold in my arms""
So God made a girl, His best work of art
Oh, but He didn't make no place to go when she breaks your heart
So man made a bar

Man made a bar
Yeah, man made a bar"
