id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),69,False,185600,Broadway Girls (feat. Morgan Wallen),2021-12-17,"Lil Durk, Morgan Wallen","3hcs9uc56yIGFCSy9leWe7, 4oUHIQIBe0LHzYfvXNW4QM","3 ContributorsTranslationsEnglishEspañolLil Durk - Broadway Girls ft. Morgan Wallen (ترجمه‌ی فارسی) Lyrics
2 AM at a Broadway bar
ساعت 2 بامداد تو یه بار تو خیابون برادوی
She's puttin' her number in my phone (Broadway girls alone)
شماره اش رو میزنه تو گوشیم (دخترای تنهای اهل برادوی)
Two Bud Lights deep, and she's sayin' things she don't mean
دوتا بطری آبجو بادلایت تا آخر خورده شده،  و چیزایی میگه که منظوری نداره
And you know
و میدونی که

I met her down at Aldean's
تو رستوان بار ""اَلدنز نشویل"" دیدمش
She said that she saw me walkin' in about a mile away
گفت که حدود یک مایل دورتر من رو در حال قدم زدن دید
Bean just had to take her phone and that just took her smile away
پسر خاله ام ""بین"" فقط میخواست تلفنش رو ازش بگیره (تا ازم فیلم نگیره) و همین لبخندش رو از بین بر
She said I'm too drunk and crazy, she don't like the way I dance
گفت زیادی مست و دیوونه ام، نحوه رقصیدنم رو دوست نداره
I said, ""You don't have to join in,"" she said she'd take a chance
گفتم: مجبور نیستی بهم ملحق بشی. گفت شانسشو امتحان میکنه
I've been kinda crazy ever since it went down
از وقتی که نقشه ام شکست خورد یه جورایی دیوونه بودم
I get kind of lost, and, baby, this what I found
یه جورایی گم شدم، و این چیزی بود که فهمیدم
Girls like you just wanna take me around, around and around
دخترای مثل تو فقط میخوان من رو دور بزنن، دور بزنن، دور بزنن

Oh, there's two things that you'rе gonna find out
اوه، دوتا چیز هست که قراره بفهمی
They don't love you and they only lovе you right now
اونا عاشقت نیستن و فقط همین الان دوستت دارن
If I was smarter, I'da stayed my ass at home
اگه زرنگ بودم، میموندم خونه
And leave them Broadway girls alone (Leave 'em alone, leave 'em alone)
و دخترای اهل برادوی رو تنها میذاشتم (تنهاشون میذاشتم، تنهاشون میذاشتم)
Them Broadway girls alone (Leave 'em alone, leave 'em alone)
دخترای تنهای اهل برادوی (تنهاشون میذاشتم، تنهاشون میذاشتم)
Leave them Broadway girls alone
دخترای اهل برادوی رو تنها میذاشتم

They town just told me, ""Don't trust 'em""
اهالی شهرشون بهم گفتن: بهشون (به دخترای برادوی) اعتماد نکن
Broadway girls a trap
دختر اهل برادوی یه تله است
They on me, they tryna finesse me
مهمون منن، سعی میکنن زرنگی کنن
They see me with Morgan and know that I rap
منو با ""مرگان"" دیدن و میدونن رپ میکنم
My horse is Porsches, turnin' me on
اسب من (ماشینم) پورشه، بهم توجه میکنن
I jump on a horse, she get on the back
پریدم رو یه اسب، اونم نشست پشتم
I went to the bar to go buy her a drink
رفتم بار تا واسش یه نوشیدنی بگیرم
She listen to P!nk, she told me she not into rap
بهم گفت رپ دوست نداره، آهنگ های ""پینک"" رو گوش میده
I can't run out of money
نمیتونم بی پول بشم (معنی دوم: نمیتونم بدون پول ادامه بدم)
The trenches love me forever
محله های فقیرو خلافکار همیشه دوستم دارن
They treat me like Ed in London
مثل ""اد شیرن"" تو لندن باهام رفتار میکنن
Take her to pool, then got a beer for nothin'
بردمش استخر، بعدش رایگان یه آبجو گرفتم
Tecovas boots, guitar, cigar, the bar
بوت های ""تیکوواس""، گیتار، سیگار، بار مشروب
She ridin' a bull like cars, she usually don't cool with stars
مثل ماشین ها سوار گاو نر میشه، معمولا با آدم معروفا خوب نیس

Now, there's two things that you're gonna find out
حالا، دوتا چیز هست که قراره بفهمی
They don't love you and they only love you right now
اونا عاشقت نیستن و فقط همین الان دوستت دارن
If I was smarter, I'da stayed my ass at home
اگه زرنگ بودم، میموندم خونه
And leave them Broadway girls alone
و دخترای اهل برادوی رو تنها میذاشتم
Broadway girls, Broadway girls
دخترای اهل برادوی، دخترای اهل برادوی
Them Broadway girls alone
دخترای تنهای اهل برادوی
Broadway girls, Broadway girls
دخترای اهل برادوی، دخترای اهل برادوی
Them Broadway girls alone
دخترای تنهای اهل برادوی

Oh, think I oughta settle down
اوه، فکر کنم باید به اینن وضع عادت کنم
And find me somethin' I can take back to my hometown, oh
و یه چیزی پیدا کنم تا بتونم باهاش برگردم به شهر خودم، اوه
But I told 'em that I'm savage
ولی بهشون گفتم که من رام نمیشم
They just tryna tell me there's
اونا فقط میخواستن بهم بگن:

There's two things that you're gonna find out
دوتا چیز هست که قراره بفهمی
They don't love you and they only love you right now
اونا عاشقت نیستن و فقط همین الان دوستت دارن
If I was smarter, I'da stayed my ass at home
اگه زرنگ بودم، میموندم خونه
And leave them Broadway girls alone
و دخترای اهل برادوی رو تنها میذاشتم
Two things that you're gonna find out
دوتا چیز هست که قراره بفهمی
They don't love you and they only love you right now
اونا عاشقت نیستن و فقط همین الان دوستت دارن
If I was smarter, I'da stayed my ass at home
اگه زرنگ بودم، میموندم خونه
And leave them Broadway girls alone
و دخترای اهل برادوی رو تنها میذاشتم
Broadway girls, Broadway girls
دخترای اهل برادوی، دخترای اهل برادوی
Them Broadway girls alone
دخترای تنهای اهل برادوی
Broadway girls, Broadway girls
دخترای اهل برادوی، دخترای اهل برادوی
Leave them Broadway girls alone
دخترای اهل برادوی رو تنها میذاشتم

'Lone, 'lone, Broadway girl
تنها،  تنها، دختر اهل برادوی
'Lone, 'lone, Broadway girls alone
تنها،  تنها، دخترای تنهای اهل برادوی
'Lone, 'lone, Broadway girls
تنها،  تنها، دخترای اهل برادوی
Broadway girls, Broadway girls alone
دخترای اهل برادوی، دخترای تنهای اهل برادوی"
3z0dzcrMa0e9TpP6xxKwaU,Holler Boys,62,False,211498,Parachute,2019-09-24,Upchurch,2pSObt5Fk8izuX8ZfI3jRn,"15 ContributorsHoller Boys Lyrics
Woah-oh-oh
Woah-oh-oh

The only poison I've had is ivy
The only man I fear is God
No snakes can make me run now
'Cause I've been bit by 'em all
No buck can stare me down
No neighbor can shut me up
I'm off the grid and I'm off my rocker
I'm off in the holler, son

We them holler boys
Holler if you're needin' somethin' done
Holler if you need a chip on a shoulder
And a hand with a loaded gun
We'll be out that screen door, no shirt on
Leavin' two black marks down a one-lane road
Yeah we, yeah we
Yeah, we them holler boys

The only fight I've ever been in
Was takin' up for somebody else
The only time I got my jaw jacked is never
But damn sure not quite yet
The times I miss the most
Are the times nobody knows
When it was me, my cousin, and a couple of my buddies
Racin' down ol' Sams Creek Road

We them holler boys
Holler if you're needin' somethin' done
Holler if you need a chip on a shoulder
And a hand with a loaded gun
We'll be out that screen door, no shirt on
Leavin' two black marks down a one-lane road
Yeah we, yeah we
Yeah we them holler boys

Holler boy, native to the holler soil
Washed in the spring of a farmer's joy
We them holler boys
Holler if you're needin' somethin' done
Holler if you need a chip on a shoulder
Or a hand with a loaded gun

We them holler boys
Holler if you're needin' somethin' done
Holler if you need a chip or a shoulder
And a hand with a loaded gun
We'll be out that screen door, no shirt on
Leavin' two black marks down a one-lane road
Yeah we, yeah we
Yeah, we them holler boys"
2YpeDb67231RjR0MgVLzsG,Old Town Road (feat. Billy Ray Cyrus) - Remix,75,False,157066,7,2019-06-21,"Lil Nas X, Billy Ray Cyrus","7jVv8c5Fj3E9VhNjxT4snq, 60rpJ9SgigSd16DOAG7GSa","345 ContributorsTranslationsFrançaisNederlandsالعربيةDanskPortuguêsEspañolفارسیDeutschChinese TraditionalTürkçeOld Town Road (Remix) Lyrics
Oh, oh-oh
Oh

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more (Kio, Kio)
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more

Hat down, cross town, livin' like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Ridin' down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride 'til I can't no more

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more"
4u4JqBap9AgXwHMH90pKTl,All The Girls Wanna Ride,62,False,205418,Kuntry,2011-05-01,Jawga Boyz,4rfTlSG4QNPCdjo57jAmMW,"5 ContributorsAll The Girls Wanna Ride Lyrics
Ha Jawga Boyz
Yeah D. Thrash
Yeah all the girls wanna ride with me
Yeah all the girls wanna ride with me
Yeah they say they like my truck (my truck my truck my truck)

All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now
All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now

My 49's diggin', lip full of dip
Winch on the front 'cause my truck's well-equipped
I'm in the parkin' lot, I'm pimpin' with my Wranglers on
Leanin' on the truck, I'll make them girls wanna moan
My jeans tight and I know I'm lookin' right
Got so many girls lookin', they about to start a fight
Look I'm tryna have some fun when I hop in the truck
You wanna roll, sit down, hold on, and shut up
12 gauge on the back glass ready to go
I never know when I'm gonna see a buck or a doe
And if I see a cop, girl I ain't worried
A po-po in the mud hole'll get buried
See the is what they make these big tires for
Want more, I'mma put the pedal down to the floor
And take you to a place you ain't never been out in the country
I bet I'll have you sayin' you love me

All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now
All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now

And you know I'm from the hunch bunch, moonshine in my cup
In the truck, gettin' stuck in the mud, windows rolled up
All four wheels diggin' this ain't the game
You havin' fun, ain't ya girl, bet you glad that you came
Black powder coated wheels, Mickey Thompson on the tires
They said 49's wouldn't fit, but they liars
We can take a trip to the store and back
You say you want a six pack, we need more than that
What you waitin' on girl, this the chance of your life
There ain't nothin' the them city boys got that you like
If you don't know what you missin' just quit talkin' and listen
I can drive over cars while they right there sittin'
Think about it for a minute 'til I leave in my truck
Then you see your best friend askin', ""How do I get up?""
If you country and you love it, then you can relate
But those city boys sure gon' hate

All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now
All the girls wanna ride and tear stuff up
Hop into my jacked up truck, get stuck wanna ride
Let your hair down, said you want a redneck, don't be scared now

Haha, yeah
Y'all know
Y'all know
Y'all know, aye
Yeah all the girls wanna ride with me
Yeah all the girls wanna ride with me, yes
They say they like my truck (my truck my truck my truck)
And that's what's up
Oh Jawga Boyz
We done done it again, man
Man, these rednecks been showin' these boys up
Aye, I got this big ole truck and four wheelers
Shoot man, hey
You got some dip, man?"
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),88,True,171291,A Bar Song (Tipsy),2024-04-12,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,"50 ContributorsTranslationsEspañolDeutschFrançaisУкраїнськаNorsk (bokmål / riksmål)A Bar Song (Tipsy) Lyrics
My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This nine-to-five ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey
They know me and Jack Daniеl's got a history
There's a party downtown near 5th Street
Evеrybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

I've been Boozey since I left
I ain't changin' for a check
Tell my ma I ain't forget (Oh, Lord), I
Woke up drunk at 10 a.m.​
We gon' do this shit again
Tell your girl to bring a friend, oh, Lord

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (We go way back)
There's a party downtown near 5th Street
Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy

One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late, but the ladies want some more
Oh my, good Lord (Tell 'em drinks on me)

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (Way back)
There's a party downtown near 5th Street (Come on)
Everybody at the bar gettin' tipsy (Woo-ooh)
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (It's Jack D)
At the bottom of a bottle, don't miss me (Baby, don't miss me)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

That's fuckin' messed up, bro, they kicked me out the bar"
73yDLIB1eD9WAl1u9IXS5C,Cowboy,46,False,258000,Devil Without a Cause,1998,Kid Rock,7dOBabd5O4CvKrg4iriHTM,"49 ContributorsCowboy Lyrics
Cowboy
Cowboy

Well I'm packin' up my game and I'ma head out west
Where real women come equipped with scripts and fake breasts
Find a nest in the Hills, chill like Flynt
Buy an old drop-top find a spot to pimp
And I'ma Kid Rock it up and down ya' block
With a bottle of scotch and watch lots a crotch
Buy a yacht with a flag sayin' ""Chillin' the Most""
Then rock that bitch up and down the coast
Give a toast to the sun, drink with the stars
Get thrown in the mix and tossed outta bars
Sip the Tiajuana, I want to roam
Find Motown, tell them fools to come back home
Start an escort service for all the right reasons
And set up shop at the top of Four Seasons
Kid Rock and I'm the real McCoy
And I'm headed out west sucker because I wanna be a

Cowboy, baby!
With the top let back and the sunshine shinin'
Cowboy, baby!
West Coast chillin' with the Boone's wine
I wanna be a Cowboy, baby!
Ridein' at night 'cause I sleep all day!
Cowboy, baby!
I can smell a pig from a mile away

I bet you'll hear my whistle blowin' when my train rolls in
It goes (whistling), like dust in the wind
Stoned pimp, stoned freak, stoned out of my mind
I once was lost but now I'm just blind
Palm trees and weeds, scabbed knees and rice
Get a map to the stars, find Heidi Fleiss
And if the price is right then I'm gonna make my bid boy
And let Cali-for-ni-a know why they call me

Cowboy, baby!
With the top let back and the sunshine shinin'
Cowboy, baby!
West Coast chillin' with the Boone's wine
I wanna be a Cowboy, baby!
Ridein' at night 'cause I sleep all day!
Cowboy, baby!
I can smell a pig from a mile away

Yeah!
Kid Rock you can call me Tex
Rollin' Sunset woman with a bottle of Beck's
Seen a slimmy in a 'Vette, rolled down my glass
And said ""Yeah this dick fits right in your ass""
No kiddin', gun slingin', spurs hittin' the floor
Call me hoss, I'm the boss with the sauce and the whores
No remorse for the sheriff, in his eye I ain't right
I'ma paint his town red, then paint his wife white
Cause chaos, rock like Amadeus
Find West Coast pussy for my Detroit playas
Mack like mayors, ball like Lakers
They told us to leave, but bet they can't make us
Why they wanna pick on me
Lock me up and snort away my key
I ain't no G, I'm just a regular failure
I ain't straight outta Compton, I'm straight out the trailer
Cuss like a sailor, drink like a mick
My only words of wisdom are just suck my dick
I'm flickin' my Bic up and down that coast and
Keep on truckin' till I fall in the ocean

Cowboy, baby!
With the top let back and the sunshine shinin'
Cowboy, baby!
Spend all my time in Hollywood and Vine
Cowboy, baby!
Ride at night 'cause I sleep all day!
Cowboy, baby!
I can smell a pig from a mile away
Cowboy, baby!
With the top let back and the sunshine shinin'
Cowboy, baby!
With the top let back and the sunshine shinin'
Cowboy!"
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),70,True,141367,Wild Ones (feat. Jelly Roll),2023-10-06,"Jessie Murph, Jelly Roll","2yLzlEFtIS0Q9UkyBZdQA7, 19k8AgwwTSxeaxkOuCQEJs","21 ContributorsWild Ones Lyrics
Hm-mm, yeah, yeah

Got me wide, wide open
Got a .45 on him
And he pushin' 'bout a 102
Always smokin' somethin'
He ain't worried 'bout nothin'
'Cause he ain't got nothing to lose

I got a thing for the hard liquor on ice
Short days and long nights
Marlboros out the window
Middle finger to the sky
Say you wanna get dangerous
Now you're speakin' my language
I forgot what your name is
So, I'ma call you mine (Mine)
I'ma call you mine (Mine)

Got me wide, wide open
Got a .45 on him
And he pushin' 'bout a 102
Always smokin' somethin'
He ain't worried 'bout nothin'
'Cause he ain't got nothing to lose

I got a thing for the wild ones (Wild, wild, wild)
I got a thing for the wild ones, it's like he knew
I got a thing for the wild ones (Wild, wild, wild)
I got a thing for the wild ones, they like me too

(Yeah) I'm attracted to things that are really crazy
Asking me how I've been feelin' lately
Coming for mine, then it's do or die
I won't let it slide, no stealin' bases
No back-and-forth bargainin' (Now)
No bitchin' and arguin'
A whole lotta problems, livin' in Gotham
And Bunnie's my Harley Quinn (My Harley Quinn)
Was raised in the darkness, forgive me, I'm guarded (Guarded)
I have no shame, I'm in love with the heartless
The police will never take us alive
And cowgirls don't cry

Got me wide, wide open
Got a .45 on him
And he pushin' 'bout a 102
Always smokin' somethin'
He ain't worried 'bout nothin'
'Cause he ain't got nothing to lose

I got a thing for the wild ones (Wild, wild, wild)
I got a thing for the wild ones, it's like he knew
I got a thing for the wild ones (Wild, wild, wild)
I got a thing for the wild ones, they like me too

Yeah (Wild, wild, wild)
A thing for the wild ones (It's like he knew)
I got a thing for the wild ones (Wild, wild, wild)
Got a thing for the wild ones (They like me too, hm)"
13F5i1GqcozCFrZX9CpWi3,Dutton Ranch Freestyle,64,False,143787,Bored In The USA,2023-11-10,David Morris,23Pb3oXBOQj9WEziS6laUW,"7 ContributorsDutton Ranch Freestyle Lyrics
Met a girl downtown at the bar last night and we got to talkin'
Said she likes cheap drinks and tattoos and Morgan Wallen
She said, ""What about you?"" I said, ""I like late night bonfires
Yellowstone, Whiskey Myers, and lifted trucks with mud on the tires
And I'm back

Feelin' like a million bucks
Still tryna live it up, live in America
Grew up in the Appalachian mountains
South of the Mason Dixon in a small-town area
Been tryna tell y'all for a minute that I'm here
I ain't goin' nowhere anytime soon
I'm in my hometown right now
With the windows down at the Cook Out drive-thru
Pull up, hop out, Walmart, late night
Redbox movie, you, me, date night
This that full moon risin'
Girl, I'm full of surprisеs
Camo pants with the Air Johns
I'm so stylish
Don't ask me for my opinion
I don't want y'all to get offеnded
Everybody's just so sensitive
It's so crazy, it's ruined so many friendships
Okay, I'ma come back later
Why would I care about my haters?
All I care about's my friends, my family, and my Lord and Savior
I'm back now on the track now
West Virginia's finally on the map now
I just do my thing, let my guitar sing, like
Ayy, ayy, ayy, ayy
Back in this thing like I never left, my flow is heaven-sent
I'm eatin' jerky, it's venison
I am pure excellence, I am the excrement
Everybody's in the room, I'm the elephant (Ayy)
Hoppin' in my truck, I'm comin'
Keep that engine runnin'
Just copped me a new chain with Yellowstones
I feel like John Dutton
Y'all boys lame like Jamie
Me? I'm more like Kayce
On these tracks, I'm Beth (Why?)
'Cause I go crazy
Yeah, I'm wild and free
Got riders with me
They call my boy Rip 'cause when you see him
It's R.I.P

Met a girl downtown at the bar last night and we got to talkin'
Said she likes cheap drinks and tattoos and Morgan Wallen
She said, ""What about you?"" I said, ""I like late night bonfires
Yellowstone, Whiskey Myers, and lifted trucks with mud on the tires
And I'm back

(Yellowstone, Whiskey Myers, and lifted trucks with mud on the tires)
(And I'm back)"
7hRLuo4QnzCsjICXUOhTE6,WHISKEY WHISKEY (feat. Morgan Wallen),73,True,161052,SPEAK NOW,2024-06-14,"Moneybagg Yo, Morgan Wallen","3tJoFztHeIJkJWMrx0td2f, 4oUHIQIBe0LHzYfvXNW4QM","26 ContributorsWHISKEY WHISKEY Lyrics
Another shot, she'll love me again
(Run that back, Turbo)
Haha, make it a double

Whiskey, whiskey, won’t you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don’t wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it (Hey), tired of it (Yeah, speak)

Dark brown skin, caught eye contact while walkin' in (On the walk up)
Perfect timing, get beside me, now we lockin' in (Linked in)
She like, ""Tell me how you want it, on the rocks again (What else?)
Lil' salt around the rim (Okay), filled to the top again?"" (Let's go)
Fell back, now I'm back in it
Del Dia shots got me sinning
Big racks, but these jeans skinny
Plain Richard Mille square business (Boss)
See me in the club two-steppin’
Diamonds ’round my neck square-dancing
You done made a gangster romantic
Fiendin' for your love, I’m an addict (Ayy)
So addicted, ain't nothin' we can do about it (Nah)
Country motherfucker, I say, ""What's up?"" she say, ""Howdy"" (Howdy)
Call you my lil’ cowgirl how you ride it like a stallion (Uh, uh)
Don't know why I love it
Can't get tired of it (I'm on you bad)

Whiskey, whiskey, won't you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don't wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it, tired of it

Put you up and hide you on the shelf, I swear I'm through with you
You so hard to leave alone, it's always something new with you
Ain't no way to get her gone, gone, gone
So I guess I'm gonna tie one on
She's so cold, I had to go and pour you over ice
Way you got me locked down, you'd think whiskey was my wife
You so good, I had to take you home and hit it twice
Two of you gon' keep me up all night

Whiskey, whiskey, won't you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don't wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it, tired of it

And I'm tired of it, tired of it"
5kSPD3rOo2hGYVwheIxpv8,Workin' on,61,False,224699,Thanks for Listening,2014-07-01,Colt Ford,0OpWIlokQeE7BNQMhuu2Nx,"6 ContributorsWorkin’ On Lyrics
Chasing after that dollar like it'll slow down my hurry
Settle all my worries when I get it in my wallet
Quit dippin' long enough to own a pair of jeans
That don't have a ring in the back left pocket
Laughin' at myself, admittin' when I'm wrong
That's what this good ol' boy's gonna go out workin' on

Workin' on comin' to Jesus, kickin' the bottle
Wrestlin' with our roots
Tryin' to turn off Mama's tears and fill our Daddy's boots
Shuttin' off our pride, fixin' bridges we burned, learnin' how to live and learn
Keepin' our demons down and our trucks up and runnin'
Lovin' them angels sittin' pretty in the middle of 'em
Fightin' with the man in the mirror 'til we gone
Yeah, that's what all us good ol' boys gonna go out workin' on
Gonna go out workin' on

Givin' more forgiveness, pickin' battles worth choosin'
Little less cussin' and losin' my temper and my tools
Dialin' down my restless, outgrowin' my reckless
And my reputation for breakin' hearts and rules
Realizin' I got what I got 'fore it's gone
That's what this good ol' boy's gonna go out workin' on

Workin' on comin' to Jesus, kickin' the bottle
Wrestlin' with our roots
Tryin' to turn off Mama's tears and fill our Daddy's boots
Shuttin' off our pride, fixin' bridges we burned, learnin' how to live and learn
Keepin' our demons down and our trucks up and runnin'
Lovin' them angels sittin' pretty in the middle of 'em
Fightin' with the man in the mirror 'til we gone
Yeah, that's what all us good ol' boys gonna go out workin' on
Gonna go out workin' on

Owning up to my weaknesses, keepin' it humble but strong
Doin' the best I can with this flesh and bone

Workin' on comin' to Jesus, kickin' the bottle
Wrestlin' with our roots
Tryin' to turn off Mama's tears and fill our Daddy's boots
Shuttin' off our pride, fixin' bridges we burned, learnin' how to live and learn
Keepin' our demons down and our trucks up and runnin'
Lovin' them angels sittin' pretty in the middle of 'em
Fightin' with the man in the mirror 'til we gone
Yeah, that's what all us good ol' boys gonna go out workin' on
Gonna go out workin' on"
