id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),86,True,178205,F-1 Trillion,2024-08-15,"Post Malone, Morgan Wallen","246dkjvS1zLTtiykXe5h60, 4oUHIQIBe0LHzYfvXNW4QM",country,"2 ContributorsTranslationsEnglishDeutschNorsk (bokmål / riksmål)EspañolPolskiItalianoPost Malone - I Had Some Help ft. Morgan Wallen (Tradução em Português) Lyrics

Você tem muita coragem, não tem, querida?
Eu só encho a cara porque você me faz fazer isso
Você 'tá dizendo pra todos os seus amigos que eu sou louco
Como se eu fosse o único
Por que você os apedrejaria se você
Tinha um ou dois grandes desejos?
Morando nessa grande casa de vidro com uma bela visão
Eu achei que você sabia que

Eu tive ajuda
Não é como se eu pudesse fazer toda essa bagunça por conta própria
Não aja como se você não tivesse me ajudado a puxar a garrafa pra fora da prateleira
Estive bem envolvido em todo final de semana, se não percebeu
Eles dizem, ""Trabalho em equipe faz o sonho acontecer""
É lógico que eu tive ajuda (Ajuda)

(Ajuda)

Você achou que eu levaria a culpa por termos terminado
Ande por aí como se você não fosse a culpada de algo
Já perdeste o jogo que esteve fugindo
Parece que está te alcançando, né
Você acha que é tão inocente
Depois de toda a merda que fez
Eu não sou um anjo, você não é enviada dos céus
Não consigo nos tirarmos disso

Eu tive ajuda
Não é como se eu pudesse fazer toda essa bagunça por conta própria
Não aja como se você não tivesse me ajudado a puxar a garrafa pra fora da prateleira
Estive bem envolvido em todo final de semana, se não percebeu
Eles dizem, ""Trabalho em equipe faz o sonho acontecer""
É lógico que eu tive ajuda (Ajuda)

(Ajuda)
(Ajuda)
(Ajuda)

É necessário dois pra quebrar um coração no meio, ooh
Querida, você me põe a culpa e, querida, eu ponho a culpa em você
Aw, se não for essa a verdade (Oh)

Eu tive ajuda
Não é como se eu pudesse fazer toda essa bagunça por conta própria
Não aja como se você não tivesse me ajudado a puxar a garrafa pra fora da prateleira
Estive bem envolvido em todo final de semana, se não percebeu
Eles dizem, ""Trabalho em equipe faz o sonho acontecer""
É lógico que eu tive ajuda (Ajuda)

(Ajuda)
(Ajuda)
(Ajuda)"
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),87,True,171782,What Happens Now?,2024-02-16,Dasha,7Ez6lTtSMjMf2YSYpukP1I,,"41 ContributorsTranslationsNorsk (bokmål / riksmål)EspañolDeutschAustin (Boots Stop Workin’) Lyrics
We had a plan, move out of this town, baby
West to the sand, it's all we talked about lately
I'd pack the car, bring your guitar and Jane for smokin'
First thing at dawn, you'd queue the songs and we'd get goin'
But you weren't home, waited on the porch for ya
Sat there alone, all throughout the morn' 'til I
Got a hunch down in my gut and snuck around the back
Empty cans and I'll be damned, your shit was never packed

Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

Hell of a bluff, you had me believin'
How many months did you plan on leavin'?
What happened? Bad habits?
Did you go back? Go batshit?
I loved you, how tragic, oh-oh

Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

(Did your truck break down? Did your ex find out?)"
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),77,False,189356,Lonely Road (with Jelly Roll),2024-07-26,"mgk, Jelly Roll","6TIYQ3jFPwQSRmorSezPxX, 19k8AgwwTSxeaxkOuCQEJs","country, country hip hop",
1KZG1H1OCugGqIRmk1wF9m,Indigo (feat. Avery Anna),87,False,286634,Restless Mind,2024-11-01,"Sam Barber, Avery Anna","08GfvCW09pv2QP4y9sle2a, 5rjz63sgMaAUAyBMyCUK5D",country,"13 ContributorsIndigo Lyrics
I know you're worried at night, I won't find my way
And I'm tired of lyin' to myself just to get through each day
My head says, ""I shoulda never left""
And that my feet will soon lead to my death

I'm startin' to question
If God's tryna teach me a lesson
I'm startin' to wonder
If my true colors changed since I left ya

I used to shine bright like gold, now I'm all indigo
My colors are darker and cold, I think it's time that I went home
And I don't understand why I always feel dead and alone
Well, I used to shine bright like gold, now I'm all indigo

I gave up a piece of my heart, then I turned to run
Oh, my head's in the clouds, but I don't feel close to the sun
And the light fades away from my face, and the tears fall like rain
So I turn my words all into faith, hope it's me that they save

Oh, I'm startin' to question
If God's tryna teach me a lesson
Lord knows I'm startin' to wonder
If my true colors changed since I left ya

I used to shine bright like gold, now I'm all indigo
My colors are darker and cold, I think it's time that I went home
And I don't understand why I always feel dead and alone
Well, I used to shine bright like gold, now I'm all indigo

I'm startin' to question
If God's tryna teach me a lesson
(Lord knows) I'm startin' to wonder
If my true colors changed since I left ya


I used to shine bright like gold, now I'm all indigo
My colors are darker and cold, I think it's time that I went home
And I don't understand why I always feel dead and alone
I used to shine bright like gold, now I'm all indigo
Now I'm all indigo

Mm"
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),88,True,171291,A Bar Song (Tipsy),2024-04-12,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,,"51 ContributorsTranslationsEspañolDeutschFrançaisУкраїнськаNorsk (bokmål / riksmål)A Bar Song (Tipsy) Lyrics
My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This nine-to-five ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey
They know me and Jack Daniеl's got a history
There's a party downtown near 5th Street
Evеrybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

I've been Boozey since I left
I ain't changin' for a check
Tell my ma I ain't forget (Oh, Lord), I
Woke up drunk at 10 a.m.​
We gon' do this shit again
Tell your girl to bring a friend, oh, Lord

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (We go way back)
There's a party downtown near 5th Street
Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy

One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late, but the ladies want some more
Oh my, good Lord (Tell 'em drinks on me)

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (Way back)
There's a party downtown near 5th Street (Come on)
Everybody at the bar gettin' tipsy (Woo-ooh)
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (It's Jack D)
At the bottom of a bottle, don't miss me (Baby, don't miss me)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

That's fuckin' messed up, bro, they kicked me out the bar"
3l4X2Q9qv4M9Yy84jAgFhh,Anybody,54,False,193493,Anybody,2025-04-04,Clayton Johnson,4cybx8xQKafXgZFGGHdJN9,,
6StwwqB84sJeLr7tZDTxEX,Guy For That (Feat. Luke Combs),80,False,164011,F-1 Trillion,2024-08-15,"Post Malone, Luke Combs","246dkjvS1zLTtiykXe5h60, 718COspgdWOnwOFpJHRZHS",country,"2 ContributorsTranslationsEnglishPolskiDeutschEspañolPost Malone - Guy For That ft. Luke Combs (Tradução em Português) Lyrics

Encontrei um cara pra mirar no meu rifle
O novo namorado da minha mãe reencaderna bíblias
Ricky na estrada, ele arruma as solas dos Red Wings
Droga, eu tenho um cara pra tudo
Oh, isso não é exatamente o que eu 'tô procurando
Porque eu 'tô procurando por

Alguém pra colocar as rodas dela de volta no lugar
E se não fizerem, então eu talvez vá
Perder o que ainda me resta da minha mente nunca amorosa
Estou quase ficando no fundo do poço
Eu sou muito bom em partir um coração
Mas pegar os pedaços é a parte mais difícil
Ela está buscando por alguém bom que irá reconstrui-lo de novo
Mas eu não encontrei um cara pra isso

Não encontrei um cara pra isso, não encontrei um cara pra isso
Não encontrei um cara pra isso

Conheço um VIP no MIT
E ele ainda não me deixa pilotar a máquina do tempo
Alguém que faça recuar os ponteiros do meu novo AP
Mas, amigo, o que eu realmente preciso

É de alguém pra colocar as rodas dela de volta no lugar
E se não fizerem, então eu talvez vá
Perder o que ainda me resta da minha mente nunca amorosa
Estou quase ficando no fundo do poço
Eu sou muito bom em partir um coração
Mas pegar os pedaços é a parte mais difícil
Ela está buscando por alguém bom que irá reconstrui-lo de novo
Mas eu não encontrei um cara pra isso

Não encontrei um cara pra isso, não encontrei um cara pra isso (Cara pra isso)
Não encontrei um cara pra isso, eu não encontrei um cara pra isso
Não encontrei um cara pra isso, não encontrei um cara pra isso (Cara pra isso)
Não encontrei um cara pra isso, eu não encontrei um cara pra isso"
4pkb8SbRGeHAvdb87v9rpf,Miles On It,83,False,168355,Miles On It,2024-05-03,"Marshmello, Kane Brown","64KEffDW9EtZ1y2vBYgq8T, 3oSJ7TBVCWMDMiYjXNiCKE","pop country, country, edm","18 ContributorsMiles On It Lyrics
New truck, big lift
Old roads, we've been
Tearin' up since way back when
But these wheels are innocent
New hitch, new seats, no history
And you just can't fake that
So, let's change that

Girl, let's go put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
Wе could break it in if you know what I mean
Put some milеs on it
We could break it in if you know what I mean

All night, no brakes
All tail, no gate
Ain't gotta try too hard
My baby's push to start
All torque, full speed
Off-road, on me
Zero to a hundred fast
My foot ain't touch the gas
I said, ""Hey, baby, slow it down, let's make it last""
You said, ""Where's the fun in that?""

Yeah, let's go, put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean

Mile after mile after mile after mile
Turn up the night like that radio dial
Shoulder to shoulder where nobody knows
Know where we're goin', we ain't goin' home

We're puttin' miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on it"
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,88,False,204828,Love Somebody,2024-10-18,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,"20 ContributorsTranslationsEspañolLove Somebody Lyrics
Rumors goin' all over town
Can't keep my name out they mouth these days
Yeah, they say
I live too fast to settle down
Truth is I just ain't about these games
They all play

Wanna find
Somethin' stronger than the whiskey
And oh, I've tried
But every time I feel her kiss me, I keep comin' up empty, yeah

I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somе-

​-Body who ain't hypnotized
By dollar signs and blindin' lights
Like they tеnd to be, yeah
I need someone that I'd be proud
To take on back to my hometown
Honest eyes that just ain't gonna lead

To lonely nights
Even when she's up against me
I don't know why
It feels like there's nobody with me
And I'm still empty, yeah

I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somebody


I just wanna love somebody (Woah)
I just wanna love somebody
Who won't leave a hole in my heart
I just wanna love somebody
That don't want me fallin' apart
And I'd be lucky if I ever find
A somethin' more than just a crazy night
I just wanna love somebody"
0llPOBVoJYDAtdmVlNE41A,Liar,80,False,204933,Beautifully Broken,2024-10-10,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,"country, country hip hop","10 ContributorsTranslationsУкраїнськаLiar Lyrics
I, I let you drive around my mind
I can't count the times you made me feel like I'm nothin'
Played me like a fool, like a fool

Saying, ""Drink another whiskey
Pop another pill
Money makes you happy
Heaven isn't real
You won't find nobody to love
Because your heart's too broke""
Now I know

You ain't nothin' but a liar
Yeah, I walk right out the fire
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liar

You burned me one too many times
Like a devil in disguise, hiding your true colors
Just leave me alone
Keep leading me on

Saying, ""Drink another whiskey
Pop another pill
Money makes you happy
Heaven isn't real
You won't find nobody to love
Because your heart's too broke""
Now I know

You ain't nothin' but a liar
Yeah, I walk right out the fire
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liar

If I was doin' what you do
Then you would swear I poisoned you

You're nothing but a liar (Liar)
Yeah, I walk right out the fire (Fire)
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liar"
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),86,False,210950,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,Luke Combs,718COspgdWOnwOFpJHRZHS,country,
2GDuUzxtx7hiHN5hIqxMpr,Rhinestones & Rust,41,False,189079,Rhinestones & Rust,2025-04-04,Karly Kryski,06xUrSeeHPfR9XfMA7JTKW,,
