id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
56pHllZT7QOacB0bP56ofx,Chasing Pavements,73,False,210506,19,2008-01-28,Adele,4dpARuHxo51G3z768sgnrY,"46 ContributorsTranslationsDanskEspañolPortuguêsDeutschChasing Pavements Lyrics
I've made up my mind
Don't need to think it over
If I'm wrong, I am right
Don't need to look no further
This ain't lust, I know this is love, but
If I tell the world, I'll never say enough
'Cause it was not said to you
And that's exactly what I need to do if I end up with you

Should I give up or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up or should I just keep chasing pavements
Even if it leads nowhere?

I build myself up and fly around in circles
Waiting as my heart drops
And my back begins to tingle
Finally, could this be it, or?

Should I give up or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up or should I just keep chasing pavements
Even if it leads nowhere? Yeah

Should I give up or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up or should I just keep on chasing pavements?
Should I just keep on chasing pavements?
Oh-oh

Should I give up or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up or should I just keep chasing pavements
Even if it leads nowhere?"
5FgPwJ7Nh2FVmIXviKl2VF,Make You Feel My Love,73,False,212040,19,2008-01-28,Adele,4dpARuHxo51G3z768sgnrY,"67 ContributorsTranslationsEspañolPortuguêsMake You Feel My Love Lyrics
When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I will never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry, I'd go black and blue
I'd go crawling down the avenue
No there's nothing that I wouldn't do
To make you feel my love


The storms are raging on the rollin' sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
Nothing that I wouldn't do
Go to the ends of the earth for you
To make you feel my love
To make you feel my love"
2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,80,False,258411,No Secrets,1972,Carly Simon,4FtSnMlCVxCswABUmdhwpm,"62 ContributorsTranslationsFrançaisYou’re So Vain Lyrics
Son of a gun

You walked into the party like you were walking onto a yacht
Your hat strategically dipped below one eye
Your scarf it was apricot
You had one eye in the mirror, as you watched yourself gavotte

And all the girls dreamed that they'd be your partner
They'd be your partner and

You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I'll bet you think this song is about you
Don't you? Don't you?

You had me several years ago when I was still quite naive
Well, you said that we made such a pretty pair and that you would never leave
But you gave away the things you loved
And one of them was me

I had some dreams, they were clouds in my coffee
Clouds in my coffee and

You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I'll bet you think this song is about you
Don't you? Don't you? Don't you?


I had some dreams, they were clouds in my coffee
Clouds in my coffee and

You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I'll bet you think this song is about you
Don't you? Don't you?

Well, I hear you went up to Saratoga
And your horse naturally won
Then you flew your Learjet up to Nova Scotia
To see the total eclipse of the sun
Well, you're where you should be all the time
And when you're not

You're with some underworld spy or the wife of a close friend
Wife of a close friend and

You're so vain
You probably think this song is about you
You're so vain (so vain)
I'll bet you think this song is about you
Don't you? Don't you? Don't you now?

You're so vain
You probably think this song is about you
You're so vain
You probably think this song is about you
You're so vain
You probably think this song is about you"
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,78,False,199946,Some Hearts,2005-11-14,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,"77 ContributorsBefore He Cheats Lyrics
Right now, he's probably slow dancing
With a bleached-blonde tramp
And she's probably getting frisky
Right now, he's probably buying her some fruity little drink
'Cause she can't shoot a whiskey
Right now, he's probably up behind her with a pool-stick
Showing her how to shoot a combo
And he don't know

I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

Right now, she's probably up singing some
White-trash version of Shania karaoke
Right now, she's probably saying, ""I'm drunk""
And he's a thinking that he's gonna get lucky
Right now, he's probably dabbing on
Three dollars worth of that bathroom Polo
Oh, and he don't know

Oh, that I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

I might've saved a little trouble for the next girl
'Cause the next time that he cheats
Oh, you know it won't be on me
No, not on me

'Cause I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

Oh, maybe next time, he'll think before he cheats
Oh, before he cheats
Oh"
7krtdt69mHq3MNAzRDpep9,Breaking Free,0,False,209189,Now Or Never,2014-09-05,Melodyia Music,0y0CHcv9fCYglm2sI9J7K8,"2 ContributorsBreaking Free (Skybreak Remix) Lyrics
Movements, movements, movements are slow
You're movin' away yet
Tellin' me where to go
And I am far gone and d-done with this
Once you are gone, life will be bliss

Because I'm ready to go
I'm ready to fly alone
Take my mind off you
Until you are unknown

Why can't you let me go?

I'm ready to go, I'm ready, ooh

Move away, movin' away, in a way
From these evil ways, evil ways
I'm tryin' not to break away
Break away from this state of mind
Move away, movin' away, in a way
From these evil ways, evil ways
I'm tryin' not to break away
Break away from this state of mind

Because I'm ready to go
I'm ready to fly alone
Take my mind off you
Until you are unknown

(I'm ready to go)
I'm free


(Because I'm ready to go, I'm ready to fly alone)
(Because I'm ready to go, I'm ready to fly alone)
(Because I'm ready to go, I'm ready to fly alone)"
717z018DWodjJnW6DE7t4z,Mamma Mia,58,False,159626,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),2018-07-13,"Lily James, Jessica Keenan Wynn, Alexa Davies","7gWjOPetXNCBqlVe6axl8K, 5U2zidY0OdTB6P5axinwOZ, 30o4QIjXJukHg0IGC93AV1","16 ContributorsMamma Mia Lyrics
I was cheated by you
And I think you know when
So I made up my mind
It must come to an end

Look at me now, will I ever learn?
I don't know how
But I suddenly lose control
There's a fire within my soul
Just one look
And I can hear a bell ring
One more look and I forget everything, w-o-o-o-o-h

Mamma mia, here I go again
My my, how can I resist ya?
Mamma mia, does it show again?
My my, just how much I've missed ya
Yes, I've been brokenhearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My my, I should not have let you go

I was angry and sad
'Bout the things that you do
I can't count all the times that I cried over you

And when you go
When you slam the door
I think you know
That you won’t be away too long
You know that I’m not that strong
Just one look
And I can hear a bell ring
One more look and I forget everything, w-o-o-o-oh

Mamma mia, here I go again
My my, how can I resist ya?
Mamma mia, does it show again?
My my, just how much I've missed ya
Yes, I've been brokenhearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia
Now I really know
My, my, I should not have let you go"
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,86,False,199986,Up All Night,2012-05-25,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"156 ContributorsTranslationsEspañolPortuguês한국어FrançaisDeutschWhat Makes You Beautiful Lyrics
You're insecure, don't know what for
You're turnin' heads when you walk through the door
Don't need makeup to cover up (Huh)
Bein' the way that you are is enough

Everyone else in the room can see it
Everyone else but you

Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, oh-oh, you don't know you're beautiful, oh-oh
That's what makes you beautiful

So c-come on, you got it wrong
To prove I'm right, I put it in a song
I don't know why you're being shy
And turn away when I look into your eyes

Everyone else in the room can see it
Everyone else but you

Baby, you light up my world like nobody else ('Body else)
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful (Oh)
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, oh-oh, you don't know you're beautiful, oh-oh
That's what makes you beautiful

Na, na-na-na, na-na-na, na, na
Na, na-na-na, na-na
Na, na-na-na, na-na-na, na, na
Na, na-na-na, na-na

Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
(You don't know, oh-oh) You don't know you're beautiful

Baby, you light up my world like nobody else (Light up my world like nobody else)
The way that you flip your hair (C'mon) gets me overwhelmed
But when you smile at the ground (Smile at the ground), it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful (Oh, woah)
If only you saw what I can see
You'll understand why I want you so desperately (Desperately)
Right now I'm looking at you and I can't believe
You don't know (Don't know), oh-oh, you don't know you're beautiful, oh-oh
You don't know you're beautiful, oh-oh
That's what makes you beautiful"
66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,77,False,246466,The Sweet Escape,2006-01-01,"Gwen Stefani, Akon","4yiQZ8tQPux8cPriYMWUFP, 0z4gvV4rjIZ9wHck67ucSV","65 ContributorsThe Sweet Escape Lyrics
Konvict, Konvict, Konvict
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo

If I could escape, I would
But first of all, let me say
I must apologize for acting stank and treating you this way
'Cause I've been acting like sour milk all on the floor
It's your fault, you didn't shut the refrigerator
Maybe that's the reason I've been acting so cold

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away) to our sweet escape (Sweet escape)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away), yeah (Yeah)

You melt me down, I'm at my lowest boiling point
Come help me out, I need to get me out of this joint
Come on, let's bounce, counting on you to turn me around
Instead of clowning around, let's look for some common ground
So baby, times get a little crazy
I've been gettin' a little lazy
Waitin' on you to come save me
I can see that you're angry by the way that you treat me
Hopefully you don't leave me, wanna take you with me

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
If I could escape
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
If I could escape
'Cause I've been acting like sour milk all on the floor
It's your fault you didn't shut the refrigerator
Maybe that's the reason I've been acting so cold

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now, wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away) to our sweet escape (Sweet escape)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away), yeah (Yeah)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)"
5x5JM1BSB6vollcIzDocqT,The Climb,75,False,234520,The Time Of Our Lives (International Version),2009-01-01,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,"67 ContributorsTranslationsالعربيةThe Climb Lyrics
I can almost see it
That dream I'm dreaming, but
There's a voice inside my head saying
""You'll never reach it""
Every step I'm taking
Every move I make feels lost with no direction
My faith is shaken

But I, I gotta keep trying
Gotta keep my head held high

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waiting on the other side
It's the climb

The struggles I'm facing
The chances I'm taking
Sometimes might knock me down, but
No, I'm not breaking
I may not know it
But these are the moments that
I'm gonna remember most, yeah
Just gotta keep going

And I, I gotta be strong
Just keep pushing on 'cause

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waiting on the other side
It's the climb

Yeah

There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes you're gonna have to lose
Ain't about how fast I get there
Ain't about what's waiting on the other side
It's the climb
Yeah

Keep on moving
Keep climbing
Keep the faith, baby
It's all about, it's all about the climb
Keep your faith, keep your faith
Whoa-ooh-oh"
1dEy9Pl81QopSxNsPxXQxv,Stay,69,False,240706,Unapologetic (Deluxe),2012-12-11,"Rihanna, Mikky Ekko","5pKCCKE2ajJHZ9KAiaK11H, 1buzCmyYZE4kcdLRudsb8V","13 ContributorsTranslationsEnglishΕλληνικάDeutschRihanna - Stay (ft. Mikky Ekko) (Traduction française) Lyrics
Depuis le début je te désire
J'en ai des sueurs froides
J'ai levé les mains en l'air et je lui ai dit de me montrer quelque chose
Il a dit viens plus près si tu l'oses
On fait que tourner, oui tourner, oui tourner en rond
Oh, maintenant dis-moi que tu comprends

Je ne peux pas décrire ce que je ressens
Il y a quelque chose dans ta façon de te comporter
Fait que je ne pourrais pas vivre sans toi
C'est dans tout mon corps
Je veux que tu restes

Ce n'est pas vraiment la façon dont tu vis ta vie
Ce n'est pas juste quelque chose que tu prends, c'est un don
On fait que tourner, oui tourner, oui tourner en rond
Oh, maintenant dis-moi que tu comprends

Je ne peux pas décrire ce que je ressens
Il y a quelque chose dans ta façon de te comporter
Fait que je ne pourrais pas vivre sans toi
C'est dans tout mon corps
Je veux que tu restes

Tu es ce qui me fait tenir le coup
Car j'ai besoin de comblé ce trou
C'est toi qui est cassé
Alors que je suis le/la seule qui aurait besoin d'être sauvée
Car quand tu ne vois jamais la lumière
Il est difficile de voir celui qui est en train de céder

Je ne peux pas décrire ce que je ressens
Il y a quelque chose dans ta façon de te comporter
Fait que je ne pourrais pas vivre sans toi
C'est dans tout mon corps
Je veux que tu restes"
