id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
745H5CctFr12Mo7cqa1BMH,My Girl,82,False,165000,The Temptations Sing Smokey,1965-03-22,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,"42 ContributorsMy Girl Lyrics
I've got sunshine on a cloudy day
When it's cold outside, I've got the month of May
I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl, my girl

I've got so much honey, the bees envy me
I've got a sweeter song than the birds in the trees
Well, I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl, my girl

Ooh, ooh
Hey, hey, hey
Ooh, ooh
Hey, hey, hey
Ooh, ooh, yeah

I don't need no money, fortune, or fame
I've got all the riches, baby, one man can claim
Well, I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl, my girl
(Talkin' 'bout my girl)

I've got sunshine on a cloudy day (Woah, woah)
With my girl
I've even got the month of May
With my girl
Talkin' 'bout, talkin 'bout, talkin 'bout my girl
Ooh, my girl
That's all I can talk about is my girl
Why don't you believe she's all my girl"
3IDc87lrpEHWFBASmgTgFV,Mercy Mercy Me (The Ecology),70,False,193573,What's Going On,1971-05-21,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"40 ContributorsTranslationsEspañolMercy Mercy Me (The Ecology) Lyrics
Woah-oh, oh, mercy, mercy me
Oh, things ain't what they used to be, no, no
Where did all the blue skies go?
Poison is the wind that blows from the North and South and East

(Father) Woah-oh, mercy, mercy me (Ah, mercy)
Oh, things ain't what they used to be, no, no (Have mercy, Father)
Oil wasted on the oceans and upon our seas (Have mercy, please have mercy, Father)
Fish full of mercury (Please have mercy, Father)

Oh, oh, oh mercy, mercy me (Help us, Father, have mercy, please help us, Father)
Oh, things ain't what they used to be, no, no (Have mercy, you oughta help us, Father)
Radiation underground and in the sky (Please have mercy, ah, help us, Father)
Animals and birds who live nearby are dying (Oh, please help us, Father, Father, help us, Father)

Oh, mercy, mercy me (Have mercy, mmm, mercy, Father)
Oh, things ain't what they used to be (Please have mercy, ah, mercy, Father)
What about this overcrowded land? (Have mercy, Father, oh, have mercy, Father)
How much more abuse from man can she stand? (Please have mercy, mmm)

Ooh, ooh, oh, no, no, na, na, na, na
My sweet Lord, na, na, na
My, my Lord, my sweet Lord
Breathe"
10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,73,False,172320,Gets Next to You,1971-08-14,Al Green,3dkbV4qihUeMsqN4vBGg93,"23 ContributorsTired of Being Alone Lyrics
Sweet baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Just as soon as you can?

People say that I've found a way
To make you say that you love me
Hey baby, you didn't go for that
It's a natural fact
That I wanna come back
Show me where it's at, baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Soon as you can?

I guess you know that I, uh, I love you so
Even though you don't want me no more
Hey hey hey hey, I'm cryin' tears
All through the years
I'll tell ya like it is
Honey, love me if you will

Yeah baby
Tired of being alone here by myself, now
I tell ya, I'm tired baby
I'm tired of being all wrapped up late at night
In my dreams, nobody but you, baby
Sometimes I wonder (Oooooh)
If you love me like you say you do
You see baby, I been thinkin' about it, yeah
I been, I been wantin' to get next to you baby
Ya see, sometimes I fold my arms, I say mmmm hmmm hmmm (Oooh)
Yeah baby
Meeting you has proven to me
To be my greatest dream, yeah

Tired, baby
Yeah, you don't know what I'm talkin' about
Sometimes late at night, I get to wonderin' about you baby
Oh, baby, baby
I'm so tired of being alone
I'm so tired of being alone
I'm so tired of being alone…"
6VnpKLtfNH4Dk09YSGPSyR,It Ain't Over 'Til It's Over,80,False,242640,Mama Said,1991-04-02,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,"29 ContributorsIt Ain’t Over ’Til It’s Over Lyrics
Here we are still together
We are one
So much time wasted
Playing games with love

So many tears I've cried
So much pain inside
But, baby, it ain't over 'til it's over
So many years we've tried
To keep our love alive
But, baby, it ain't over 'til it's over

How many times
Did we give up?
But we always worked things out
And all my doubts and fears
Kept me wondering, yeah
If I'd always, always be in love

So many tears I've cried
So much pain inside
But, baby, it ain't over 'til it's over
So many years we've tried
And kept our love alive
But, baby, it ain't over 'til it's over


Ooo-hoo
Ooo
Ooo-hooo
Ooo
Ooo-hoo

So many tears I've cried
So much pain inside
But, baby, it ain't over 'til it's over
So many years we've tried
And kept our love alive
'Cause, baby, it ain't over 'til it's over
So many tears I've cried
So much pain inside
But, baby, it ain't over 'til  it's over
So many years we've tried
To keep our love alive
'Cause, baby, it ain't over 'til it's over
(Over, over, over)
So many tears we've cried
So much pain inside
But, baby, it ain't over 'til it's over
So many years we've tried
To keep our love alive
'Cause, baby, it ain't over 'til it's over
(Over, over, over, over)

So many tears we've cried
So much pain inside
Baby, it ain't over 'til it's over
Over"
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,77,False,199396,Let's Stay Together,1972,Al Green,3dkbV4qihUeMsqN4vBGg93,"43 ContributorsTranslationsEnglishLet’s Stay Together Lyrics
Let's stay together

I, I'm so in love with you
Whatever you want to do is all right with me
'Cause you make me feel so brand new
And I want to spend my life with you

Let me say that since, baby, since we've been together
Ooh, loving you forever is what I need
Let me be the one you come running to
I'll never be untrue

Ooh, baby, let's, let's stay together (-gether)
Lovin' you whether
Whether times are good or bad, happy or sad
Ooh-ooh, ooh, whoo-ooh-hoo, yeah
Whether times are good or bad, happy or sad

Why somebody, why people break up
Oh, turn around and make up, I just can't see
You'd never do that to me, would you baby?
Just being around you is all I see, it's what I want to do

Let's, we ought to stay together (-gether)
Lovin' you whether
Whether times are good or bad, happy or sad

C'mon, let's, woo, (Let's stay together) let's stay together
Lovin' you whether
Whether, oh times are good or bad"
5IKLwqBQG6KU6MP2zP80Nu,We Are Family - 1995 Remaster,71,False,216733,We Are Family (1995 Remaster),1995,Sister Sledge,6gkWznnJkdkwRPVcmnrays,
1tqT6DhmsrtQgyCKUwotiw,I Heard It Through The Grapevine,74,False,194293,In The Groove,1968-08-26,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"44 ContributorsTranslationsDeutschI Heard It Through the Grapevine Lyrics
Ooh-ooh, I bet you're wondering how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I love you more
It took me by surprise, I must say
When I found out yesterday
Don't you know that

I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
Oh, I'm just about to lose my mind
Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)

I know a man ain't supposed to cry
But these tears, I can't hold inside
Losing you would end my life, you see
'Cause you mean that much to me
You could have told me yourself
That you love someone else
Instead

I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind
Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)

People say believe half of what you see
Son, and none of what you hear
But I can't help being confused
If it's true please tell me, dear
Do you plan to let me go
For the other guy you loved before?
Don't you know

I heard it through the grapevine
Not much longer would you be mine, baby
I heard it through the grapevine
Ooh, I'm just about to lose my mind
Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)

(Yeah, yeah, yeah)
Honey, honey, I know (Heard it through the grapevine, not much longer would you be my baby)
That you're letting me go (Yeah, yeah, yeah)
Said I heard it through the grapevine (Heard it through the grapevine, not much longer would you be my baby)
Ooh, heard it through the grapevine (Yeah, yeah, yeah)"
74iQ3gahRTOGc19bYadBE3,Thank You (Falettinme Be Mice Elf Agin) - Single Version,57,False,291320,Greatest Hits,1970-11-21,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,
28XDE6yXI6Bp4U3nLSGqzp,Smooth Operator - 2011 Remastered,63,False,256146,The Ultimate Collection,2011-05-09,Sade,47zz7sob9NUcODy0BTDvKx,
3ZYO0HGRFFdAGeb8o7F9KC,"You're The First, The Last, My Everything - Single Version",3,False,212906,"You're The First, The Last, My Everything",2018-03-23,Barry White,3rfgbfpPSfXY40lzRK7Syt,
