id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
23lDDFpPqVktmCcUhc0ytw,Requiem: K. 626: Lacrimosa,60,False,193249,LACRIMOSA,2024-11-20,"Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Czech Symphony Choir","4NJhFmfw43RLBLjQvxDuRS, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4, 7K21JN0AkslSMvl9GX7PEF","requiem, classical, opera, classical piano, chamber music",
6JyihARD2zGUa4uB4NfQiv,"Swan Lake (Suite), Op. 20a, TH.219: I. Scene - Swan Theme",62,False,180379,Tchaikovsky: Swan Lake Suites,2024-03-02,"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková","3MKCzCnpzw3TjUYs2v7vDA, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4",classical,
3Qpj345VRGBSwuOSwFgoQI,Romeo and Juliet Suite No. 2 Montague and Capulets (Excerpt) Op. 64ter,59,False,236374,Romeo and Juliet: Suite No. 2 Montague and Capulets (Excerpt) Op. 64ter,2024-10-09,"Sergei Prokofiev, Czech Symphony Orchestra, Michaela Rózsa Růžičková","4kHtgiRnpmFIV5Tm4BIs8l, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4","neoclassical, classical, orchestra",
76BfKpZqnuNCZtbN8N3s4C,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): I. Allegro Non Molto",58,False,211198,Vivaldi: The Four Seasons,2009-07-01,"Antonio Vivaldi, The City of Prague Philharmonic Chamber Group, Richard Hein, The City of Prague Philharmonic Orchestra, Vlastimil Kobrie","2QOIawHpSlOwXDvSqQ9YJR, 7zrCQHBYu8BG8Mmk5u2ILD, 6i4qpnjBXIoIhnU6YUhFSE, 2oQJQUIpJFFnfKvHJA0xBu, 1c7pPbcIu89lo6a5bkC8b5","classical, orchestra",
6YeewctU7LSmaEx27JDFgD,"Beethoven: Für Elise, Bagatelle No. 25 in A minor, Wo0 59",47,False,193860,"Beethoven: Für Elise, Bagatelle No. 25 in A minor, Wo0 59",2025-04-04,"Ludwig van Beethoven, Mimosa","2wOqMjp9TyABvtHdOSOTUS, 4BoAXqVwV8T2UH1xKPjCl8","classical, classical piano, chamber music",
3C0DdR3Hm2sRTp7pcJlQje,Requiem: II. Dies irae,56,False,144043,VERDI REQUIEM,2024-11-20,"Giuseppe Verdi, Czech Symphony Orchestra, Czech Symphony Choir, Michaela Rózsa Růžičková","1JOQXgYdQV2yfrhewqx96o, 6dBBpd1zW3iywDqNt0UVOk, 7K21JN0AkslSMvl9GX7PEF, 4aJLdYVDr0f2IZzUvvYjW4","opera, classical",
09LzEGbSBQNntC5LsBfBnP,Il Barbiere di Siviglia: Overture: Allegro Vivo (Excerpt),54,False,319524,Il Barbiere di Siviglia: Overture: Allegro Vivo (Excerpt),2025-03-14,"Gioachino Rossini, Czech Symphony Orchestra, Michaela Rózsa Růžičková","0roWUeP7Ac4yK4VN6L2gF4, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4","opera, classical",
7gLNZfRYMDFGPKtKtRWKsl,Selene,47,False,263483,Selene,2025-04-04,José Salinas,3S6QgOuW1hUzeOBIndazZ5,classical,
70EAyoNV7Coaw5ACubFL3F,Gymnopédie No.1,58,False,200031,Gymnopédie No.1,2024-02-09,"Erik Satie, Czech Symphony Orchestra, Michaela Rózsa Růžičková","459INk8vcC0ebEef82WjIK, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4","classical, classical piano",
6Ymt2WH3CVaBs40jC0Ubew,"Barber: Adagio For Strings, Op. 11",55,False,483750,"Barber: Adagio For Strings, Op. 11",2024-04-12,"Samuel Barber, Michaela Rózsa Růžičková, Czech Symphony Orchestra","4XDJurjQCnWLlE7KLZCT9x, 4aJLdYVDr0f2IZzUvvYjW4, 6dBBpd1zW3iywDqNt0UVOk",classical,
7FiRmbIcWrQ15NbRRvgCAz,Clair de Lune,54,False,334937,Clair de Lune,2025-01-13,"Claude Debussy, Sonia Bize","1Uff91EOsvd99rtAupatMP, 6cAMs5xfY7fy9DUhQBaJCF","classical, classical piano",
4GplrFQRsicSrk44HOgwcD,"Cello Suite No. 2 in D Minor, BWV 1008: VI. Gigue",0,False,155731,"Cello Suite No. 2 in D Minor, BWV 1008: VI. Gigue",2025-04-12,"Johann Sebastian Bach, Steven Honigberg","5aIqB5nVVvmFsvSdExz408, 1P26QeBSf1X6lrzRchJNhn","classical, classical piano",
70nWD7Y9tEYvtC6aeaCAbt,"Beethoven: Moonlight Sonata (Op. 27, No. 2, 1st Movement) — Arr. for String Orchestra",55,False,376524,Moonlight Sonata 1st Movement (arr. for string orchestra),2025-01-22,"Ludwig van Beethoven, Czech Symphony Orchestra, Michaela Rózsa Růžičková","2wOqMjp9TyABvtHdOSOTUS, 6dBBpd1zW3iywDqNt0UVOk, 4aJLdYVDr0f2IZzUvvYjW4","classical, classical piano, chamber music",
