id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,66,False,231360,Time for a Change,2007-09-11,Cupid,0lax1ZgWclW6mZFaGu27MM,"28 ContributorsCupid Shuffle Lyrics
New Cupid!
(Time for a change)
Cupid Shuffle, Cupid Shuffle
Cupid Shuffle, Cupid Shuffle
(New style)

Down, down, do your dance, do your dance (Do the Cupid dance)
Down, down, do your dance, do your dance (Come on) (Don't stop)
Down, down, do your dance, do your dance (We got brand new dance)
Down, down, do your dance, do your dance (Hey, hey!)
Down, down, do your dance, do your dance (We got a brand new dance)
Down, down, do your dance, do your dance (Oh, oh, oh)
Down, down, do your dance, do your dance (Yeah, yeah!)
Down, down, do your dance, do your dance (Now let me see ya do that dance)
New style, yeah

They say I'm a rapper, and I say no
They say ""what you doing?"" Try'n to do somebody cold! (Hey)
I just let the music come from my soul
So all of my people can stay on the floor (Ooh ooh)
They got a brand new dance (Come on)
You gotta move your muscle
Brand new dance, it's called the Cupid Shuffle
It don't matter if you're young or you're old (Here we go)
We gone show you how it go (Hey hey)

To the right, to the right, to the right, to the right
To the left, to the left, to the left, to the left
Now kick, now kick, now kick, now kick
Now walk it by yourself, now walk it by yourself
(Let me see you do)

Down, down, do your dance, do your dance (Yeah yeah yeah yeah)
Down, down, do your dance, do your dance (A let me see ya do the cupid)
Down, down, do your dance, do your dance (Woah woah woah woah woah woah woah yeah yeah)
Down, down, do your dance, do your dance (Come on)
Down, down, do your dance, do your dance (Let me see, let me see ya do the cupid)
Down, down, do your dance, do your dance (Do the shuffle baby yeah)
Down, down, do your dance, do your dance (Woah woah oh oh)
Down, down, do your dance, do your dance (Hey hey hey hey yeah yeah)

To the right, to the right, to the right, to the right
To the left, to the left, to the left, to the left
Now kick, now kick, now kick, now kick
Now walk it by yourself, now walk it by yourself
(Let me see you do)
To the right, to the right, to the right, to the right
To the left, to the left, to the left, to the left
Now kick, now kick, now kick, now kick
Now walk it by yourself, now walk it by yourself

Now you see what I'm talkin' about!
I represent for the dirty south
Where we known for swinging out
I'm gone show you what I'm talkin' about

Down, down, do your dance, do your dance (Hey, hey)
Down, down, do your dance, do your dance (A let me see ya do the Cupid Shuffle, the Cupid, Cupid Shuffle)
Down, down, do your dance, do your dance
Down, down, do your dance, do your dance (The Cupid Shuffle, the Cupid, Cupid Shuffle)
Down, down, do your dance, do your dance (Ooh, ooh, oh)
Down, down, do your dance, do your dance (Yeah)
Down, down, do your dance, do your dance (Ooh, ooh, oh oh oh yeah)
Down, down, do your dance, do your dance (Yeah, yeah, yeah yeah)
(Here we go) (Here we go)

To the right, the right, the right, the right, the right
The left, the left, the left, the left, the left
Now kick, now kick, now come on baby kick
Now walk it by yourself, now walk it by yourself
(Now walk wit' it!)
To the right, the right, the right, the right, the right
The left, the left, the left, the left, the left
Now kick, now kick, now kick, now kick
Now walk it by yourself, now walk it by yourself
(Here we go, hey!)

And do the Cupid Shuffle (Oh oh oh oh oh)
Cupid Shuffle (Ooh ooh ooh ooh ooh ooh ooh)
It's ya boy Cupid, C-U-P, the I, the D
Mr. Fat on the track, got another hittin' beat
(Here we go, hey)

Down, down, do your dance, do your dance (Come on, come on)
Down, down, do your dance, do your dance (Let me see you)
Down, down, do your dance, do your dance (Do your dance!)
Down, down, do your dance, do your dance (Hey, hey, hey)
Down, down, do your dance, do your dance (We got brand new dance)
Down, down, do your dance, do your dance (We got brand new sound)
Down, down, do your dance, do your dance (We got a brand new feel)
Down, down, do your dance, do your dance (We got a brand new style y'all)

You better watch how close we comin' (Uh, uh)
So get ready for the brand new style
You better watch how close we comin'
You got another other Mr. Fat (Uh, uh yep)"
5lG0xtobUSiOT2mfJHqtxv,Hole In the Wall,44,False,253173,Material Things,1999-10-19,Mel Waiters,3shtTHtmebW7LPnzO5KAJc,"1 ContributorHole in the wall LyricsLet's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
3 o'clock in the morning
All the damn clubs are closed
I went to this place y'all
I didn't want anyone to know
I walked into the room
Had my nose in the air
It's 7 in the morning
And I'm still in there
Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
I took my high class woman
With me the next night
She didn't want to get out of the car
She said it didn't look right
She walked into the room
With her nose in the air
It's 7 in the morning y'all
She's still in there
Smoke filled room
Whiskey and chicken wings
People dancin' and drinkin'
And no one wants to leave

Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
(sax solo)
Smoke filled room
Whiskey and chicken wings
People dancin' and drinkin'
And no one wants to leave
Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
( i wanna go baby, can we go
To the hole in the wall
I know y'all a lot of y'all heard of that before
It's like all time of night you can hang out all night long
And i wanna go back to the hole in the wall
Somebody go with me )
Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
3 o'clock in the morning
All the damn clubs are closed
I went to this place y'all
I didn't want anyone to know
I walked into the room
Had my nose in the air
It's 7 in the morning
And I'm still in there

Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall
Let's go baby to the hole in the wall
I've had my best time y'all at the hole in the wall"
0k7kfdefyPCDVHtHzgaq6t,I Found Love (On A Lonely Highway),38,False,453533,Powerhouse,2001-02-20,Jeff Floyd,4daynj4qj7K17EbBzEhtDe,"2 ContributorsI Found Love (On a Lonely Highway) LyricsRefrain:
I found love on a lonely highway (2x)
I was blind, and I could not see
Somebody was blowing her horn and looking at me
She said: Pull over, I wanna talk to you
It's seems you need a friend, and I wanna be with you
She said: Can we talk about it? It looks like you're hurting
I think I've been in your shoes, tell me what you wanna do
Refrain2:
I said: Woman, you're crazy, you can't help me
I'm looking for a lover who won't ever hurt me
She said: Why do you think I pulled you over
I wanna give you my love
Refrain
Oh yes I did
I said: Maybe this is my chance to find new romance
I shouldn't act so crazy, and giving up on love
She said: Come and go with me, I'll take you there
To a better place, you'll have a better time with me
Yeah, you'll have a better time with me
Refrain2

Refrain
Oh yes I did, ooh yeah
Well, well
Sure enough
Sweet thing
Oh baby
And whohoho (2x)
Baby
Sweet thing
Sure enough
She said: Why you do you think I pulled you over
I wanna give you my love
She said: If you want it, come and get it
Come and get it (3x)
Come and get all of my love
So refrain (I don't think I understand)
You see I wasn't looking for love
I gave up a long long time ago
I didn't want it, I didn't need it (2x)
I didn't want it, need it, want it, need it
I did want love no more, no!
You see y'all, love and I... love and I...
Love and I don't get along no more
But she said: Pull over, I wanna talk to you

Y'all know, sometimes
Your heart get in the way of what your mind is trying to tell 'em
You see, my mind said: Don't do it
But my heart said: Go ahead on and see what she wants
Go ahead on, it's alright
She said: Pull over
So I pulled over y'all, like a fool
Like a fool y'all
Somewhere between Jacksonville and Daytona
I pulled over like a fool, yeah
But you see y'all, I told that girl, that I really loved
Not one time, not two times, not three, not four, not five, but time again
My my my my my my my, oh!
I pulled over y'all
Now when she stepped out of the car...
When she stepped out of the car, y'all
I threw my head down
I believe I said something like (...)
I wonder can I change...
I wonder can I turn back the sands of time
You see y'all, when she stepped out of the car...
When she stepped out of the car
She was looking so good, so good
I said: Lord have mercy on me
Y'all know the rest...
Y'all know the rest of the story now
She put her arms around me, y'all
And we've been together ever since
I guess I found love..."
0TgsWy0Fh6sL90mcG06pVg,My Sidepiece (feat. Pokey & Major Clark Jr.),0,False,281000,Love On the Bayou,2014-07-02,"The Louisiana Blues Brothas, Major Clark Jr., Pokey","0EhCVWkiH71SkXyDohU2Kn, 70JQFAj8dFubiZTxPmS9YR, 0BpLV4HfpsQjl2bEGi0SHv",
5o61LLrnFaGbcEbecemBIo,Why Me?,0,False,214120,Why Me?,2005-03-01,Reggie P,20TZREwKABjTTuzszVeTyX,"1 ContributorI Am Not Me LyricsAll buzzed out
Feeling all worn out
Sitting on my ass
Finally not fucking up
But I feel so insensitive
Leading myself on
But I don't wanna be that mean
No more
No more
I don't know who's who and what is what
I'm mixing it up now cause I'm lost
Lost
Judge everyone I see
Cause I'm judgemental
It gives me no ease
Being so so cruel
I'm running all night to escape that grasp
I'm hiding in this ugly facial mask
I want to be real where this phase is dead
I want to be real where this phase is dead
I don't know who's who and what is what
I'm tired of ghosting myself cause nothing feels right now

I don't
I don't wanna be like this anymorе
I'm so tired of being feeling like this
I don't want to bе cruel to you
I'm done
I'm done
I'm done being so fucking cruel to you
You don't deserve this
You don't deserve to be treated like this
I'm so tired of feeling this way
I'm done"
7r3Hwig1mvtlVq0ZbJ09Wb,Slip Away,55,False,153680,This Is Clarence Carter,1968,Clarence Carter,7lffJlv0nRl0sIsHDmo0SB,"9 ContributorsSlip Away LyricsWhat would I give for just a few moments
What would I give just to have you near
Tell me you will try to slip away somehow
Oh, I need you darling, I want to see you right now
Can you slip away, slip away, slip away, yeah
Oh, I need you so
Love, oh love, how sweet it is
When you're still in, darling, let me tell you something now
How sweet it is
Now I know it's wrong, the things I ask you to do
But please believe me darling, I don't mean to hurt you
But could you just slip away without him knowing you're gone
Then we could meet somewhere, somewhere where we're both unknown
Can you just, can you slip away, slip away, slip away, yeah
I need you so
Oh, can you slip away, baby
I'd like to see you right now, darling
Can you slip away now, baby
'Cause I got to, I got to see you
I feel a deep burning inside"
24nD7CG7Nu4EVLSBX4ZcFA,Candy Licker,41,True,599773,Marvin Sease,1987-01-01,Marvin Sease,0hGzB35FiKuH87AIIHwrVb,"1 ContributorCandy Licker LyricsI'm not ashamed no more
I wanna do the thing that your lover never did before ,girl
Baby let me be, your candy licker, girl
I just wanna be, I'm not ashamed
I wanna be your candy licker girl
Let me lick you up, let me lick you down
Turn baby and let me lick you all around
Oh let me lick you girl
Like your lover should!
Oh baby, oh honey
I wanna lick you girl,I wanna make you feel good
Like your lover should!
I will lick you till you cum, I'm not lying girl
I just wanna be, eight days a week, your candy licker girl
I just wanna be, eight days a week, your candy licker girl
You see, I'm Jodi baby and Jodi ain't got no conscience
Jodi ain't got no pride girl
But there is one thing I can say about Jodi though
Huh! Jodi knows how to make a woman feel good
Ain't that right lady? ain't that right?
Jodi will lick you up, he will lick you down
Turn baby and let him lick you all around
Oh! let him lick you girl. like your lover should!
Oh! baby, eh eh oh honey
I wanna make you cum
Eh eh , you know what?
Eh eh, I wanna make you feel good. like your lover should
I will lick you till you cum. eh ehhh
Let me be your candy licker girl
I wanna be, I'm begging you
I wanna be your candy licker girl

Hey ladies!I wanna talk to you about most males
When most males cum, you know what?
Do you think they give a damn whether you cum girl?
Huh! oh ya? well, baby I got news for you
Girl, they don't give a damn whether you cum
All they wanna do is go to sleep or smoke a cigarettes
But I'm Jodi baby
I will lick you up, I will lick you down
Turn baby and I will lick you all around
Oh I will lick you good girl
Like your lover should
Like this, eh eh e huh
I'm gonna stick down my tongue now
You know what? I wanna make you cum
I wanna make you feel good
I wanna lick you till you cum
I'm not lying girl
Everybody say eh eh eh
Eh eh eh, eh eh eh, common!
Eh eh eh, I wanna make you cum
Eheh, let me be your candy licker girl
Why can't I be? I'm begging you
I wanna be your candy licker girl"
4ZKLmo5TSZebyenBpln7l8,Lacee's Groove,32,False,247253,Lacee's Groove,2009-05-18,Lacee,1z9kx7oUYuJGgq1TxFkPCD,"2 ContributorsWhere Them Girls At (Daddy’s Groove Remix) Lyrics
Body
Body
Body
Body
Body

Hey, bring it on, baby, all your friends
You're the shit and I love that body (body)
You wanna ball, let's mix it, you're good I won't tell nobody (body)
You've got a BFF, I wanna see that girl, it's all women invited (vited)
Hair do's and nails, that Louis, Chanel all up in the party (Need some party)

Presidents in my wallet
No rules, I'm 'bout it
Blow the whistle for the hotties (that's my breath)
I got it, shawty, it's never too much, can't be doing too much
Ten to one of me, I can handle that love
Outta of my reach, we can all get buzz
Holla 'cause I'm free, no matter, it's no rush

Body
Body
Body
Body
Body
Body
Body
Body


So many boys in here, where do I begin? (oh-oh-oh)
I see this onе, I'm 'bout to go in (oh-oh-oh)
Then, she said ""I'm herе with my friends"" (ah-ah-ah)
She got me thinking, and that's when I said
Where them girls at, girls at? (Wo-oh)
Where them girls at, girls at? (Wo-oh)
Where them girls at, girls at? (Wo-oh)
So, go get them, we can all be friends


Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body
Body"
7IBhpjoLxBO2oiNjny9ie4,Try Me,0,False,305986,Undisputed the album(his latest),2007-01-01,T.K. Soul,5S5ZSqk0z2CBHuCbqHjzCz,"1 ContributorTry Me Lyrics
I can feel
It′s the real thing, yes it is
I can feel
Girl, this ain’t no one night stand, nah

Why don't you let yourself go? Hmm
Gon’ and get with T.K. Soul
You said that you got your morals
When it′s all over you don't
Want to end up in sorrow
Girl, I waited such a long, long time

Are you afraid to trust me?
You gotta make up your mind

You outta try me, tonight
I'll be a gentleman, baby, yeah
If you want me to just hold you tight
Try me, tonight
It′s alright, yeah

Can′t help but let my love show, hmm
Girl, I want you, more and more
You said wait ’til tomorrow
You'll give me all your love
Just give you a holler
Oh, why you playin’ games
With my mind

You afraid to trust me
But I gotta draw the line

You outta try me, tonight
I′ll be a gentleman, baby, yeah
If you want me to just hold you tight
Try me, tonight
I′ll be a gentleman, baby, yeah
If you want me somebody to treat you right
Try me, tonight
I′ll be a gentleman, baby, yeah
If you just want me to hold you tight
Try me, tonight

It's alright, yeah
I can feel
It′s the real thing, yes, it is
I can feel when it's real
Girl, this ain't no one night stand, nah

So put away your foolish pride
Girl, I know you wanna
Do what you feel inside

You outta try me, tonight
I′ll be a gentleman, baby, yeah
If you just want me to hold you tight
Try me, tonight
I′ll be a gentleman, baby, yeah
If you want somebody to treat you right
Try me, tonight
I′ll be a gentleman, baby, yeah
If you just want me to hold you tight
Try me, tonight

It's alright
Can feel it, baby?
That’s the real thing, yes, it is

Try me, tonight
I′ll be a gentleman, baby, yeah
If you just want me to hold you tight
Try me, tonight
I′ll be a gentleman, baby, yeah
If you want somebody to treat you right
Try me, tonight
I′ll be a gentleman, baby, yeah
If you just want me to hold you tight
Try me, tonight

It's alright, yeah"
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,82,False,283800,Second Helping (Expanded Edition),1974-04-15,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,"134 ContributorsTranslationsDeutschSweet Home Alabama Lyrics
One, two, three
Turn it up

Big wheels keep on turnin'
Carry me home to see my kin
Singin' songs about the Southland
I miss Alabamy once again
And I think it's a sin, yes

Well, I heard Mr. Young sing about her (Southern man)
Well, I heard ol' Neil put her down
Well, I hope Neil Young will remember
A Southern man don't need him around, anyhow

Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you

In Birmingham they loved the governor
Boo, boo, boo
Now we all did what we could do
Now Watergate does not bother me
Does your conscience bother you?
Tell the truth

Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you
Here I come, Alabama


Ah-ah-ah, Alabama
Ah-ah-ah, Alabama
Ah-ah-ah, Alabama
Ah-ah-ah, Alabama

Now Muscle Shoals has got the Swampers
And they've been known to pick a song or two (Yes, they do)
Lord, they get me off so much
They pick me up when I'm feelin' blue
Well now, how 'bout you?

Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you
Sweet home Alabama (Oh, sweet home, baby)
Where the skies are so blue (And the governor's true)
Sweet home Alabama (Lordy)
Lord, I'm coming home to you
Yeah, yeah

Mont… Montgomery's got the answer"
