id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
3pfbQmD5xGH9Tcc7GqGfSL,But Not For Me - Vocal Version,62,False,184466,Chet Baker Sings,1956,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,"jazz, vocal jazz, cool jazz",
30QD4VRP9yEneOh0eGTrtJ,Solitude,66,False,207600,Solitude,1956-01-01,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"jazz, jazz blues, vocal jazz, big band","15 ContributorsSolitude Lyrics
In my solitude
You haunt me
With reveries
Of days gone by
In my solitude
You taunt me
With memories
That never die

I sit in my chair
I'm filled with despair
There's no one could be so sad
With gloom everywhere
I sit and I stare
I know that I'll soon go mad

In my solitude
I'm prayin'
Dear Lord above
Send back my love

I sit in my chair
Filled with despair
There's no one could be so sad
With gloom everywhere
I sit and I stare
I know that I'll soon go mad

In my solitude
I'm prayin'
Dear Lord above
Send me back my love"
6crfO56bDm0RjpctUuGs5X,I'm In The Mood For Love,62,False,149826,Julie Is Her Name,1955-12-01,Julie London,3qUMmh5biaB5hqpF4LqS3m,"jazz, vocal jazz","7 ContributorsI’m in the Mood for Love Lyrics
I'm in the mood for love
Simply because you're near me
Honey but when you're near me
I'm in the mood for love

Heaven is in your eyes
Bright as the stars we're under
Oh, is it any wonder
I'm in the mood for love

Why stop to think of whether
This little dream might fade?
We've put our hearts together
Now we are one, I'm not afraid

If there's a cloud above
And it must rain, we'll let it
But for tonight, forget it
I'm in the mood for love"
0uPkCpuoERqrkBL06Art50,My One And Only Love,65,False,295240,John Coltrane And Johnny Hartman,1963-01-01,"John Coltrane, Johnny Hartman","2hGh5VOeeqimQFxqXvfCUf, 7qVvIFc9DktkAc0HKzRhNo","jazz, jazz blues, hard bop, free jazz, vocal jazz, bebop, cool jazz","8 ContributorsMy One and Only Love Lyrics

The very thought of you makes my heart sing
Like an April breeze on the wings of spring
And you appear in all your splendor
My one and only love

The shadows fall and spread their mystic charms
In the hush of night while you're in my arms
I feel your lips so warm and tender
My one and only love

The touch of your hand is like heaven
A heaven that I've never known
The blush on your cheek whenever I speak
Tells me that you are my own

You fill my eager heart with such desire
Every kiss you give sets my soul on fire
I give myself in sweet surrender
My one and only love
My one and only love"
4rmCI9VWrwrJTJ8XQ80BMN,My Little Brown Book,63,False,319733,Duke Ellington & John Coltrane,1963-02,"Duke Ellington, John Coltrane","4F7Q5NV6h5TSwCainz8S5A, 2hGh5VOeeqimQFxqXvfCUf","jazz, jazz blues, hard bop, free jazz, swing music, bebop, big band, cool jazz",
1pZn8AX1WulW8IO338hE5D,Blue Moon,67,False,207826,Solitude,1956-01-01,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"jazz, jazz blues, vocal jazz, big band","13 ContributorsBlue Moon Lyrics
Blue moon
You saw me standing alone
Without a dream in my heart
Without a love of my own

Blue moon
You knew just what I was there for
You heard me saying a prayer for
Someone I really could care for

And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold

Blue moon
Now I'm no longer alone
Without a dream in my heart
Without a love of my own


Blue moon
You saw me standing alone
Without a dream in my heart
Without a love of my own

Blue moon
You knew just what I was there for
You heard me saying a prayer for
Someone I really could care for

And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me""
And I looked, the moon had turned to gold

Blue moon
Now I'm no longer alone
Without a dream in my heart
Without a love of my own

Blue moon"
3yYfoYGVpriV4fG9L1ogsD,La vie en rose - Single Version,53,False,206333,Highlights From His Decca Years,1994-01-01,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,"jazz, jazz blues, vocal jazz, swing music, big band",
0aAdPAlrBJqqqkkhttZIKU,When You're Smiling (The Whole World Smiles With You) - Without Intro,50,False,244373,Highlights From His Decca Years,1994-01-01,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,"jazz, jazz blues, vocal jazz, swing music, big band","2 ContributorsWhen You’re Smiling (The Whole World Smiles With You)  Lyrics
Oh, when you're smilin'
When you're smilin'
The whole world smiles with you

Yes, when you're laughin'
When you're laughin'
Yes, the sun comes shinin' through

But when you're cryin'
You bring on the rain
So stop your sighin', baby
And be happy again

Yes an' keep on smilin'
Keep on smilin', baby
And the whole world smiles with you"
6eCsRg7OBi1zT2CEKKyoXN,Fever,50,False,202506,Great Ladies Of Song / Spotlight On Peggy Lee,1995-01-01,Peggy Lee,602DnpaSXJB4b9DZrvxbDc,"swing music, jazz, big band, vocal jazz","18 ContributorsTranslationsСрпскиFever Lyrics
Never know how much I love you
Never know how much I care
When you put your arms around me
I get a fever that's so hard to bear

You give me fever when you kiss me
Fever when you hold me tight
Fever in the morning
Fever all through the night

Sun lights up the daytime
Moon lights up the night
I light up when you call my name
And you know I'm going to treat you right

You give me fever when you kiss me
Fever when you hold me tight
Fever in the morning
Fever all through the night

Everybody's got the fever
That is something you all know
Fever isn't such a new thing
Fever started long ago

Romeo loved Juliet
Juliet she felt the same
When he put his arms around her
He said, ""Julie Baby, you're my flame""

""Thou giveth fever when we kisseth
Fever with thy flaming youth
Fever, I'm afire
Fever, yeah I burn, forsooth""

Captain Smith and Pocahontas
Had a very mad affair
When her Daddy tried to kill him
She said, ""Daddy, oh don't you dare""

""He gives me fever with his kisses
Fever when he holds me tight
Fever, I'm his missus
Daddy won't you treat him right?""

Now you've listened to my story
Here's the point that I have made
Chicks were born to give you fever
Be it Fahrenheit or Centigrade

They give you fever when you kiss them
Fever, if you live you learn
Fever till you sizzle
What a lovely way to burn

What a lovely way to burn
What a lovely way to burn
What a lovely way to burn"
6cRsRBzSaGwfnMMqNSjtFY,Don't Go To Strangers,57,False,228360,Don't Go To Strangers (Rudy Van Gelder Remaster),1960-01-01,Etta Jones,3CEdEF8RsuL3hAFJaujvr0,"jazz, vocal jazz","3 ContributorsDon’t Go to Strangers Lyrics
Build your dreams to the stars above
But when you need someone true to love
Don't go to strangers, darling, come on to me

Play with fire 'til your fingers burn
And when there's no place for you to turn
Don't go to strangers, darling, come on to me

For when you hear a call to follow your heart
You follow your heart, I know
I've been through it all and I'm an old hand
And I'll understand if you go

So make your mark for your friends to see
But when you need more than company
Don't go to strangers, come on to me


Make your mark for your friends to see
But when you need more than company
Don't go to strangers, darling, come on to me"
5am0dV7aB91Q6sWqIAuurA,Young & Holtful,48,False,173146,The Definitive Young-Holt Unlimited,2005,Young-Holt Unlimited,5r2DrmyTTiDTQaFz3tyX8W,,
1yPWD2ZQ8kLPYJtuIWHpa6,I Forgot To Be Your Lover,0,False,140733,The Very Best Of William Bell,2007-01-01,William Bell,0mFoqJiNDtYntypvy6roGR,"soul, northern soul","12 ContributorsI Forgot To Be Your Lover Lyrics
Have I told you lately that I love you?
Well, if I didn't, darlin', I'm sorry
Did I reach out and hold you in my loving arms
Oh, when you needed me?
Now I realize that you need love, too
And I'll spend my life making up to you
Oh, I forgot to be your lover
And I'm sorry, I'm so sorry

Have I taken the time to share with you
All the burdens that lovers bear?
And have I done the little simple things to show you
Just how much I care?
Oh, I've been workin' for you doin' all I can
And work all the time didn't make me a man
Oh, I forgot to be your lover
And I'm sorry, I'll make it up to you somehow, baby

I forgot to be your lover
Gonna make it up to you somehow
Oh, I'm sorry, I'm sorry baby
I forgot to be your lover"
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),66,False,337733,Kind Of Blue (Legacy Edition),1959-08-17,"Miles Davis, John Coltrane, Bill Evans","0kbYTNQb4Pb1rPbbaF0pT4, 2hGh5VOeeqimQFxqXvfCUf, 4jXfFzeP66Zy67HM2mvIIF","jazz, jazz blues, hard bop, free jazz, bebop, jazz fusion, cool jazz",
2p2fa6uuxDs7jdDfx5R7lC,ボディー・アンド・ソウル (Live at Vidro'77),44,False,563133,ライブ・アット・びーどろ'77,2021-04-14,Ryo Fukui,4V7Ate3UISn8cy06xnAprh,"bebop, jazz, jazz fusion",
6oSm3mBWFxJHEnjE2IqhmA,There Will Never Be Another You,61,False,205666,The President Plays With The Oscar Peterson Trio,1959-06-02,"Lester Young, Oscar Peterson Trio","05E3NBxNMdnrPtxF9oraJm, 0ldU0QJm31y0d6f57R1G2A","bebop, jazz, cool jazz, hard bop",
7AHF3V7qRPhZV7gzJLZ3CL,These Foolish Things - Remastered 1995,54,False,190933,The Complete Aladdin Recordings Of Lester Young,1995-01-01,Lester Young,05E3NBxNMdnrPtxF9oraJm,"bebop, jazz, cool jazz",
4ow1XH4hwe3yOGXG2eTTTY,Stolen Moments,0,False,525613,The Blues and the Abstract Truth,2007-01-01,Oliver Nelson,2nQKUeZeleLGNsJj6WLUXN,"jazz, hard bop, bebop, big band, cool jazz",
4QBXVHVcA0INVldFDyTeEi,Why Don't You Do Right,49,False,140026,Whatever Julie Wants,1961,Julie London,3qUMmh5biaB5hqpF4LqS3m,"jazz, vocal jazz","3 ContributorsWhy Don’t You Do Right Lyrics
You had plenty money 1941
You lost it all
And then, where do you run?

Why don't you do right?
Like some other men do?
Get out of here and get me some money too

You sittin' down wondering
What it's all about
If you ain't got no money
They will put you out

Why don't you do right?
Like some other men do?
Just get out of here and get me some money too


If you had prepared 20 years ago
You wouldn't be wandering now from door to door

Why don't you do right?
Like some other men do?
Get out of here and get me some money too

Why don't you do right?
Like some other men do?
Like some other men do?
Like some other men do?"
