id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
1aKvZDoLGkNMxoRYgkckZG,Magnetic,83,False,160688,SUPER REAL ME,2024-03-25,ILLIT,36cgvBn0aadzOijnjjwqMN,"38 ContributorsTranslationsEnglishRomanizationBahasa IndonesiaРусскийไทย / Phasa ThaiFrançaisEspañolPortuguês中文TürkçeMagnetic Lyrics

Baby, I'm just trying to play it cool
But I just can't hide that
I want you

Wait a minute, 이게 뭐지? (뭐지?)
내 심장이 lub-dub, 자꾸만 뛰어
저 멀리서도 oh (Oh), my (My) gosh (Gosh)
끌어당겨 you're my crush, 초능력처럼

거대한 자석이 된 것만 같아 my heart
네 모든 게 내 맘에 달라붙어버려, boy
We're magnetized, 인정할게
This time, I want

You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림

Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da, dash-da
Like it's magnetic
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da
Baby, don't say no

정반대 같아 our type
넌 J 난 완전 P
S와 N 극이지만
그래서 끌리지
내가 만들래 green light
여잔 배짱이지
So let's go, let's go
Let's go, let's go

숨기고 싶지 않아 자석 같은 my heart
내 맘의 끌림대로 너를 향해 갈게, boy
We're magnetized, 인정할게
This time, I want

You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림

No push and pull, 전속력으로 너에게 갈게 (In a rush, in a rush)
Our chemistry, 난 과몰입해 지금 순간에 (Baby, you're my crush, you're my crush)
No push and pull, 네게 집중 후회는 안 할래 (Gonna dash, gonna dash)
Never holding back, 직진해, yeah (직진해, yeah)
*This time, I want*

You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you, super 이끌림

Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da, dash-da
Like it's magnetic
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da
Baby, don't say no"
5vNRhkKd0yEAg8suGBpjeY,APT.,96,False,169917,APT.,2024-10-18,"ROSÉ, Bruno Mars","3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C","71 ContributorsTranslations한국어EnglishTürkçeEspañol中文РусскийKiswahiliDeutschالعربيةفارسیItalianoไทย / Phasa ThaiChinese TraditionalবাংলাFrançaisHebrewPolskiPortuguêsBahasa Indonesia日本語Српскиहिन्दीČeskyROSÉ & Bruno Mars - APT. (Romanized) Lyrics
Chaeyoung-iga joahaneun
Random game
Random game
Game start

Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh

Kissy face, kissy face
Sent to your phone, but
I'm tryna kiss your lips for real (Uh-huh, uh-huh)
Red hearts, red hearts
That's what I'm on, yeah
Come give me somethin' I can feel, oh-oh, oh

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apatеu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apatеu
Apateu, apateu
Uh, uh-huh, uh-huh

It's whatever (Whatever), it's whatever (Whatever)
It's whatever (Whatever) you like (Woo)
Turn this apateu into a club (Uh-huh, uh-huh)
I'm talkin' drink, dance, smoke, freak, party all night (Come on)
Geonbae, geonbae, girl, what's up? Oh-oh, oh

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh

Hey, so now you know the game
Are you ready?
'Cause I'm comin' to get ya, get ya, get ya
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the (Uh, uh-huh, uh-huh)
Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the (Uh, uh-huh, uh-huh)
Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the (Uh, uh-huh, uh-huh)
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh"
3coRPMnFg2dJcPu5RMloa9,Whiplash,78,False,183226,Whiplash - The 5th Mini Album,2024-10-21,aespa,6YVMFz59CuY7ngCxTxjpxE,"24 ContributorsTranslationsRomanizationEnglishEspañolFrançaisFrançaisItalianoРусскийবাংলা中文हिन्दीHebrew日本語PolskiTürkçeไทย / Phasa ThaiWhiplash Lyrics

Yeah

One look, give 'em whiplash
Beat drop with a big flash
집중해, 좀 더 think fast
이유 넌 이해 못 해, uh
왜 이제야, know I did that, uh
Day one, know I been bad, uh
Don't stop, 흔들린 채
무리해도 can't touch that (Can't touch that)

Under pressure, body sweating, can you focus? (Yeah)
어디서나 거침없어, I'm the coldest
오직 나만이 이 판을 바꿀 changer
Just close your eyes, breathe in and visualize

One look, give 'em whiplash
Beat drop with a big flash
집중해, 좀 더 think fast
이유 넌 이해 못 해, uh
왜 이제야, know I did that (Yeah)
Day one, know I been bad
Don't stop, 흔들린 채 (Yeah)
무리해도 can't touch that (Can't touch that)

Whip-whiplash, whip-whiplash
Whip-whiplash, whip-whiplash
Whip-whiplash, whip-whiplash
Whip-whiplash
One look, give 'em whiplash

Fancy
이건 참 화려해
It's glowing and it's flashy (Yeah)
알아 적당함이 뭔지 keep it classy
따라 하지 넌 또 하나부터 열까지 (Yeah)
아닌척하지, yeah

Under pressure, body sweating, can you focus? (Hoo)
I deliver, I can promise, I'm the coldest (Cold)
외면해도 소용없지, don't you blow it
Just close your eyes, breathe in and visualize

시작되는 순간 끝나버린 판단
기횐 오직 one time, unforgettable
찾아낸 the right light, 사라지지 않아
눈에 새긴 one time, unforgettable

One look, give 'em whiplash (Shee)
Beat drop with a big flash
집중해, 좀 더 think fast
이유 넌 이해 못 해, mm
왜 이제야, know I did that (Yeah)
Day one, know I been bad, uh
Don't stop, 흔들린 채 (Yeah)
무리해도 can't touch that (Can't touch that)

I'm the highlight, 비춰 red light
Yeah, tonight, it's all 'bout me (All about me)
You know it's my site, 거친 next sigh
만들어갈 history

One look, give 'em whiplash (Uh, wee; whip-whip)
Beat drop with a big flash (Yeah)
따라와 어서 move fast (Move, move, move)
이유 넌 이해 못 해, uh (Yeah)
왜 이제야, know I did that (Yeah; did that)
Day one, know I been bad, uh (Been bad)
Don't stop, 흔들린 채 (Yeah; woo)
다가와도 can't touch that (Can't touch that)

Whip-whiplash, whip-whiplash
Whip-whiplash, whip-whiplash
Whip-whiplash, whip-whiplash
Whip-whiplash

One look, give 'em whiplash"
38tXZcL1gZRfbqfOG0VMTH,How Sweet,78,False,219026,How Sweet,2024-05-24,NewJeans,6HvZYsbFfjnjFrWF950C9d,"30 ContributorsTranslationsEnglishRomanizationEspañolРусскийالعربيةУкраїнськаHow Sweet Lyrics

All I know is now 알게 됐어 나 (I know)
그동안 맨날 always up and down (No more)
생각 또 생각 spinnin' 'round and 'round
Changing my mind
수상해서 그렇지 이런 헛소리 (No more)
How it's supposed to be 그만해 'cause it's clear
(It's simple) It's like biting an apple

Toxic lover, you're no better
거기 숨지 말고 얼른 나와
You little demon in my storyline
Don't knock on my door, I'll see you out

And don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes?
Now that I'm without you
나 더는 묻지 않을래 (How sweet it tastes)
알려주지 않아도 돼 (How sweet it tastes)
Wow, don't you know how sweet it tastes?
Now that I'm without you

모든 게 typical
So I've been praying so hard for a miracle
부르고 있어 나의 이름을
더는 안 봐 drama it's good karma
Done scrolling thousand times
다 알고 있어 뻔한 수작일 뿐이야
완전 쉬운 공식이야
It's like biting an apple

And don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes?
Now that I'm without you
나 더는 묻지 않을래 (How sweet it tastes)
알려주지 않아도 돼 (How sweet it tastes)
Wow, don't you know how sweet it tastes?
Now that I'm without you

I won't wait, I'm feeling
My own way, I'm in it
'Causе me and you are differеnt
So I won't stay, I'm leaving
I won't wait, I'm feeling
My own way, I'm in it
'Cause me and you are different
So I won't stay, I'm leaving

And don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes? (How sweet it tastes)
Yeah, don't you know how sweet it tastes?
Now that I'm without you
나 더는 묻지 않을래 (How sweet it tastes)
알려주지 않아도 돼 (How sweet it tastes)
Wow, don't you know how sweet it tastes?
Now that I'm without you

Toxic lover, you're no better
거기 숨지 말고 빨리 나와
You little demon in my storyline
Don't knock on my door 너 얼른 나가버려
Toxic lover, you're no better
거기 숨지 말고 얼른 나와
You little demon in my storyline
Don't knock on my door, I'll see you out"
3YNjvUXgfQznx5IZHAXk6i,Loose,72,False,210762,Loose,2025-04-04,ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,"21 ContributorsTranslationsРусскийEspañolItalianoTürkçeLoose Lyrics
I can feel my heart racing, it's so hard to keep cool
Am I being too patient?
Too hot, got me sweatin' on the floor (Ooh, sweatin' on the floor)
I just can't take it anymore (Woah-woah, oh, woah; Ah)
And we're so close I can taste it, I see it in your eyes
If there's a chance I'ma take it
I'm beggin' you, just please give me a sign
Waiting way too long, I think it's time, mm-hmm

All this magic's burning like a fire inside
And it is way too hot, girl, we should let it

Loose
I've been waiting to get next to you
I can tell how bad you want it too, ooh
All this tension, baby, let your body loose (Ha)
It's just me and you
Lockin' eyes insidе this crowded room
Way you look at me, I can't refusе
All this tension, baby, let your body loose, yeah, baby

Ponytail sitting just right, let it down, girl, don't be shy
I'm just glad we broke that ice, let's keep on dancing (Dancing, dancing)
Baby, I can give it to you however you like (However you like)

All this magic's burning like a fire inside
And it is way too hot, girl, we should let it

Loose
I've been waiting to get next to you
I can tell how bad you want it too, ooh
All this tension, baby, let your body loose (Ha)
It's just me and you (Me and you)
Lockin' eyes inside this crowded room (Crowded room)
Way you look at me, I can't refuse
All this tension, baby, let your body loose
Yeah, baby

I don't wanna waste another second tonight
So in five, four, three, two, one, let's let it

Loose (Woo)
I've been waiting to get next to you (Next to you)
I can tell how bad you want it too, ooh (Ooh)
All this tension, baby, let your body loose (Let your body loose, yeah)
It's just me and you (Oh, yeah, yeah)
Lockin' eyes inside this crowded room (Lockin' me inside this room, yeah)
Way you look at me, I can't refuse (Oh)
All this tension, baby, let your body loose (Let your body loose, yeah)
Yeah, baby

Yeah, loose
Loose
Loose"
2DaEOAKYadUMO7x0CsobRU,Adult Swim,65,False,144640,Adult Swim,2025-04-03,KAI,6iVo62B0bdTknRcrktCmak,"3 ContributorsTranslationsRomanizationEnglishEspañolAdult Swim Lyrics

Adult swim

Hey (Hey), 지금부터는 조금 위험해
한 발씩 come in slowly
Babe (Babe), 너의 허리에 팔을 감을게 (Uh)
You can lean on me

겁먹을 필요 없어
두 눈을 살짝 감고
나에게 너를 맡겨
제일 깊은 곳으로 함께

Dive in (Mmm), adult swim (Mmm)
Dive in (Mmm), adult swim (Mmm)
Turn it up (Mmm), adult swim (Mmm)
Dive in (Mmm), adult swim (Mmm)

Sway (Sway), 파도에 앞뒤로 옆으로
흔들려도 돼 스릴 있게, yeah, yeah, yeah
Same (Same), 내 맘도 다를 건 없는 걸
한순간 awake, 빠져드네, yeah, yeah

목적진 따로 없어
속도를 좀 더 올려
날 계속 끌어당겨
제일 깊은 곳으로 함께

Dive in (Mmm), adult swim (Mmm)
Dive in (Mmm), adult swim (Mmm)
Turn it up (Mmm), adult swim (Mmm)
Dive in (Mmm), adult swim (Mmm)
Turn it up

Work it out, take it low
Make it fast, make it slow
Shake it, shake it, shake it
Shake it, shake it for me
Shake it, shake it, shake it
Shake it, shake it for me
Work it out, take it low
Make it fast, make it slow
Shake it, shake it, shake it
Shake it, shake it for me
Shake it, shake it, shake it
Shake it, shake it for me

Let's go, let's go, 우리 둘이 (Mmm, adult swim)
Let's go, let's jump right in it (Mmm, dive in)
헤어 나올 수가 없을 만큼 이미 (Mmm, adult swim)
Hey, hey (Mmm, turn it up)
Let's go, let's go 우리 둘이 (Mmm, adult swim)
Let's go, let's jump right in it (Mmm, dive in)
헤어 나올 수가 없을 만큼 이미 (Mmm, adult swim)
자유로운 우린 like a whale (Mmm, adult swim)"
4lQUdiQ7eu5BvIj4STjtL6,Under My Skin (A2O) - English Version,43,False,214253,Under My Skin (A2O),2024-12-20,"A2O MAY, A2O","6MHvscbuui67TvYTr3ZpV4, 7rBQch7KtqQNQjV5AxdHlE",
406IpEtZPvbxApWTGM3twY,HOT,86,False,143797,HOT,2025-03-14,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"20 ContributorsTranslationsRomanizationEnglishEspañolItalianoPortuguêsРусскийHOT Lyrics

I'm burning hot

위태로운 drive, 바꿔 넣어, gear
불타는 노을 너와 내 tears, so
Don't be afraid, 의심 없지
손을 잡아 'cause tonight, 우린 burn to shine, yeah

꽉 안아줘, my dear, 우리가 나눠 가진
가슴 안의 흉터 자리에
붉게 물든 엔진 네 눈 속의 날
영원히 기억해 준다면

I'm burning hot (Hot), 내가 나로 살 수 있다면
재가 된대도 난 좋아 (좋아)
So tonight, 안겨 네 품 안에
Bonnie and Clyde it, oh

Not running from it, not running from it
불타오르지, I love it
살게 해 날 (Hot)
I'm burning hot (I'm burning hot)

마치 영원함 속 날아오를 불사조같이
넌 마치 기적 같은 걸 내게 또 꿈꾸게 하지
다시 타버린 내 불씨가 피어나 날개가 돋아나
Now hold me tight

몸을 던져, 불길 일말의 미련 없이
It's all right, we're ride or die, yeah-eh-eh
붉게 물든 엔진 네 눈 속의 날
영원히 기억해 준다면

I'm burning hot (Hot), 내가 나로 살 수 있다면
재가 된대도 난 좋아 (좋아)
So tonight, 안겨 네 품 안에
Bonnie and Clyde it, oh

Not running from it, not running from it
불타오르지, I love it
살게 해 날 (Hot)
I'm burning hot (I'm burning hot)

Oh, oh-oh"
6h6y3m83xvAOoCW3JZpzzf,DSTM,62,False,176714,DSTM,2025-03-19,ONE OR EIGHT,5bIttAFRf7URUmuuI9w7XA,"8 ContributorsDSTM Lyrics

Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa

Tonight, it's no drama (Drama)
Gon' eat the club up piranha (Piranha)
We heatin' it up no sauna (Sauna)
We choppin' the top katana (Katana)
Pulling up big body like sumo (Watch out)
Not leaving till I see you go (Yo)
As long as the music bumpin' (It's bumpin')
We gonna keep jumpin', jumpin'
Beat switch, kickflip the whole deck (Whole deck)
One drop, two drop, I'm a whole threat (Whole threat)
V-I-P hanging off of my wrist
If it's one or it's eight
We gon' party like this (Like this)
思い描いた通り(Ah)
And it's all, and it's all 遊び
V-I-P hanging off of my wrist
If it's one or it's eight
We gon' party like this

I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it, please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it, please don't stop the, please don't stop the
Please don't stop the music

Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Please don't stop the music)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa

Turn me up (Ayy)
Tryna bring the house down, we ain't turnt enough
It's on the floor right now, and the boards are breaking
One or eight boys got the party shaking
I'm too live (Live)
Bad baby wanna catch me outside (Side)
Blackout put the tint on my ride (Ride)
Too bad you can't see that she fine (She fine, yeah)
Don't stop when the music's playing my jam, my song, my thing, my tape (Don't stop)
Rock out pop, in pop out till the sun goes down, or I fall on my face (Oh god)
That limp, that walk that put 'em in chalk, that pace that make a heartbreak (Skrr)
Pop out, and they going insane
Ball out we don't care what they say

I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it, please don't stop the, please don't stop the
Please don't stop the music

(The music) Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah)
Mama-say, mama-sa, ma-ma-ko-ssa (Baby, please don't stop the music)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Oh no)
Mama-say, mama-sa, ma-ma-ko-ssa (Please don't stop the music)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Oh-oh-oh-oh-oh)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (No, no, no, no, no)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Oh)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa"
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,94,True,123517,Ruby,2025-03-07,JENNIE,250b0Wlc5Vk0CoUsaCY84M,"49 ContributorsTranslationsTagalog / ᜆᜄᜎᜓᜄ᜔HebrewDanskČeskyবাংলাEnglish한국어Romanizationไทย / Phasa ThaiTürkçePortuguêsDeutschالعربيةItalianoРусскийEspañollike JENNIE Lyrics

Ha, c'mon, it's gon' be fucking hard

Special edition and your AI couldn't copy
I'm leaving clues in the fittin' room and it's hot tea
No, I'm not thinking about no exes, know they miss me
I got the whole room spinning like it's tipsy
Don't bore us, take you to the chorus

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like (JENNIE, JENNIE, JENNIE, JENNIE)
I think I really like (JENNIE, JENNIE, JENNIE)
Haters, they don't really like (JENNIE, JENNIE, JENNIE, JENNIE)
'Cause they could never ever be (JENNIE, JENNIE, JENNIE)
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE, JENNIE

But have you ever met?
But have you ever met?
But have you ever met?

얼말 줘도 못해 서커스짓
포징한번에 만들어 mosh pit
They can't deal with me 'cause I'm priceless
여러 셀럽들 속에 내 DNA
Get, get outta my way
바비가 처키가 되기 전에
Name, shame, blame tryna burst my bubble
터트려봐 그럼 더 큰 홀에서
만나는 거야 제니를 keep shading
예술작품엔 필요해 frame이
I've slayed it, and I graved it
Yes, I'm guilty 잘난 게 죄니

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like
I think I really like JENNIE
Haters, they don't really like JENNIE
'Cause they could never ever be JENNIE
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE
JENNIE, JENNIE, JENNIE
Like JENNIE, JENNIE, JENNIE, JENNIE, JENNIE
Rock with JENNIE
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed, like

But have you ever met JENNIE?
But have you ever met?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE"
