id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
5adqS3stLaSPAEOszOnpXG,DUELE EL CORAZON,70,False,199693,FINAL (Vol.1),2021-09-17,"Enrique Iglesias, Wisin","7qG3b048QCHVRO5Pv1T5lw, 3E6xrwgnVfYCrCs0ePERDz","reggaeton, latin, latin pop","1 ContributorTranslationsEspañolEnglishDeutschItalianoSuomiEnrique Iglesias & Wisin - Duele El Corazón (תרגום לעברית) Lyrics
One love, one love

רק בפה שלך
אני רוצה לסיים
את כל הנשיקות
שאני רוצה לתת לך
לא אכפת לי
אם את רוצה לישון איתו
בגלל שאני יודע שאת חולמת
על לראות אותי

אישה, מה את עומדת לעשות?
תחזקי את דעתך
אם את נשארת או הולכת
אחרת, אל תבואי לחפש אותי יותר

אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו
אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו

איתו, כואב לך הלב
איתי, כואבות לך הרגליים
איתו, כואב לך הלב
איתי, כואבות לך הרגליים

רק עם נשיקה
אני אסיים
את הסבל
שגורם לך לבכות
לא אכפת לי
אם תחיי איתו
בגלל שאת מתה
לראות אותי

אישה, מה את עומדת לעשות?
תחזקי את דעתך
אם את נשארת או הולכת
אחרת, אל תבואי לחפש אותי יותר

אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו
אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו

איתו, כואב לך הלב
איתי, כואבות לך הרגליים
איתו, כואב לך הלב
איתי, כואבות לך הרגליים

מי האחד שמחמם אותך
אם תלכי איתי, אנחנו נחגוג
איתו, את בוכה כמעט נהר
אולי הוא נותן לך כסף והוא חזק
אבל הוא לא ממלא את הלב שלך, הוא נשאר ריק
אבל איתי, נקרע את הכביש
פושעת, אם יש משהו בחיים שלך שלא עובד
תזרקי אותו
אף אחד לא יכול לעצור אותך, את לוחמת-על
אני יודע שאת חתולה פראית, הואי
תזרקי אותו

אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו
אם את עוזבת, אני אעזוב גם
את תתני לי, אני אתן לך גם
אהבה שלי
אנחנו נרקוד עד עשר
עד שהרגליים יכאבו

איתו, כואב לך הלב
איתי, כואבות לך הרגליים
איתו, כואב לך הלב
איתי, כואבות לך הרגליים

רק עם נשיקה
אני אסיים
את הסבל
שגורם לך לבכות"
228BxWXUYQPJrJYHDLOHkj,Gasolina,56,False,192600,Barrio Fino (Bonus Track Version),2004-07-13,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"reggaeton, latin","83 ContributorsTranslationsDeutschEnglishGasolina Lyrics

(Oh, oh, oh, oh)
(Oh, oh, oh, hey) Who's this? Da-ddy Yan-kee

Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Que se preparen que lo que viene es pa' que le den
(Duro) Mamita, yo sé que tú no te me va' a quitar
(Duro) Lo que me gusta es que tú te dejas llevar
(Duro) Todos los weekenes ella sale a vacilar
(Duro) Mi gata no para 'e janguear, porque
A ella le gusta la gasolina
Dame más gasolina
Cómo le encanta la gasolina
Dame más gasolina
A ella le gusta la gasolina
Dame más gasolina
Cómo le encanta la gasolina
Dame más gasolina

Ella prende las turbina', no discrimina
No se pierde ni un party de marquesina
Se acicala hasta pa' la esquina
Luce tan bien que hasta la sombra le combina
Asesina, me domina
Janguea en carros, motoras y limusinas
Llena su tanque de adrenalina
Cuando escucha reggaetón en las bocina'
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)

Aquí somos los mejores, no te me ajore'
En la pista nos llaman ""Los Matadore'""
Tú hace' que cualquiera se enamore
Cuando bailas al ritmo de los tambore'
Esto va pa' las gatas de to's colore'
Pa' las mayore', pa' las menore'
Pa' las que son más zorras que los cazadore'
Pa' las mujeres que no apagan sus motore'

Tenemo' tú y yo algo pendiente
Tú me debe' algo y lo sabe'
Conmigo ella se pierde
No le rinde cuentas a nadie
Tenemo' tú y yo algo pendiente
Tú me debe' algo y lo sabe'
Conmigo ella se pierde
No le rinde cuentas a nadie

Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Que se preparen que lo que viene es pa' que le den
(Duro) Mamita, yo sé que tú no te me va' a quitar
(Duro) Lo que me gusta es que tú te dejas llevar
(Duro) Todos los weekenes ella sale a vacilar
(Duro) Mi gata no para 'e janguear, porque
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)

(Oh, oh, oh, oh)
(Oh, oh, oh, oh)"
0DWdj2oZMBFSzRsi2Cvfzf,TQG,83,True,197933,MAÑANA SERÁ BONITO,2023-02-24,"KAROL G, Shakira","790FomKkXshlbRYZFtlgla, 0EmeFodog0BfCgMzAIvKQp","reggaeton, latin pop, urbano latino, latin","11 ContributorsTranslationsEspañolDeutschفارسیPortuguêsFrançaisKAROL G & Shakira - TQG (English Translation) Lyrics
The girl that said a void can be filled with somebody else is lying to you
It's like covering a wound with makeup, you don't see it, but you still feel it
You left, saying you were over me (Ayy) and you got a new girlfriend
What she doesn't know is you (Auh) still watch all of my stories (No, papi)

Baby, what happened? Weren't you doing well? (—ell)
Why are you looking for me? You know I don't make any mistakes twice (Ayy, papi)
Tell your new baby, that I don't compete for men
That she should stop hating, 'cause at least I kept you looking cute

Seeing you with the new one hurt (Hurt)
But I'm already ready for my own thing
I forgot everything that we lived
And that's what got you so offended
Even my life got better
You're no longer welcome here
I saw what your girlfriend said about me
I'm not even upset, I laugh, I laugh

I don't have time for whomever can't contribute, I changed directions
Making money as if it was a sport (Ah)
Filling up my account, concerts, the parking, and my passport (Ayy)
And reports are saying I look hotter (Yes)
Now you wanna come back, I can tell, mmm, yeah
Keep waiting for me, 'cause I'm an idiot (Ah)
You forgot I'm doing my thing
And that La Bichota was too good for you

Baby, what happened? (Happened) Weren't you doing well? (Ah)
Why are you looking for me? (Ayy) You know I don't make any mistakes twice (Ayy, papi)
Tell your new baby that I don't compete for men
That she should stop hating, 'cause at least I kept you looking cute (Shakira, Shakira)

You left and I got triple M
More hot, more toned, more chill
Go back to you, never, you were bad luck
Because now blessings rain down on me
And you want to come back, I saw it coming
Liking my photo
You were looking for food on the outside
And I used to say it was the monotony
And now you want to come back, I saw it coming
Liking my photo (Mine)
You look happy with your new life, but
If only she knew you still look for me

Baby, what happened? (Happened), weren't you doing great? (Ah)
Why are you looking for me? (Ayy) You know I don't make any mistakes twice
Tell your new baby that I don't compete for men (Shake that ass)
That she doesn't have a good hand, and at least I kept you looking cute

O-O-Ovy On The Drums
My love, you got too far away
And I can't see from afar, baby
I love you, but I was too good for you, hahaha
Barranquilla, Medallo"
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",80,False,214945,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,"Bizarrap, Shakira","716NhGYqD1jl2wI1Qkgq36, 0EmeFodog0BfCgMzAIvKQp","trap latino, urbano latino, argentine trap, latin pop","55 ContributorsTranslationsEnglishDeutschСрпскиFrançaisPortuguêsShakira: Bzrp Music Sessions, Vol. 53 Lyrics

(Pa' tipos como tú, uh-uh-uh-uh)
Oh-oh (Oh-oh)
(Pa' tipos como tú, uh-uh-uh-uh)

Perdón, ya cogí otro avión
Aquí no vuelvo, no quiero otra decepción
Tanto que te las das de campeón
Y cuando te necesitaba diste tu peor versión
Sorry, baby, hace rato
Que yo debí botar ese gato
Una loba como yo no está pa' novato'

Una loba como yo no está pa' tipos como tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

Esto es pa' que te mortifique', mastique' y trague', trague' y mastique'
Yo contigo ya no regreso, ni que me llores ni me supliquе'
Entendí que no es culpa mía quе te critiquen
Yo solo hago música, perdón que te salpique
Me dejaste de vecina a la suegra
Con la prensa en la puerta y la deuda en Hacienda
Te creíste que me heriste y me volviste más dura
Las mujeres ya no lloran, las mujeres facturan

Tiene nombre de persona buena
Claramente no es como suena
Tiene nombre de persona buena
Claramente

Es igualita que tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

Del amor al odio hay un paso
Por acá no vuelva', hazme caso
Cero rencor, bebé, yo te deseo que te vaya bien con mi supuesto reemplazo
No sé ni qué es lo que te pasó
'Tás tan raro que ni te distingo
Yo valgo por dos de 22
Cambiaste un Ferrari por un Twingo
Cambiaste un Rolex por un Casio
Vas acelera'o, dale despacio
Ah, mucho gimnasio
Pero trabaja el cerebro un poquito también
Fotos por donde me ven
Aquí me siento un rehén, por mí todo bien
Yo te desocupo mañana y si quieres traértela a ella, que venga también

Tiene nombre de persona buena (Uh-uh-uh-uh)
Claramente no es como suena (Uh-uh-uh-uh)
Tiene nombre de persona buena (Uh-uh-uh-uh)

Y una loba como yo no está pa' tipos como tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

Uh-uh-uh-uh (Pa' tipos, pa'-pa'-pa' tipos como—)
Pa' tipos como tú, uh-uh-uh-uh (Pa' tipos, pa'-pa'-pa' tipos como—)
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh (Bizarrap)
Oh-oh, oh-oh
Ya está, chao"
26QKsGW4hMuwiEE1ftUMHe,"Lo Que Pasó, Pasó",52,False,210933,Barrio Fino (Bonus Track Version),2004-07-13,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"reggaeton, latin","24 ContributorsTranslationsDeutschEnglishLo Que Pasó, Pasó Lyrics

Ah, ah, dale mambo (Woh-oh)
Ah, dale mambo (Entre tú y yo)
Daddy (Yeah-eh)
Son cosas que pasan en el barrio fino

Esta noche contigo la pasé bien (Woh-oh)
Pero yo me enteré que te debes a alguien (Yeah-eh)
Y tú fallaste, pero ya es tarde
Y tú fallaste, pero ya es tarde

Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)

(¡Daddy!)
E' una asesina, ella conlleva a la medicina
Engañadora que te envuelve y te domina
Una abusadora; ella como sabe, te devora
Y si no tiene' experiencia, te enamora
Una especialista hará que te ponga ella a la vista
Va al asecho y será' uno má' en su lista
¿Que si e' maliciosa? Yo, que la traté como una diosa
Me engañó y ahora me llama como loca, ajá

Presea, dale, presea
Si ya no estamo' junto', otra mujer me gardea, mami
Presea, dale, presea
Que poco' son los indio', hay mucha' india' en la aldea, ¿sabe'?
Presea, dale, presea
No dejes pa' mañana lo de hoy, que te lo llevan, ma
Presea, dale, presea
Ahora está' celosa porque otra me desea, ajá

Esta noche contigo la pasé bien (Woh-oh)
Pero yo me enteré que te debes a alguien (Yeah-eh)
Y tú fallaste, pero ya es tarde
Y tú fallaste, pero ya es tarde

Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)

Presea, dale, presea
Si ya no estamo' junto', otra mujer me gardea, mami
Presea, dale, presea
Que poco' son los indio', hay mucha' india' en la aldea, ¿sabe'?
Presea, dale, presea
No dejes pa' mañana lo de hoy, que te lo llevan, ma
Presea, dale, presea
Ahora está' celosa porque otra me desea, ajá (Dile')

Yo estoy soltero, mai, y tú presea'
Yo saco otra a bailar y tú presea'
Tú come' en to's lao' y me presea'
Si tienes dueño, ma, ¿por qué presea'?
(Vamo' a dejar esto claro ya, ¿okey?)

Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)
Lo que pasó, pasó (Entre tú y yo)

Ah, ah, dale mambo
Ah, dale mambo
Luny Tunes
Son cosas que pasan en el barrio fino
¡Daddy!
¡Eliel!
Siguiri-Da-Da— (Woh-oh)
Siguiri-Da-Da—
Daddy Yankee, yo'
Come on! (Woh-oh)"
6habFhsOp2NvshLv26DqMb,Despacito,82,False,229360,VIDA,2019-02-01,"Luis Fonsi, Daddy Yankee","4V8Sr092TqfHkfAA5fXXqG, 4VMYDCV2IEDYJArk749S6m","reggaeton, latin","9 ContributorsGoogle Translate Sings: “Despacito” by Luis Fonsi & Daddy Yankee ft. Justin Bieber Lyrics
Come at me
Many priests, the good things in there
Change all conditions in Heaven yes, Ae Ae
Black dark day
He made me feel something
You are every night I want to slowly slowly taste
My equality, how much love how to put it
I have only one angle
You seem to have ears, you feel my words
You can spend a long time in a very short time

You, you are a mechanic and made of iron
See how, coming soon
Simply pulse acceleration (Yes)
If you are interested in more than money
My mind is all necessary
I killed without problems

Quickly, I want to get rid of your throat
I will show you something in your ear
If you are not with me you will lose
Quickly, gently shared your clothes locked, I want to
Let’s sign a labyrinth wall
And make plaintiff’s regime (Growing, growing, growing)
Growing, growing plant

I see your chest hair, I want to be your objective
I want to see my face
Favorite Business (Favorite, a favorite child)
Vunerability to secure the Danger Zone
It also provokes your jealousy
A surname here is (Tell me, Dadi Derides)

If I ask to see the kiss gimme, I know your belief converted
Bucket I have sought for some time, mother, until today
I know your heart I decided to be honest
I know that the child is my right
How do you know what comes to my face?
I would, I wish, I want to know down the fullness of I love art
I am in a hurry, I want to go
First of all, surprise

By steps, soft and flabby stage, we are a bit stranded
I blame you for that, I see you are malice with delicacy
By steps, soft and flabby stage, we are a bit weak and needy
And its aesthetic is a conundrum but here I am on the mountain, oh yeah

Quickly
Retro, unknown, coastline, inside, profile, lit
""Or a blessing!"" from the howling waves
So that my seal stays with you

Quickly
By steps, soft and flabby stage, we are a bit stranded
I want to see my face, favorite business (Favorite, a favorite child)
By steps, soft and flabby stage, we are a little bit stuck
It also provokes your jealousy, a surname here
Quickly"
6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,79,False,198786,Meet The Orphans,2010-01-01,"Don Omar, Lucenzo","33ScadVnbm2X8kkUqOkC6Z, 5bv5RplEOwdCvhq0EILh9E","reggaeton, urbano latino","4 ContributorsTranslationsEspañolPortuguêsDeutschEnglishPortuguêsDon Omar & Lucenzo - Danza Kuduro (Traducción Al Español) Lyrics

A&X
El Orfanato
¡Danza Kuduro! (Plop, plop, plop, plop, plop, plop, plop)
¡Lucenzo! (El Orfanato)
¡El Rey!

La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora, que esto solo empieza
Mueve la cabeza, danza kuduro
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora, que esto solo empieza
Mueve la cabeza, danza kuduro

¿Quién puede domar la fuerza del mar que se mete por tus vena'? (¡Don!)
Lo caliente del sol que se te metió y no te deja quieta, nena (¡Toma, toma!)
¿Quién puede parar eso que al bailar descontrola tus cadera'? (Sexy)
Y ese fuego que quema por dentro y lento te convierte en fiera (¡Rra!)

Con la mano arriba, cintura sola
Da media vuelta y sacude duro
No te quite' ahora, que esto solo empieza
Mueve la cabeza y sacude duro (¡Don!)

Muevete kuduro
Muévete que ésto es una locura
Morena, ven a mi lado
Nadie va a quedarse quieto
Quiero verte moverte kuduro
Muévete que ésto es una locura
Morena, ven a mi lado
Nadie va a quedarse quieto, oh-oh-oh

Oi, oi, oi
Oi, oi, oi, oi
Es para romper kuduro
Vamos a bailar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Ya sea morena o rubia
Ven a balancear kuduro
Oi, oi, oi

La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora, que esto solo empieza
Mueve la cabeza, danza kuduro
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora, que esto solo empieza
Mueve la cabeza, danza kuduro

Muévete que ésto es una locura
Morena, ven a mi lado
Nadie va a quedarse quieto
Quiero verte moverte kuduro
Muévete que ésto es una locura
Morena, ven a mi lado
Nadie va a quedarse quieto, oh-oh-oh

Oi, oi, oi
Oi, oi, oi, oi
Es para romper kuduro
Vamos a bailar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Ya sea morena o rubia
Ven a balancear kuduro
Oi, oi, oi
¡El Orfanato!

La mano arriba (Vai, vai; vuelta), cintura sola (Vai, vai; vuelta)
Da media vuelta (Vai, vai; vuelta), danza kuduro (Vai, vai; vuelta)
No te canse' ahora (Vai, vai; vuelta), que esto solo empieza (Vai, vai; vuelta)
Mueve la cabeza (Vai, vai; vuelta), danza kuduro (Vai, vai; vuelta)
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora, que esto solo empieza
Mueve la cabeza, danza kuduro

A&X"
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),88,False,218093,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,"Shakira, Wyclef Jean","0EmeFodog0BfCgMzAIvKQp, 7aBzpmFXB4WWpPl2F7RjBe",latin pop,"2 ContributorsHips Don’t Lie (feat. Wyclef Jean)  Lyrics]

Let me introduce you
To one of the most talented men I know
My friend, the genius
Wyclef Jean!
I wanna see you dance, yeah!
Here we go!
Put your hands in the air!
Put your hands in the air!
Here we go
¡Uno, dos, tres, cuatro!
Put your hands in the air!
Put your hands in the air!
Put your hands in the air!
Hey
Shakira, Shakira

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Shakira, Shakira
Oh, baby, when you talk like that (Oh!)
You make a woman go mad (Come on!)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body (Put your hands up!)

I'm on tonight
You know my hips don’t lie
And I'm starting to feel you, boy (Come on!)
Come on, let's go (Sí!)
Real slow (Sí!)
Don’t you see, baby? This is perfection

Hey, girl, I can see your body moving
And it's driving me crazy
And I didn't have the slightest idea
Until I saw you dancing
And when you walk up on the dance floor, nobody cannot ignore
The way you move your body, girl
And everything's so unexpected, the way you right and left it
So you can keep on shakin' it

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa
Shakira, Shakira
Oh, baby, when you talk like that (Oh!)
You make a woman go mad (Oh!)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body (Wave your hands like this!)

I'm on tonight
You know my hips don't lie
And I'm starting to feel you, boy
Come on, let’s go (¡Sí!)
Real slow (¡Sí!)
Don’t you see, baby? This is perfection
They know I'm on tonight
My hips don’t lie and I'm starting to feel it's right
All the attraction (¡Sí!)
The tension (¡Sí!)
Don't you see, baby? This is perfection

Oh, boy, I can see your body movin’, half-animal, half-man
I don't, don't really know what I'm doin'
But you seem to have a plan
My will and self-restraint have come to fail now, fail now
See, I'm doing what I can, but I can't, so, you know
That's a bit too hard to explain

Baila en la calle de noche
Baila en la calle de día (Let's go!)
Baila en la calle de noche
Baila en la calle de día

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Shakira, Shakira
Oh, baby, when you talk like that (Oh!)
You know you got me hypnotized (Oh!)
So be wise (¡Sí), and keep on (¡Sí!)
Readin' the signs of my body

Señorita, feel the conga
Let me see you move like you come from Colombia
Mira, en Barranquilla se baila así, say it!
En Barranquilla se baila así
¡Barranquillero'!

Yeah, she's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country
I go back like when 'Pac carried crates for Humpty Humpty
We leave the whole club dizzy
Why the CIA wanna watch us?
It's the Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo-bop-so-bop, no more do we snatch ropes
Refugees run the seas, 'cause we own our own boats

I'm on tonight
My hips don't lie, and I'm starting to feel you, boy
Come on, let's go (Si!)
Real slow (Si!)
Baby, like this is perfection
They know I'm on tonight (Come on!)
My hips don't lie, and I'm starting to feel it's right
All the attraction,(Si!)
The tension(Si!)
Baby, like this is perfection

I'm on tonight, come on!
Everybody, jump! Jump! Jump! Jump! Jump!
I'm on tonight, go!
Sean Pauñ, happy birthday! Let's go!!
Come on, come on!
I'm on tonight
Everybody, jump! Jump! Jump! Jump!
I'm on tonight
Go Shaki, go Shaki, go!
I'm on tonight
If you from Miami, put your hands in the air!
I'm on tonight
I'm on tonight
Go Shaki, go Shaki, go!
I'm on tonight
¡Cumbia de mi tierra!
Come on!
Put your hands in the air! Come on!
I'm on tonight

I'm on tonight
You know my hips don't lie
And I'm starting to feel you, boy (Come on!)
Come on, let's go, (¡Sí!)
Real slow (Put your hands up!)
Don't you see, baby? This is perfection (Put your hands up!)
They know I'm on tonight
You know my hips don't lie
And I'm starting to feel it's right (Come on!)
All the attraction (¡Sí!)
The tension (¡Sí!)
Don't you see, baby? This is perfection

No fighting tonight!
No fighting!
No fighting, right, people?
Shakira, Shakira
¡Gracias!
¡Gracias, Wyclef!
Thank you!
Thank you so much!
Make some noise!
Make some noise!
Put your hands in the air!
Put your hands up!
¡Gracias!
¡Hasta siempre!
¡Los quiero mucho!"
4OrJwh5yi85YGh32jlSP1p,Ai Se Eu Te Pego - Radio Edit,0,False,166875,Ai Se Eu Te Pego,2012-01-27,Nooossaa!,2DmtsINoftYiDBsB8lIu5V,,
5QQKWOwPjG9vcDBTQ5Hv5Q,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",64,False,212000,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",2022-06-10,"PEDRO SAMPAIO, Anitta, Dadju, Mc Pedrinho, Nicky Jam","5wbf52LA6kcaboHSN6NEF1, 7FNnA9vBm6EKceENgCGRMb, 4sbXXFzEWJY2zsZjelerjX, 1etNnR2SdlelBQAICa2Q5m, 1SupJlEpv7RS2tPNRaHViT","funk pop, funk carioca, brazilian pop, french pop, latin, reggaeton, brega funk, pop urbaine, funk, brazilian funk, pagode baiano","2 ContributorsTranslationsEspañolEnglishEspañolPortuguêsPEDRO SAMPAIO, Anitta & Dadju - DANÇARINA (Remix) (ft. Nicky Jam & MC Pedrinho) (Traduction française) Lyrics
Quand je bouge mon corps, je suis un talent
Tu sais bien je descends, oh je te frappe
Quand je bouge mon corps, je suis un talent
Tu sais bien je descends, oh je te frappe

Donnez-moi un verre parce que je vais juste commencer
Donnez-moi un verre parce que je ne m'arrêterai pas, ah

Toutes les filles dansent jusqu'au sol, faisant le mouvement de danse Anitta
Quand tu regardes la piste de danse, ce sont tous des danseurs
Ah, ah-ah-ah, ah-ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, eh

Cette fille est au top
C'est plein de désir qui ne finit jamais
C'est de la provocation, a montré ses griffes
Elle n'est pas venue seule, elle marche avec son amie
Ils veulent que je prenne les deux ensemble, et je prends les deux ensemble
Elle a beaucoup de petites choses, mais le meilleur ici c'est moi
On dit qu'au Brésil les cassés l'appellent favela
Elle paye pour de vrai, mais ce soir elle rentre à la maison et se dévoile
Ce soir, ce soir elle vient dure, danse jusqu'au sol pleine de malice
Aujourd'hui, je vais l'emmener dans un jet à São Paulo, na-na-na
Ce soir, elle vient dure, danse jusqu'au sol pleine de malice
Je vais l'emmener dans un jet, ah

Chérie, défais tes valises, on a quitté le bendo
Personne ne m'a vu venir, non, j'suis monté crescendo
Le point commun de mes ennemis, c'est la vue sur mon dos
Numéro un au Brésil comme Neymar ou Ronaldo​

Donnez-moi un verre parce que je vais juste commencer
Donnez-moi un verre parce que je ne m'arrêterai pas, ah

Toutes les filles dansent jusqu'au sol, faisant le mouvement de danse Anitta
Quand tu regardes la piste de danse, ce sont tous des danseurs
Ah, ah-ah-ah, ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah (Joue-le, joue-le haut)

Tra, tra
Reste ic, tra, tra
Perreame, tra, tra
Tu sais que je t'enferme avec mon tra, tra
Tra, tra
Reste ici, tra, tra
Perreame, tra, tra
Tu sais que je t'enferme avec mon

Oh, oh, ah, me demande pas ce que j'fais
Je ne vois jamais ton nom s'afficher sur le bigo
Me demande pas ce que j'fais
J'suis toujours en train de remplir les frigos
À la base, c'était pas moi, à la base, t'étais pas là
J'augmente les prix comme Marlboro
J'fais comme les mecs en costard
Madame m'appelle, je réponds « Nham »
J'veux des vacances loin de Paname
On prend la fuite, on dépose les armes
Chemise ouverte sur l'kanam
Em-embrasse-moi, chaque jour de la semaine, je veux toi
Embrasse-moi, en portugais, en français, lingala
Embrasse-moi, chaque jour de la semaine, je veux toi
Embrasse-moi, en portugais, en français, lingala

Donnez-moi un verre parce que je vais juste commencer
Donnez-moi un verre parce que je ne m'arrêterai pas, ah

Toutes les filles dansent jusqu'au sol, faisant le mouvement de danse Anitta
Quand tu regardes la piste de danse, ce sont tous des danseurs
Ah, ah-ah-ah, ah-ah, fou de danser
Ah-ah-ah, ah-ah-ah, je te fascine
Ah-ah-ah, ah-ah-ah, *on s'arrêtera pas*
Ah-ah-ah, ah-ah-ah, (Fou de s'asseoir)"
