id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
5VzvK7YiwWbRePA2JOzhYq,Because the Night - Live Unplugged,60,False,223373,MTV Unplugged (Live),1993-10-26,"10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,jangle pop,"10 ContributorsBecause the Night (Live on MTV Unplugged) Lyrics
Take me now, baby, here as I am
Hold me close, and try and understand
Desire is hunger is the fire I breathe
Love is a banquet on which we feed

Come on now, try and understand
The way I feel under your command
Take my hand, as the sun descends
They can't hurt you now
Can't hurt you now
Can't hurt you now

Because the night belongs to lovers
Because the night belongs to us
Because the night belongs to lovers
Because the night belongs to us

Have I doubt, baby, when I'm alone
Love is a ring, a telephone
Love is an angel disguised as lust
Here in our bed 'til the morning comes

Come on now, try and understand
The way I feel under your command
Take my hand, as the sun descends
They can't hurt you now
Can't hurt you now
Can't hurt you now

Because the night belongs to lovers
Because the night belongs to us
Because the night belongs to lovers
Because the night belongs to us

With love we sleep, with doubt the vicious cycle turns, and burns
Without you oh I cannot live, forgive the yearning Burning
I believe it's time, too real to feel
So take me now, take me now, take me now

Because the night belongs to lovers
Because the night belongs to us
Because the night belongs to lovers
And everybody says that it belongs to us"
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,79,False,258773,(What's The Story) Morning Glory? [Remastered],1995-10-02,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"rock, madchester, britpop",
7f0jXNMu2xjQUtmKMuWhGA,What's Up?,3,False,295493,"Bigger, Better, Faster, More !",1992-01-01,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,,"96 ContributorsTranslationsDeutschWhat’s Up? Lyrics
25 years and my life is still
Tryin' to get up that great big hill of hope
For a destination
I realized quickly when I knew I should
That the world was made up of this brotherhood of man
For whatever that means

And so I cry sometimes when I'm lying in bed
Just to get it all out what's in my head
And I, I am feeling a little peculiar
And so I wake in the morning and I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
""What's going on?""

And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""

Ooh, ooh
Ooh
Ooh, uh huh
Ooh, ooh
Ooh
Ooh, uh huh

And I try
Oh my God, do I try
I try all the time
In this institution
And I pray
Oh my God, do I pray
I pray every single day
For revolution

And so I cry sometimes when I'm lying in bed
Just to get it all out, what's in my head
And I, I am feeling a little peculiar
And so I wake in the morning and I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
""What's going on?""

And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, what's going on?""
And I say, hey-ey-ey
Hey-ey-ey
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
(Wake in the morning and step outside)
Hey-ey-ey
(Take a deep breath and I get real high)
(And I scream)
I said ""Hey, a-what's going on?""
And I say, hey-ey-ey
(Wake in the morning and step outside)
Hey-ey, yeah yeah yeah
(Take a deep breath and I get real high)
(And I scream)
I said ""Hey, a-what's going on?""

Ooh, ooh
Ooh
Ooh, uh huh

25 years and my life is still
Tryin' to get up that great big hill of hope
For a destination, mmm"
1eRqy8jW4ZLMJR6dl3xsgI,Lovefool - Radio Edit,0,False,193893,First Band On The Moon,1996-09-17,The Cardigans,1tqZaCwM57UFKjWoYwMLrw,,"2 ContributorsLovefool (Radio Edit) Lyrics
Love me, love me
Fool me, fool me
Love me, love me
Fool me, fool me
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me

Dear, I fear we're facing a problem
You love me no longer, I know
And maybe there is nothing
That I can do to make you do
Mama tells me I shouldn't bother
That I ought to stick to another man
A man that surely deserves me
But I think you do!
Just say...

Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Fool me, fool me
Love me, love me
Fool me, fool me
Go on and fool me

Lately I have desperately pondered
Spent my nights awake and I wonder
What I could have done in another way
To make you stay
Reason will not lead to solution
I will end up lost in confusion
I don't care if you really care
As long as you don't go
Just say...

Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me

I cry and I pray
I cry and I pray
And I beg
And I beg
I cry and I pray
I cry and I pray
And I beg
And I beg
I cry and I pray
I cry and I pray
And I beg
And I beg

Love me, love me
Fool me, fool me
Love me, love me
Fool me, fool me
Love me, love me
Fool me, fool me

Love me, love me (Say that you love me)
Fool me, fool me (Go on and fool me)
Love me, love me
Fool me, fool me"
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,82,False,272293,August And Everything After,1993-01-01,Counting Crows,0vEsuISMWAKNctLlUAhSZC,,"87 ContributorsMr. Jones Lyrics
Sha-la-la-la, la-la-la
Mm, uh-huh

I was down at the New Amsterdam
Staring at this yellow-haired girl
Mr. Jones strikes up a conversation
With a black-haired flamenco dancer
You know, she dances while his father plays guitar
She's suddenly beautiful
And we all want something beautiful
Man, I wish I was beautiful

So come dance this silence down through the morning
Sha-la-la-la-la, la-la-la-la, yeah
Uh-huh, yeah
Cut up, Maria
Show me some of them Spanish dances and
Pass me a bottle, Mr. Jones
Believe in me
Help me believe in anything
'Cause I wanna be someone who believes
Yeah

Mr. Jones and me
Tell each other fairy tales
And we stare at them beautiful women
She's looking at you
Oh no, no, she's looking at me
Smiling in the bright lights
Coming through in stereo
When everybody loves you
You can never be lonely

Well, I'm gon' paint my picture
Paint myself in blue and red, and black, and gray
All of the beautiful colors are very, very meaningful
Yeah, well, you know gray is my favorite color
I felt so symbolic yesterday
If I knew Picasso
I would buy myself a gray guitar and play

Mr. Jones and me
Look into the future
Yeah, we stare at the beautiful women
She's looking at you
I don't think so, she's looking at me
Standing in the spotlight
I bought myself a gray guitar
When everybody loves me
I will never be lonely

I will never be lonely
Said, I'm never gonna be lonely

I wanna be a lion
Yeah, everybody wanna pass as cats
We all wanna be big, big stars
Yeah, but we got different reasons for that
Believe in me
'Cause I don't believe in anything
And I, I wanna be someone to believe
To believe, to believe, yeah

Mr. Jones and me
Stumbling through the barrio
Yeah, we stare at the beautiful women
She's perfect for you
Man, there's got to be somebody for me
I wanna be Bob Dylan
Mr. Jones wishes he was someone
Just a little more funky
When everybody loves you
Oh son, that's just about as funky as you can be
Mr. Jones and me
Staring at the video
When I look at the television, I wanna see me
Staring right back at me
We all wanna be big stars
But we don't know why and we don't know how
But when everybody loves me
I wanna be just about as happy as I can be

Mr. Jones and me
We're gonna be big stars"
1iUvSmGGQrhCltmenwKTFZ,Pain Lies On The Riverside,0,False,311666,Mental Jewelry,1991-01-01,Live,6eoJpTIlcuxJNjV5fDzDJH,"grunge, post-grunge","5 ContributorsPain Lies On The Riverside Lyrics(I, I)
I have never taken life
Yet I have often paid the price
And you, you are a victim of this age
And the guilt that hangs around your neck
Has got me locked up in a cage
You've got to learn to live until no end
But first you must learn to swim
All over again
Oh no because...
Pain lies on the riverside (yes)
And pain will never say goodbye (no no)
Pain lies on the riverside
So put your feet in the water
Put your head in the water
Put your soul in the water
Join me for a swim tonight
I have forever, always tried
To stay clean and constantly baptized (oh)
I'm aware that the river's banks they are dry
And to wait for a flood
Is to wait for life

I've got to learn to live until no end
But first I must learn to swim all over again
Yeah yeah yeah because...
Pain lies on the riverside (yeah)
And pain will never say goodbye (no no)
Pain lies on the riverside
So put your feet in the water
Put your head in the water
C'mon put your soul in the water
Join me for a swim tonight
For a swim tonight
(Oh my Lord)
I've got to learn to live until no end
I've got to learn to swim
All over, all over, all over again
Yeah yeah yeah because
Pain lies on the riverside
(oooh nah nah nah nah)
And pain will never say goodbye (no no)
Pain lies on the riverside
So put your feet in the water
Put your head in the water now
C'mon put your soul in the water
Join me for a swim tonight

For a swim tonight
To swim (all over, all over, all over, all over again)
To live (all over, all over, all over, all over again)
Live (all over again)"
3ablgRauQTQcoduS3L6XYw,Suicide Blonde,0,False,232009,X (Remastered),1990-09-25,INXS,1eClJfHLoDI4rZe5HxzBFv,,"16 ContributorsSuicide Blonde Lyrics
Don't you know what you're doing? (Oh)
You've got a death wish
Yeah?
Suicide blonde, suicide blonde
Suicide blonde, suicide blonde

Suicide blonde was the colour of her hair
Like a cheap distraction
For a new affair
She knew it would finish
Before it began
Woah, baby, you lost the plan

You wanna make her suicide blonde
Love devastation, suicide blonde
You wanna make her suicide blonde
Love devastation, suicide blonde

She stripped to the beat
But her clothes stay on
White light everywhere
But you can't see a thing
Such a squeeze, a mad, sad moment
Glory to you, glory to you, take me there
Ooh, take me there (Ow)

You got some revelation put into your hands
Save you from your misery
Like rain across the land
Don't you see the colour of deception?
Turning your world around again

You wanna make her suicide blonde
Love devastation, suicide blonde
You wanna make her suicide blonde
Love devastation, suicide blonde, say it

(You wanna make—)
(You wanna make—)
You wanna make her suicide blonde
You wanna make— (Hahaha)
Ow

That's the story
Everything you wanna be
Everything you are, are
Mm-mm, yeah


You wanna make her suicide blonde
Love devastation, suicide blonde (Oh)
You wanna make her suicide blonde
Love devastation, suicide blonde, yeah

Love devastation
You wanna make her suicide blonde
Love devastation, suicide blonde
You wanna make her suicide blonde"
6GKJUyIC50rzo8JKFkCfdA,Linger,0,False,274706,"Everybody Else Is Doing It, So Why Can't We?",1993-03-01,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,,"74 ContributorsTranslationsEspañolLinger Lyrics
If you, if you could return
Don't let it burn, don't let it fade
I'm sure I'm not being rude
But it's just your attitude
It's tearing me apart
It's ruining everything
And I swore, I swore I would be true
And honey, so did you
So why were you holding her hand?
Is that the way we stand?
Were you lying all the time?
Was it just a game to you?

But I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?

Oh, I thought the world of you
I thought nothing could go wrong
But I was wrong, I was wrong
If you, if you could get by
Trying not to lie
Things wouldn't be so confused
And I wouldn't feel so used
But you always really knew
I just want to be with you

And I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?


And I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?"
3Y8Ff1nH44jFywAtpgmleZ,1979 - Remastered 2012,61,False,266200,Mellon Collie And The Infinite Sadness (Remastered),1995-12-12,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,"rock, alternative rock",
31v2AQlx4pDI7kmnLxBkem,Mmm Mmm Mmm Mmm,67,False,235173,God Shuffled His Feet,1993-04-05,Crash Test Dummies,1YEGETLT2p8k97LIo3deHL,,"50 ContributorsTranslationsDeutschMmm Mmm Mmm Mmm Lyrics
Once there was this kid who
Got into an accident and couldn't come to school
But when he finally came back
His hair had turned from black into bright white
He said that it was from when
The cars had smashed so hard

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm

Once there was this girl who
Wouldn't go and change with the girls in the change room
But when they finally made her
They saw hurt marks all over her body
She couldn't quite explain it
They'd always just been there

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm

But both girl and boy were glad
'Cause one kid had it worse than that

'Cause then there was this boy whose
Parents made him come directly home right after school
And when they went to their church
They shook and lurched all over the church floor
He couldn't quite explain it
They'd always just gone there

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm"
