id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
3HFdPsHeAtmIrCz5fOYnp4,I'll Be Around - 2003 Remaster,41,False,191786,Definitive Soul: Spinners,2007-04-02,The Spinners,5fbhwqYYh4YwUoEs582mq5,"northern soul, soul, philly soul, motown",
03eVpHrGANUcDXDGRXFgGr,'Cause I Love You,0,False,430000,Spark Of Love,1978-01-01,Lenny Williams,5VcrwzYyoX3WUTbkaqcIvN,quiet storm,"20 Contributors’Cause I Love You LyricsGirl, you know I, I, I, I love you
No matter what you do
And I hope you understand me
Every word
I say is true
'Cause I love you'
Baby, I'm thinkin' of you
Tryin' to be more of a man for you
And I don't have much of riches
But we gonna see it through
'Cause I love you
Oh
Oh, oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Some men need lots of women
For their passions to fill
But I
Want only you, girl
If it's in
If it's in
If it's in
God's will
'Cause I
'Cause I
Love you
I, I
I love you, baby
With all my
Heart and soul
Oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh

(I love you)
(I need you)
(I want you)
(I need you)
Oh, oh, oh, oh, oh, oh, oh, oh, oh your love
Makes me grow stronger
It keeps me goin' on
Oh, baby
I'm glad
I found you
I just love to be around you, oh, baby
You've been so good to me
Oh, baby
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Hmm-mmm
Hmmm-mmm
You know, one time things got so bad until
I had to go to one of my friends and talk to him
And I told him, I said, ""You know
I'm having problems with the woman that I love
It seems that I call her on the phone and I
I just can't get her to answer
And then I went to her house and I saw a car parked in the driveway
I knocked on the door, but still my knocks went unanswered
And then I went home and I
I watched television until television went off
And then I played my records until I just didn't want to hear them
Anymore and finally I went to bed
But I found myself waking up a few hours later
And the tears were running down my face"" And my friend told me
He said, ""Lenny, you just oughta forget about her""
But I told my friend, I said
""You know, maybe you've never been in love like I've been in love
And maybe you've never felt the things that I've felt""
But this is what I told my friend
I said, ""You know, sometimes you get lonely
You get lonely
You get lonely""
Oh, oh
Oh, oh, oh, oh, oh, oh and I cry
I cry
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
And the tears
Would fill up
In the wells
In the wells of my eyes, aw, baby
And then it got so bad
It got so bad
'Till one time I thought I'd roll myself up
In a big ol' ball and die
And then I met you, darlin'
And you smiled at me
Oh
Oh, it was such a pretty smile, yes, it was
And you reached out your hand
You helped me
(You helped me)
You helped me
(You helped me)
Yeah-haa, oh

I'm glad, baby
I'm glad, baby
Oh, oh
Oh, baby
Oh, oh, oh
I won't ever leave you, baby
I won't ever grieve you, baby
I'm gon' love you
Oh, oh
Oh, baby
I'm glad
I'm glad, baby
Oh, oh
Yeah, baby
Oh, oh, oh
I love you
I love you
I love you
I love you
Oh
I love you
I love you
I love you
I love you
I love you
I love you
I love
You"
3jnHa7gJkOUoTYLEcBr8Dx,Trouble Man - Extended Version,39,False,249666,Trouble Man: 40th Anniversary Expanded Edition,1972-12-08,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"quiet storm, northern soul, soul, motown","1 ContributorTrouble Man - Extended Version LyricsI come up hard, baby, and that ain't cool!
I didn't make it sugah, playin' by the rules!
I come up hard, babe, but now I'm fine
I'm shakin' trouble sugah, & movin' down the line
I come up hard, but that's OK
'Cause
Trouble Man don't get in my way!
I come up hard, baby!
I mean fo' real, baby, cuz I'm a Troubled Man!
Gonna keep movin', gonna go to town
I come up hard, and now I'm gettin' down!
There's only 3 things that's fa sho*:
Taxes, death and trouble
This I know, baby. this I know
Yeah, you never let it sweat you baby
Whooooo
Got me singin', yeah, yeah, hooo
I come up hard, baby, I had to fight!
To keep my dignity with all my might!
I come up hard, I had to win!
Then start all over. And WIN AGAIN!
I come up hard, but that's OK!
'Cause Trouble Man don't get in my way

Hey, Hey!
Now I been some places and I seen some faces
I got my connections they take my directions
Don't care what they say. that's OK, they don't bother me
I'm ready to make it, don't care 'bout the weather
Don't care 'bout no trouble, got myself together
No laughin', no cryin', my protection's all around me
I come up hard, baby
I mean for real, baby
With the Trouble Man
Movin', goin' tight
I come up hard, come on, get down
There's only 3 things for sure:
Taxes, death and trouble
This I know, baby, baby
This I know, baby, baby
Hey now, let it sweat, baby
I've come up hard, but now I'm cool
I didn't make it, baby, playin' by the rules
I've come up hard, baby, but now I'm fine
I'm shakin' trouble, sure movin' down the line"
4BNhasx75KbS10jHq3VZTz,That's the Way of the World,59,False,345506,That's The Way Of The World,1975-03-15,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,disco,"20 ContributorsThat’s the Way of the World Lyrics
Hearts afire
Creates love desire
Take you high and higher
To the world you belong
Hearts afire
Creates love desire
High and higher
To your place on the throne

We've come together on this special day (Huh)
Sing a message loud and clear (Hmm, mm)
Looking back, we've touched on sorrowful days (Well!)
Future, past, they disappear (Haw, haaaw)

You will find (You will find)
Peace of mind (Yeah, ha)
If you look way down
In your heart and soul
Ahh, don't hesitate
'Cause the world seems cold
Stay young at heart
Ahh, 'cause you're never
Never old at heart (Never, never, never, never, never, never)
Oh, yeah, yeah, ha

That's the way (That's the way)
Of the world (Of the world)
Plant your flower (Gonna plant your flower)
And you grow a pearl (Heeey, ooh, ooh, ooh)
Child is born
With a heart of gold (Ooh, ah, ah, yeah)
Way of the world (Gonna plant your flower)
Makes his heart so cold
Oooh, ooh, ooh, ha, Lord
Can't you see me, y'all?
Say, hey
Hey, yeah, yeah, yeah
Mm, mm, mm, mm
Ahhh, luh


Hearts afire
Creates love desire
Take you high and higher
To the world you belong

Hearts afire
Love desire
High and higher
Yeah, yeah, yeah
Hearts afire
Love desire
High, higher
Mmm, mmm, mm, mm
Haw, haw

We've come together on this special day
Sing our message loud and clear (Ay, yah!)
Looking back, we've touched on sorrowful days
While future disappear

You will find (You will find)
Peace of mind (Ay, hey)
If you look way down
In your heart and soul
Ah, don't hesitate
'Cause the world seems cold
Stay young at heart ('Cause)
'Cause you're never, never, never, never, never, never, never
Ay, yee, ay, yee, ay, yee, yeah, ha

That's the way (Yaow!)
Of the world (Yaow! Hey, yeah!)
Plant your flowers
And you'll grow a pearl (Aaah, oooh)
Child is born (Child is born)
With a heart of gold
(Listen now with a heart of gold)
Way of the world (Way of the world)
Makes his heart so cold (Makes his heart so cold)

That love, that love
That love, that love
That love, that love
Th-...
Ooh, yeah!
Never!
Aaah, ah, ha, ah, ha
Well!
Uhhh, la, la, la
Don't you hear me now?
Don't you hear me now?
Lordy, won't you hear me now?
Lordy, won't you hear me now?!
Ay, yee, ay, yee, yeah!
Hearts afire (Hearts afire)
Love desire (Ohh, love desire)
High and higher
Aaah, oooh, ooh, oooh, hoo
Yeah
Yeah
Yeah
Hearts afire"
6ML3NcLAUoF8XIcf1l6AF2,What You Won't Do For Love,0,False,286493,What You Won't Do For Love,1978,Bobby Caldwell,4V4Z3qMCwYofWHtip6ePF6,,"59 ContributorsWhat You Won’t Do for Love Lyrics
I guess you wonder where I've been
I searched to find a love within
I came back to let you know
Got a thing for you and I can't let go

My friends wonder what is wrong with me
Well, I'm in a daze from your love, you see
I came back to let you know
Got a thing for you and I can't let it go

Some people go around the world for love
But they may never find what they dream of

What you won't do, to do for love
You've tried everything, but you don't give up
In my world, only you
Make me do for love what I would not do

My friends wonder what is wrong with me
Well, I'm in a daze from your love, you see
I came back to let you know
Got a thing for you, and I can't let go

And though I only want the best, it's true
I can't believe the things I do for you

What you won't do, do for love
You've tried everything, but you won't give up
In my world, only you
Make me do for love what I would not do
Make me do for love what I would not do
Make me do for love what I would not do
Make me do for love what I would not do"
7tMCIOFe99cWEYr21wfsDp,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,0,False,315840,20 All-Time Greatest Hits!,1991,James Brown,7GaxyUddsPok8BuhxN6OUW,"motown, funk, soul","24 ContributorsGet Up (I Feel Like Being a) Sex Machine (Pts. 1 & 2) Lyrics
Fellas, I'm ready to get up and do my thing (Go ahead, do your thing, then, get on up and do it)
(Yeah! Yeah! Go ahead, do it!)
I want to get into it, man, you know (Go ahead! Yeah!)
Like a, like a sex machine, man, (Yeah, yeah!)
(Go ahead on)
Movin' and doin' it, you know
(Yeah!)
(Do it!)
Can I count it off? (Yeah! Go ahead!)
(Count it off!)
One, two, three, four!

Get up, (get on up)
Get up, (get on up)
Stay on the scene, (get on up)
Like a sex machine, (get on up)
Get up, get on up
Get up, get on up
Stay on the scene, (get on up)
Like a sex machine, (get on up)
Get up, get on up
Get up, get on up
Stay on the scene, (get on up)
Like a sex machine, (get on up)
Wait a minute!

Shake your arm, then use your form
Stay on the scene like a sex machine
You got to have the feeling sure as you're born
Get it together, right on, right on

Get up (Get on up)
Get up (Get on up)
Get up (Get on up)
{Piano solo: James Brown}

Get up (Get on up)
Get up (Get on up)
Get up (Get on up)

You said, you said you got the
You said the feeling you got to get
You give me the fever 'n' a cold sweat
The way I like, it is the way it is
I got mine 'n' don't worry 'bout his

Get up, get on up
Stay on the scene, (get on up)
Like a sex machine, (get on up)
Get up, get on up
Get up, get on up

Bobby! Can I take 'em to the bridge?
(Go Ahead!)
Take 'em on to the bridge!
(Take em to the bridge!)
Can I take 'em to the bridge?
(Yeah!)
Take 'em to the bridge?
(Go Ahead!)

Hit me now!
Come on!
Stay on the scene, like a sex machine!
The way I like it is, is the way it is
I got mine, (dig it!), he got his
Stay on the scene, like a lovin' machine
Stay on the scene, like a lovin' machine
Stay on the scene
I wanna count it off one more time now
(Go ahead!)
You wanna hit it like it did on the top fellas?
(Yeah!)
Hit it like it did on the top?
(Yeah!)
Hit it now!

Get on up (get on up)
Get up (get on up)
Get up (get on up)
Get on up (get on up)
Stay on the scene (get on up)
Like a lovin' machine (get on up)
Get up (get on up)
Taste, (get on up)
Piano (get on up)
Taste (get on up)
Piano (get on up)
{Piano solo: James Brown}

Get up (get on up)
Get up (get on up)
Stay on the scene (get on up)
Like a sex machine (get on up)

You gotta have the feelin' (get on up)
Sure as you're born (get on up)
Get it together, right on, right on
Right on, right on (right on, right on)
Right on, right on (right on, right on)
Right on, right on (right on, right on)

Get up (get on up)
Get up (get on up)
And then
Shake your money maker
Shake your money maker
Shake your money maker
Shake your money maker
Shake your money maker
Shake your money maker
Shake your money maker

Get up (get on up)
Get up (get on up)
Get up (get on up)
Get up (get on up)
Get up (get on up)
{Piano solo: James Brown}

Huh!
Get up (get on up)
Get up (get on up)
Get up (get on up)

Can we hit it like we did one more time, from the top?
Can we hit like that one more time?
(One more time!)
One more time!
Let's hit it and quit! (Go ahead!)
Can we hit it and quit? (Yeah!)
Can we hit it and quit? (Yeah!)
Can we hit it and quit? (Yeah!)
Hit it!"
4YmKTCL86mpGHUS0sEWAUV,Float On,0,False,708866,Float On,1993-06-22,The Floaters,6GpuL6WNTOVhmMl6lZbiKS,,"8 ContributorsFloat On Lyrics
Aquarius, Libra, Leo, Cancer
Ralph, Charles, Paul, Larry

Float, float on
Float on, float on
Float, float, float on
Float on, float on
Float, float on
Float on, float on
Float, float, float on
Float on, float on
Float, float on
Float on, float on
Float, float, float on
Float on, float on

Aquarius, Libra, Leo, Cancer
Ralph, Charles, Paul, Larry

Aquarius and my name is Ralph
Now I like a woman who loves her freedom
And I like a woman who can hold her own
And if you fit that description, baby, come with me
Take my hand
Come with me, baby, to Love Land
Let me show you how sweet it could be
Sharing love with me, I want you to

Float, float on (come on, come on, come on)
Float on, float on
Float, float, float on
Float on, float on (float on)

Libra and my name is Charles
Now I like a woman that's quiet
A woman who carries herself like Miss Universe
A woman who would take me in her arms
And she would say, Charles, yeah
And if you fit that description
This is for you especially

Mmm, take my hand
Come with me, baby, to Love Land
Let me show you how sweet it could be
Sharing loving with me, I want you to

Float, float on
Float on, float on
Float, float, float on
Float on, float on

Leo and my name is Paul
You see I like all women of the world
You see to me all women are wild flowers
And if you understand what I'm sayin
I want you to

Mmm, take my hand
Come with me, baby, to Love Land
Let me show you how sweet it could be
Sharing love with me, I want you to

Float, float on
Float on, float on
Float, float, float on (float with Paul, y'all)
Float on, float on

Cancer and my name is Larry, huh
And I like a woman that loves everything and everybody
Because I love everybody and everything
And you know what, ladies, if you feel that this is you
Then this is what I want you to do
Ooh, yeah, take my hand
Let me take you to Love Land
Let me show you how sweet it could be
Sharing your love with Larry, listen

Float, float on
Float on, float on
Float, float, float on"
2Am4TMJcqfQtr79278nZjj,Love's Holiday,54,False,262079,All 'N All,1977-11-21,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,disco,"12 ContributorsLove’s Holiday LyricsWould you mind
If I touched, if I kiss, if I held you tight?
In the morning light, yeah
Would you mind
If I said how I felt tenderly tonight?
Again 'cause I never ever (Never felt) felt this way
In my heart before, oh
Love has found its way
In my heart tonight, yeah, yeah
Would you mind
If I looked in your eyes 'til I'm hypnotized?
And I lose my pride, yeah
Would you mind (Hey, do you mind?)
If I made love to you 'til I'm satisfied?
Once again 'cause I never felt, felt this way
In my heart, oh, before, oh
Love has found its way
In my heart tonight
Once again 'cause I never ever felt this way
In my heart before, ooh, oh
Love has found its way
In my heart, tonight

(Hey, would you mind, would you love?)
Oh, love
Would you mind, yeah, yeah, yeah, yeah, oh, baby, oh, yeah
Would you mind, baby, yeah, yeah, yeah, alright
Gonna look into your eyes 'til I'm hypnotized
Make love to you, baby, 'til I'm satisfied
Look into your eyes 'til I'm hypnotized
Make love to you, baby, 'til I'm satisfied
Look into your eyes"
0hGlEv05CFThJmE2vmzNUu,Love Won't Let Me Wait - 45 Version,42,False,227640,Love Won't Let Me Wait / After Loving You [Digital 45],1974,Major Harris,0mpVqJaKwg11LdSRrvI0PL,"northern soul, smooth soul, quiet storm, philly soul",
7GDzf0MaVa1Jz6P25YrWSc,What's Going On,0,False,234466,What's Going On,1971-05-21,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"quiet storm, northern soul, soul, motown",
