id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
6I86RF3odBlcuZA9Vfjzeq,Eres Mía,80,False,250640,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Ya me han informado que tu novio es un insípido aburrido
Tú que eres fogata y él tan frío
Dice tu amiguita que es celoso, no quiere que sea tu amigo
Sospecha que soy un pirata y robaré su flor

No te asombres si una noche
Entro a tu cuarto y nuevamente te hago mía
Bien conoces mis errores
El egoísmo ha de ser dueño de tu vida
Eres mía, mía, mía
No te hagas la loca, eso muy bien ya lo sabías

Si tú te casas
El día de tu boda, le digo a tu esposo con risas
Que solo es prestada la mujer que ama
Porque sigues siendo mía (Mía, mía, mía)

You won't forget Romeo
Ah-ah
Gostoso

Dicen que un clavo saca un clavo pero eso es solo rima
No existe una herramienta que saque mi amor

No te asombres si una noche
Entro a tu cuarto y nuevamente te hago mía
Bien conoces mis errores
El egoísmo ha de ser dueño de tu vida
Eres mía, mía, mía
No te hagas la loca, eso muy bien ya lo sabías

Si tú te casas
El día de tu boda, le digo a tu esposo con risas
Que solo es prestada la mujer que ama
Porque sigues siendo mía (Mía, mía, mía)

Te deseo lo mejor
Y el mejor soy yo
The King

You know your heart is mine
And you'll love me forever
You know your heart is mine
And you'll love me forever
Baby, your heart is mine
And you'll love me forever
Baby, your heart is mine
And you'll love me forever

No te asombres si una noche
Entro a tu cuarto y nuevamente te hago mía
Bien conoces mis errores
El egoísmo ha de ser dueño de tu vida
Eres mía, mía, mía, mía
No te hagas la loca, eso muy bien ya lo sabías

Si tú te casas
El día de tu boda, le digo a tu esposo con risas (Jajajaja)
Que solo es prestada la mujer que ama
Porque sigues siendo mía"
5ww2BF9slyYgNOk37BlC4u,La Bachata,79,False,162637,La Bachata,2022-05-26,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,"Te bloqueé de Insta, pero por otra cuenta veo tus historias (Oh-oh-oh)
Tu número lo borré; no sé pa' qué si me lo sé de memoria
Me hiciste daño, y así te extraño
Y aunque sé que un día te voy a olvidar
Aún no lo hago, es complicado
To' lo que hicimo' me gusta recordar

Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Que me cuide de otra que se parezca a ti
No quiero caer como hice por ti
Ojalá te enamore, te haga lo mismo que me hiciste a mí
Tú me enseñaste a no amar a cualquiera
Y también cómo no quiero que me quieran
No-oh-oh, éramos tres en una relación de dos
No te perdono, pídele perdón a Dios
Dije que te olvidé y la verdad e' que yo-oh-oh
Yo-oh-oh

Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Manuel Turizo"
2vmfvSoZBFAt9hhRoEByLi,Volví,75,True,230125,Volví,2021-08-03,"Aventura, Bad Bunny","1qto4hHid1P71emI6Fd8xi, 4q3ewBCX7sLwd24euuV69X","Dime por qué le tiras piedras a la luna
Tan ilógico como extraerme de tu piel
Después de Dios, soy tu todo, mujer
¿Qué tal te está yendo con él?

Yo sé que al final
A mí no me olvidas tan siquiera un poco
Al final, baby, tú extrañas cómo yo te toco
Recuerda, de tu cuerpo sé yo, mami
Cada rincón por dentro y por fuera
Dile que volví por ti (Yeh, yeh, yeh, yeh)

Yo soy ese tatuaje, mami, que no se te borra
Sin palomería', yo no bajo con cotorra
Dile al bobo ese que еn mí siempre e' quе tú piensa'
Que cuando él termina e' cuando tú apena' comienza'
Y ahí e', ahí e' cuando tú siente' la diferencia
Yo siempre te daba con consistencia
Dile que se retire, haga su diligencia
Porque volví por ti (Volví)
Pa' hacértelo bien rico como te gusta a ti
Ponte en cuatro y te la saco como lo hace Tatí'
Te montaste en la Jeepeta y no tenía' panty
So no te engañes
Que e' imposible que no me extrañe'
Lo nuestro e' de año', no hay forma de que se dañe
Con él ni suda', no hace falta ni que tú te bañe'
Despué' de lo' polvo' conmigo la' sábana' hay que botarla'
Toalla pa' la nena pa' secarla
No quiero a otra, tú ere' la que sabe sacarla
Hoy vine pa' rescatarla (So nasty)

Yo sé que al final
A mí no me olvidas tan siquiera un poco
Al final, baby, tú extrañas cómo yo te toco
Recuerda, de tu cuerpo sé yo, mami
Cada rincón por dentro y por fuera
Dile que volví por ti, yeah

¿Cómo carajo ese palomo va a compararse conmigo?
Ni te conoce mientras yo soy tu delirio
Tengo la fecha escrita en el calendario
Si yo volví a Aventura, tú regresas a mi lado, baby
Que cuente las horas
Es su destino, tú y yo tenemo' historia
Para que él vea que el dinero no lo es todo
Te enamoré con mi lujuria, yo controlo
Tú sabes que ese tipo es temporal
Anda, arranca y dile
Tú despide de una vez a ese cabró— (Ey)

Porque volví por ti
Pa' hacértelo bien rico como te gusta a ti
Ponte en cuatro y te la saco como lo hace Tatí'
Te montaste en la Jeepeta y no tenía' panty
Porque volví, mami, por ti
Lo haces con él pero pensando en mí
Inconforme con ese infeliz
Hey, you end up with me

Yo sé que al final
A mí no me olvida' tan siquiera un poco
Al final, baby, tú te mojas cuando yo te toco
Recuerda, de tu cuerpo sé yo, mami (Ey, ey)
Cada rincón por dentro y por fuera (Ey, ey, ey, ey)
Dile que volví por ti

Bad Bunny, baby, bebé
Bad Bunny, baby, bebé
Te toca a ti, Romeo
Dile
Aventura
Tú ere' mía, bebé
Tú ere' mía, bebé
Vamo' a hacerlo otra ve'
Vamo' a hacerlo otra ve'
Tú ere' mía, bebé
Tú ere' mía, bebé
Vamo' a hacerlo otra ve'
Jaja, ey"
4ob6ms155NnDHo3NcNqeue,Desde Hoy,71,False,203563,Natti Natasha en Amargue,2025-02-07,NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,"Desde hoy reinvento mi universo
Y en mi mundo ya no te quiero adentro
Soy dueña de mis sentimientos
Y quiero un amor, un nuevo amor

Mañana no estarás conmigo, será tu duelo y tu castigo
Que tengas un final horrendo y de lo peor

Te deseo mala suerte
Que el agua de tu fuente se contagie de veneno
Que la gente te deteste que la vida se te rompa en pedacitos
Y por ende, termines moribundo de amor

¿Que diablos te crees? Esa estupidez que perdone tu traición
Una margarita después que marchita no vuelve a ser una flor
No quiero, no puedo y aunque pudiera no debo perdonar
Un buen perro que no entienda el concepto del amor

Desde hoy reinvento mi universo
Y en mi mundo ya no te quiero adentro
Soy dueña de mis sentimientos
Y quiero un amor
Que una nube te persiga y en las noches te deprimas, que cambiaste yo lo dudo
Eres falso e inmaduro
Que se tronche cada sueño de tus sueños
Así luego (hahaha) me rio de ti

¿Que diablos te crees? Esa estupidez que perdone tu traición
Una margarita después que marchita no vuelve a ser una flor
No quiero, no puedo y aunque pudiera no debo perdonar
Un buen perro que no entienda el concepto del amor

Desde hoy reinvento mi universo
Y en mi mundo ya no te quiero adentro
Soy dueña de mis sentimientos
Y quiero un amor

¿Que diablos te crees? Esa estupidez que perdone tu traición
Una margarita después que marchita no vuelve a ser una flor
No quiero, no puedo y aunque pudiera no debo perdonar
Un buen perro que no entienda el concepto del amor

Desde hoy reinvento mi universo
Y en mi mundo ya no te quiero adentro
Soy dueña de mis sentimientos
Y quiero un amor, un nuevo amor

Mañana no estarás conmigo, será tu duelo y tu castigo
Que tengas un final horrendo y de lo peor (The worst)"
4PFTO7EacpZMyuTa5dZGml,Morfina (feat. Paloma Mami),61,False,229474,Morfina (feat. Paloma Mami),2024-02-15,"Prince Royce, Paloma Mami","3MHaV05u0io8fQbZ2XPtlC, 7rOlQwf8OuFLFQp4aydjBt","Anoche me di un trago pa' pode' olvidarte
Y hoy le rezo al cielo pa' volver a verte
Buscando en otra' pieles pa' pode' encontrarte
No sé si a ti te pase igual

Anestésienme una y otra vez, quítenme este dolor

Si hay un doctor, que me dé medicina
Pa' que me baje un poquito el dolor
Porque tus labios fueron mi morfina
Anestésienme una y otra vez
Tú ere' una droga, no una medicina
La misma cura y causastе dolor
Es que tus labios fueron mi morfina
Anestésiеnme una y otra vez

¿Cuántas veces yo intenté a ti olvidarte?
No sé cuántas veces te busqué
En otros labios pa' sanarme
Lo único que sé que de ti tengo sed
Sin ti no puedo ser
Yo lo que quiero es darte un par de besitos
Y quién sabe si pase un poquito más
También quiero enseñarte un par de truquitos
Que volvamo' a intentar no es un delito

Anestésienme una y otra vez, quítenme este dolor

Si hay un doctor, que me dé medicina
Pa' que me baje un poquito el dolor
Porque tus labios fueron mi morfina
Anestésienme una y otra vez
Is there a doctor to remove this feeling?
Who got the drugs so I can hide this pain?
You got that good good that just leave me feenin'
Anestésienme una y otra vez

Royce

No supe descifrarte, tampoco reemplazarte
¿Cómo puedo culparte, si también tuve parte?
De to' esos besos, me envolví en el proceso
Mi cora tienes preso, baby

Anestésienme una y otra vez, quítenme este dolor

Tú ere' una droga, no una medicina
La misma cura y causaste dolor
Porque tus labios fueron mi morfina
Anestésienme una y otra vez
Is there a doctor to remove this feeling?
Who got the drugs so I can hide this pain?
Because her midnight sexin' had me feenin'
Anestésienme una y otra vez

Paloma Mami"
5g7sqNfJcV2oBTbWV4oTte,Si Te Vas,51,False,185286,Si Te Vas,2025-02-06,Rau,7vOc2lSKE0icwRLbSvbY0h,"Si supieras lo que estoy sintiendo, me
Brindarías refugio en tu cuerpo, no apagarías
La luz que se perdió en mi interior corazón
Con tus palabras has crusificado todo lo bello
Que yo habia soñado, no te das cuenta que yo
Estoy sufriendo por ti, por tu adios
Que importa si tu te vas, que importa
Que me mate la soledad, destrulles la ilución
Que ha vivido en mí y ya no queda nada que hablar
De ti
Buscaré alguien igual que tu, que sepa
Acariciarme como tu, que guie los caminos del
Corazón y que pueda llebarme hasta la ilucion
Por que tu con tus sueños de volar tan lejos
Crucificaste todo lo que siento, deseo que seas feliz
No sé tu pero yo te voy a seguir queriendo
Hasta olvidar tu nombre por completo buscando
Ser feliz
Que importa si tu te vas, que importa
Que me mate la soledad, destrulles la ilución
Que ha vivido en mí y ya no queda nada que hablar
De ti
La mañana mostrara un sol nuevo, y es muy dificil
Por que ya no te tengo, hasta quisiera dolmir
Para jamas despertar sin tu amor, tu faz se peldera en
El horizonte, ese querer desentimiento pobre, eres
Asi como el sol que cuando el frio llegó se malchó
Mañana sé que vendra a buscarme de nuevo
Sé que vendra, soy el fuego que llevas en tu
Interior y cuando sientas frio querras mi amor, tu
Olvido será mejor que estar solo con esta inseguridad
Por que llevarte dentro del corazón si sé que
Nunca, nunca me vas a amar
Por que tu con tus sueños de volar tan lejos
Crucificaste todo lo que siento, deseo que seas feliz
No sé tu pero yo te voy a seguir queriendo
Hasta olvidar tu nombre por completo, buscando
Ser feliz
Que importa si tu te vas, que importa
Que me mate la soledad, destrulles la ilución
Que ha vivido en mí y ya no queda nada que hablar
De ti
HASTA LA VISTA BABY"
5PycBIeabfvX3n9ILG7Vrv,Propuesta Indecente,81,False,235133,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Hola, me llaman Romeo
Es un placer conocerla

Qué bien te ves
Te adelanto, no me importa quién sea él
Dígame usted
Si ha hecho algo travieso alguna vez

Una aventura es más divertida si huele a peligro

Si te invito a una copa y me acerco a tu boca
Si te robo un besito, a ver, ¿te enojas conmigo?
¿Qué dirías si esta noche te seduzco en mi coche?
Que se empañen los vidrios y la regla es que goces
Si te falto el respeto y luego culpo al alcohol
Si levanto tu falda, ¿me darías el derecho a medir tu sensatez?
Poner en juego tu cuerpo
¿Sí te parece prudente esta propuesta indecente?

A ver, a ver
Permíteme apreciar tu desnudez (Take it off)
Relájate
Que este martini calmará tu timidez (Don't be shy)

Y una aventura es más divertida si huele a peligro

Si te invito a una copa y me acerco a tu boca
Si te robo un besito, a ver, ¿te enojas conmigo?
¿Qué dirías si esta noche te seduzco en mi coche?
Que se empañen los vidrios y la regla es que goces
Si te falto el respeto y luego culpo al alcohol
Si levanto tu falda, ¿me darías el derecho a medir tu sensatez?
Poner en juego tu cuerpo
¿Sí te parece prudente esta propuesta indecente?

I'm back (Back, back)
It feels good to be king
Gostoso
Hey, listen, I know what you like

How 'bout if you and I, me and you, bailamos bachata?
¿Y luego you and I, me and you, terminamo' en la cama? (Qué rico)
How 'bout if you and I, me and you, bailamos bachata? (Ay, bailamos bachata)
¿Y luego you and I, me and you, terminamo' en la cama? (Terminamos en la cama)
How 'bout if you and I (You and I)
Me and you (Me and you)
You and I (You and I)
Me and you (You)
You and I (You and I)
Me and you (I'm a bad boy)
Me and you, you

Ay, chichí
Llora, guitarra, llora"
6aOdIQs0ddJH8D5zzaQFS3,Nada Sin Ti,55,False,199802,Nada Sin Ti,2024-09-13,"Daniel Simo, SVETLANA GONCHAROVA","4HZGfCiVVgfmaKlvyIF65k, 5swxZFt6k29c1WGAghwj45","Cada vez que yo te miro siento algo especial
Me late el corazón
Es un sueño realizado poderte besar
No existe nada igual
Tu nombre está escrito
En cada espacio de mi piel
Solo contigo
Tiene sentido continuar
Afortunada con tu amor, amor
Lo quiero todo junto a ti, nada sin ti
Contigo descubrí mi mejor versión
Gracias por enseñarme el verdadero amor
Tú y solo tú eres mi verdad
Mi viaje seguro a la felicidad
A la felicidad
Tu nombre está escrito
En cada espacio de mi piel
Solo contigo
Tiene sentido continuar
Afortunado con tu amor, amor
Lo quiero todo junto a ti, nada sin ti
Contigo descubrí mi mejor versión
Gracias por enseñarme el verdadero amor
Tú y solo tú eres mi verdad
Mi viaje seguro a la felicidad
Afortunada con tu amor, amor
Lo quiero todo junto a ti, nada sin ti
Contigo descubrí mi mejor versión
Gracias por enseñarme el verdadero amor
Tú y solo tú eres mi verdad
Mi viaje seguro a la felicidad
A la felicidad"
2Bhmj4XK33InfhqKPxcJ1v,Dile al Amor,78,False,229360,The Last,2009-06-09,Aventura,1qto4hHid1P71emI6Fd8xi,"So nasty
Tu grupo favorito, mami

Cupido, no te entiendo, alardeas de ejemplo
De juntar corazones, un experto en conexión
Te fallaron las flechas, y de tantas violetas
Que por ti he regalado, en mi jardín no hay ni una flor

Pues dile al amor que no toque mi puerta
Que yo no estoy en casa, que no vuelva mañana
A mi corazón ya le ha fallado en ocasiones
Me fui de vacaciones, lejos de los amores
Dile al amor que no es grato en mi vida
Dale mi despedida, cuéntale las razones

Cupido, no entiendo si la suerte me odia
Y me ha dado de herencia la fortuna del desamor
Y te pido disculpas, pero no aciertas una
Mis febreros son largos aunque no sea tu intención

Pues dile al amor que no toque mi puerta
Que yo no estoy en casa, que no vuelva mañana
A mi corazón ya le ha fallado en ocasiones
Me fui de vacaciones, lejos de los amores
Dile a al amor que no es grato en mi vida
Dale mi despedida, cuéntale las razones

Yes, sir!
¿Le gusta mi bachata, amiguita? Ajá

No quiero fechas en mi calendario
Ni citas en mi horario, si se trata de amor
No me interesa oír más canciones
No quiero ver flores, si se trata de amor
Tengo a dieta los sentimientos
Evitando momentos de desilusión
Cupido

Dile al amor que no toque mi puerta
Que yo no estoy en casa, que no vuelva mañana
A mi corazón ya le ha fallado en ocasiones
Me fui de vacaciones, lejos de los amores
Dile a al amor que no es grato en mi vida
Dale mi despedida, cuéntale las razones

Okay, Aventura
I don't need no love in my life (I don't need no love)
I don't need no love in my life (Oah, uh yeah)
I don't need no love in my life
I don't need no love"
6K42yUDWZXa44r4v0KQdNc,Colección (Morenita),48,False,203389,We Love Bachata,2024-05-24,Prophex,4QeD9XFoPEHht1Mj8InACT,
