id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
1HM5mbodCYaczHWdletTEe,Why Fall Is The Best Time To Visit Brandenburg,46,False,150304,Why Fall Is The Best Time To Visit Brandenburg,2023-10-27,Crandon Park,4LRsoQvvdoj9acCuulz9ah,
4vrdOhjZfvm6PSFo20SC4p,Touched By The Sun - Rusch & Elusive's Chill Out Mix,35,False,320306,Armada Lounge,2008-05-19,"Envio, Rusch, Elusive","6nfPOyl2nGdmrYOMvdXkmx, 1mjiNQd49GzBH3v3TmGWj6, 3kjgEr9sy3YJSol3iKkiUh",
0IdaAvLilaPpPp4IDOpUud,Second Chance,36,False,270996,Second Chance,2024-01-08,"Jody Wisternoff, James Grant","5gTVJRQmuS88nOhhdHqErL, 45fFrwMq6sPP5P4k1qqFi7",
5LrwK0Zhw5TTsdrx9y0yVX,Fragile - Ambienced,19,False,254776,Fragile,2020-08-26,"Marco Torrance, Natasha Jaffe","1VmFMvivwnEAn9zgLpoMO7, 3vZgasABeCRGdeSId2y34K",
1qr6Mpgnf8QRNWIy8KPJGA,Introducing - Pt.3,41,False,150857,Introducing (Pt.3),2025-01-31,Chill Advisor,2POmRsS3AGB7NAbw5QBqHj,
1siMDuUaY2tcBrBBPnyjU9,The Sleepless Year - Beatless Mix,26,False,235476,The Sleepless Year / Freefall (Beatless Mixes),2025-03-21,Chicane,5GxyeQagayzZOg4UwffQlD,
3Q6Cvq1CCuReYxcjz2M5yi,Anywhere (Road Trippin') - Unplugged,30,False,232500,Beautiful World Field Notes: Unplugged,2024-05-22,anamē,3sZvCZHU2V2idOYyUl3fBi,
01OKRT4NrpRXLOnyOtJw54,Jaded - Ambient Mix,36,False,250730,Jaded,2024-11-08,deadmau5,2CIMQHirSU0MQqyYHq0eOx,
5WpO7vNZqvTaPTaMkZoBSf,Sundown,22,False,232965,In Search of Sunrise 16,2020-08-07,Giuseppe Ottaviani,5B9q1NRokzWYB7nSgnlHyv,
4xF4ZBGPZKxECeDFrqSAG4,snowfall,84,False,124065,snowfall,2022-01-14,"Øneheart, reidenshi","0dgJbQ0bKPyUXco8hEXN7X, 6SdlxyPsQ3B0yYncFmDULP",
4fxEqiKRAEiPl7J00KasC7,Under The Stars - Malibu Remix,10,False,219450,In Another Lifetime (Remixed),2022-07-29,"Tinlicker, Malibu","5EmEZjq8eHEC6qFnT63Lza, 3gfV2LBMvIE9gjpvowt11B",
3O3juy3lSFCx8WdFYtMhk1,Time,38,False,236394,Time,2024-07-12,"Crandon Park, Zazenkai","4LRsoQvvdoj9acCuulz9ah, 53SJovBw6wYRNkrqfccLLh",
4305MdckRIF9drCwAGwQJc,In Peace - Chill Mix,20,False,410303,Summer Chills,2020-07-31,Cold Blue,3mbjJqO86kx786znlhmTrF,
1R04fecdMdVyKvWSp74Cmg,i don't belong,46,False,115077,i don't belong,2024-01-05,"my head is empty, Antent, Miranda Rain","7pxIYxdkx2675ZGKSAPBAy, 6ovctVkv7d2fBdilDRYfDW, 5zb0UmoGI37fw1JM6t6x9c","2 Contributors​i don’t belong Lyrics
I don't belong
I don't belong

I don't belong
I don't belong"
09zG02ftOSVOketL6oui0c,Where Oceans Meet (Part III) - Edit,36,False,269753,Altered State,2019-12-13,"The Thrillseekers, Hydra","1RYDKWzJnJtbTPYNsDswD5, 40hrrmQKZYEN0ipPy6h8pU",
4NRfaTsTlt0GQpKO90I5CV,Airwave - Sunset Mix,20,False,293913,Airwave,2000-01-01,Rank 1,1eQe86RbDKRIiGZk08r9YJ,
7yuNpDNAMvdSrxhcdpiilw,Fears - Acoustic,12,False,201748,Watch The World (Acoustic Versions),2016-04-01,"Markus Schulz, Kyau & Albert","6OO0PboZcIWUWL7j2IyeoL, 0pyi4vNCq5T6GgV1rt7ncc",
57HLbw5C35P2CjpNJ9ALuS,Sun In Your Eyes,45,False,291026,Group Therapy,2011-07-04,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,"3 ContributorsSun in Your Eyes LyricsAnd there are only a few things I miss
It's the sun in your eyes
It's the sun in your eyes
It's the sun in your eyes
And there are only a few things I miss"
58jTBCpkqF7iALAQZTupaG,90 Miles,21,False,223973,90 Miles,2020-03-19,MJ Cole,49GY4uPAwdlk5lSGtfKWYl,
69HimD6MqI9M2bw091hrzA,Shelter,34,False,231272,Shelter,2024-05-01,Omni Two,37WY7cWPXVj5jeeNKhWuD8,
7oR52pTFA101oebY83ZIRr,Morning's Wings,47,False,154283,The Heart of Man,2017-02-09,Tony Anderson,3aRscMJRah0QrvGE5rkvZl,
3qvnaMfZrMJ7JTJXg2MRyO,Chasing the Light,31,False,263500,Pacific Blue,2020-04-24,Nicholas Gunn,54EYfCxN1dGJKec029vO7S,
7MfDOqBGFFRpxhwm2fbpOa,Midnight,39,False,160000,Midnight,2024-12-06,"Crandon Park, Zazenkai","4LRsoQvvdoj9acCuulz9ah, 53SJovBw6wYRNkrqfccLLh",
0hCjFmHUi6BtJO6FjYgDYf,Solace,44,False,217426,SOLACE,2018-10-19,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,"7 ContributorsSolace LyricsHeard you're doing alright
I hope you're happy and I wish you well
It's been a minute since I called you
It's like you don't know me at all
Please, don't forget who I am when I'm gone
I hope that you remember me
I get that there was nothing that I could've done
But please don't forget my heart
Please don't forget my heart
Please, don't forget all the things that we've done
You'll always be a part of me
I get that you don't speak of me now that I'm gone
But please don't forget my heart
Please don't forget my heart
I hope, it's time for me to let you go
I hope that you remember me
I hope, it's time for me to let you go
I hope that you remember me"
6eXi3CnnrTF71cR6Yiq55u,Aeons - Tom Day Remix,22,False,320000,Aeons / Revisited,2019-09-30,"Ryan Davis, Tom Day","0AHClmU8AZuj9naaENhVrP, 74yueOpxONIcPCjGyF84jG",
6jMQg7zgscIPdMTshgM3RE,Biscayne Point,30,False,237623,Biscayne Point,2024-08-30,Miami Deco,0sCZDZ1GPiBo3Ei7qOXTNt,
1bqcDfcEHDQP7Q5AOUCnC5,It's All Over,24,False,250916,Anjunadeep pres. Reflections Vol. 1,2020-10-05,Qrion,0bGDTQ78MVgI5Snqo9KJZw,
7FfNhOoMkL6xTiH2IQs98u,The Time Is Now,28,False,308346,Constant,2022-06-02,Kollen,0Q62gC12BbmjuRQU1mJSAL,
5oyKxAiVQo0V1MIrhC8Qon,Not All Superheroes Wear Capes - Album Opening Mix,47,False,173750,Not All Superheroes Wear Capes,2016-09-30,Alex M.O.R.P.H.,478tAnskSff0wa0XxnpwmW,
6tMQhvzRemRw3tq6waMaes,Dream Universe - 16B Still Waters Symphony Mix,15,False,219196,Terra Firma EP Volume 3,2008-03-03,CM,2oB68SRUSHVXQ2sJkFkOTp,
71h9yTXPtsKijPdl305cMY,Already There - Evolution Mix,32,False,205730,Far From The Maddening Crowds (Evolution Mixes),2022-06-10,Chicane,5GxyeQagayzZOg4UwffQlD,
3NTQE2BPN8i2TQ7Y3UGg7Q,Casandra,18,False,208888,Casandra,2024-12-08,PuzzleWaves,4Ep6w8dKNjmbek2daRyn38,
6Ta0eEQqHVPH7qsedAKpQX,Everything (Acoustic),0,False,212533,Elements of Life,2007-04-09,"Tiësto, JES","2o5jDhtHVPhrJdv3cEQ99Z, 6UAyCjS0OPMd1Ham8bvs9g","2 ContributorsEverything (Acoustic Version) LyricsHow breathless I feel in your arms
How breathless you make me feel so
There's no one before in my eyes
I take what you give me
Everything sounds better
Everything looks brighter
Everything tastes better
Well everything we do feels better
(feels better)
Everything
Everything (x3)
(feels better)
Everything
(feels better)
I pray all this time in your arms
How restless I feel when you go
With only your life to surround me
I take what you give me
(I take what you give me)
(Give me)

Everything sounds better
Everything looks brighter
Everything tastes better
Everything we do
(feels better)
Everything sounds better (sounds better)
Everything looks brighter (looks brighter)
Everything tastes better (tastes better)
Everything feels better
Everything sounds better (sounds better)
(Everything)
Everything looks brighter (looks brighter)
(Everything)
Everything tastes better (tastes better)
Everything we do feels better (feels better)
Oh....
Everything
Everything you do
(feels better)
Everything
(feels better)
(Everything everything)
(feels better)
(feels better)"
6oDoN0p3hXIb4LLZ8MhKFj,Silhouette,34,False,213357,Erased Dreams,2022-07-11,"YOTTO, Sansa","5Dyfxq0ZrFjjeFBdSNxDbo, 5ghRItoYhcGjBtH8xSGCC9","2 ContributorsSilhouette LyricsSilhouette
Of yourself
Reverse
Never ends
Silhouette
Of yourself
Reverse
Never ends"
5K0kPszkKvh6yHEI3wiUCZ,To Heal,39,False,156373,Oblivion With Bells,2007,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,
6kyCwo7QzDH9uKaVn1ujNU,Aeolis Mons I,26,False,166935,Contrast,2017-10-06,Matt Fax,1XgI1X3xjXCKRP1ZjhqgkV,3 ContributorsAeolis Mons I Lyrics
0INl5sXYVtUO15A87uaV5o,6 - Crandon Park Sunrise Edit,33,False,158400,6 (Crandon Park Sunrise Edit),2023-06-09,"Below Clouds, Miami Deco, Crandon Park","28Ml3ItdZ6mbi1q7X8hvfw, 0sCZDZ1GPiBo3Ei7qOXTNt, 4LRsoQvvdoj9acCuulz9ah",
2xXsld5k5GyXJhysitmFyE,Introducing - Pt. 2,40,False,243692,Introducing (Pt. 2),2024-03-08,Chill Advisor,2POmRsS3AGB7NAbw5QBqHj,
0qD7FNvGrdwtH3EaUnK2RY,Among Us,0,False,194676,Among Us,2022-01-07,Simon Wester,2qUycRIHExBVUPIoq6RUkO,
